timestep,time,value,x,y,z
208,0.0,1.07941e-16,7.11645,0.359063,
209,0.0,1.07941e-16,7.11645,0.359063,
210,0.0,1.07941e-16,7.11645,0.359063,
211,0.0,1.07941e-16,7.11645,0.359063,
212,0.0,1.23252e-16,6.63645,0.152812,
213,0.0,1.90132e-16,6.6777,0.248437,
214,0.0,2.23851e-16,6.6777,0.250312,
215,0.0,3.06257e-16,6.6777,0.250312,
216,0.0,3.66405e-16,6.68895,0.269062,
217,0.0,4.46306e-16,6.73582,0.332812,
218,0.0,5.33154e-16,6.73582,0.332812,
219,0.0,6.20496e-16,6.75645,0.355313,
220,0.0,7.23206e-16,6.7602,0.359063,
221,0.0,8.43692e-16,6.76395,0.362813,
222,0.0,9.7525e-16,6.76395,0.362813,
223,0.0,1.07552e-15,6.76395,0.362813,
224,0.0,6.27601e-12,7.22145,0.458438,
225,0.0,6.22431e-12,7.22145,0.458438,
226,0.0,6.16596e-12,7.22145,0.458438,
227,0.0,4.85208e-07,7.37895,0.381563,
228,0.0,7.1209e-07,7.38457,0.383438,
229,0.0,1.85561e-06,7.44645,0.263437,
230,0.0,2.85201e-06,7.44832,0.263437,
231,0.0,3.57965e-06,7.44832,0.263437,
232,0.0,4.00347e-06,7.44832,0.263437,
233,0.0,4.38535e-06,7.44832,0.263437,
234,0.0,4.69686e-06,7.44832,0.263437,
235,0.0,4.95882e-06,7.44832,0.263437,
236,0.0,5.16264e-06,7.44832,0.263437,
237,0.0,5.31244e-06,7.44832,0.263437,
238,0.0,5.384e-06,7.44832,0.263437,
239,0.0,5.37753e-06,7.44832,0.263437,
240,0.0,5.34081e-06,7.44832,0.263437,
241,0.0,5.17724e-06,7.44832,0.263437,
242,0.0,5.11261e-06,7.5177,0.111563,
243,0.0,5.29471e-06,7.5177,0.111563,
244,0.0,5.46658e-06,7.5177,0.111563,
245,0.0,5.6288e-06,7.5177,0.111563,
246,0.0,5.78178e-06,7.5177,0.111563,
247,0.0,5.92578e-06,7.5177,0.111563,
248,0.0,6.06082e-06,7.5177,0.111563,
249,0.0,6.18685e-06,7.5177,0.111563,
250,0.0,6.30093e-06,7.5177,0.111563,
251,0.0,6.40696e-06,7.5177,0.111563,
252,0.0,6.50021e-06,7.5177,0.111563,
253,0.0,6.55896e-06,7.5177,0.111563,
254,0.0,6.58694e-06,7.5177,0.111563,
255,0.0,6.57886e-06,7.5177,0.111563,
256,0.0,6.52188e-06,7.5177,0.111563,
257,0.0,6.35871e-06,7.5177,0.111563,
258,0.0,5.99015e-06,7.5177,0.111563,
259,0.0,5.17474e-06,7.5177,0.111563,
260,0.0,4.57195e-06,7.4502,0.0215625,
261,0.0,4.58749e-06,7.4502,0.0215625,
262,0.0,4.66425e-06,7.45395,0.0065625,
263,0.0,4.82252e-06,7.45395,0.0065625,
264,0.0,4.94919e-06,7.45395,0.0065625,
265,0.0,5.04527e-06,7.45395,0.0065625,
266,0.0,5.07297e-06,7.45395,0.0065625,
267,0.0,4.92867e-06,7.45395,0.0065625,
268,0.0,4.99919e-06,7.4727,0.0103125,
269,0.0,5.10893e-06,7.49707,0.0140625,
270,0.0,5.21027e-06,7.49707,0.0140625,
271,0.0,5.24428e-06,7.49707,0.0140625,
272,0.0,5.17923e-06,7.48957,0.0065625,
273,0.0,4.92016e-06,7.49145,0.0009375,
274,0.0,4.32312e-08,7.48957,0.304687,
275,0.0,3.96251e-08,7.40895,0.387188,
276,0.0,6.05827e-08,7.36395,0.411563,
277,0.0,4.43707e-07,7.4127,0.398438,
278,0.0,8.73687e-07,7.4127,0.398438,
279,0.0,1.43811e-06,7.4127,0.398438,
280,0.0,2.07167e-06,7.4127,0.398438,
281,0.0,2.85051e-06,7.36582,0.430313,
282,0.0,3.64498e-06,7.53457,0.267187,
283,0.0,4.87283e-06,7.53457,0.267187,
284,0.0,5.99669e-06,7.53457,0.267187,
285,0.0,6.8344e-06,7.53457,0.267187,
286,0.0,7.43377e-06,7.53457,0.267187,
287,0.0,8.21275e-06,7.36957,0.428438,
288,0.0,9.29722e-06,7.36957,0.428438,
289,0.0,1.04258e-05,7.36957,0.428438,
290,0.0,1.16104e-05,7.36957,0.428438,
291,0.0,1.28939e-05,7.4127,0.398438,
292,0.0,1.44053e-05,7.4127,0.398438,
293,0.0,1.59776e-05,7.4127,0.398438,
294,0.0,1.76128e-05,7.4127,0.398438,
295,0.0,1.9361e-05,7.4127,0.398438,
296,0.0,2.10852e-05,7.41457,0.396563,
297,0.0,2.26542e-05,7.39395,0.411563,
298,0.0,2.46135e-05,7.39395,0.411563,
299,0.0,2.60851e-05,7.39395,0.411563,
300,0.0,2.81715e-05,7.5477,0.242812,
301,0.0,3.07125e-05,7.5477,0.242812,
302,0.0,0.137483,7.56645,0.244687,
303,0.0,0.185327,7.56645,0.233437,
304,0.0,0.231519,7.51582,0.308437,
305,0.0,0.331829,7.50832,0.317812,
306,0.0,0.369317,7.50082,0.327187,
307,0.0,0.338404,7.57582,0.227812,
308,0.0,0.70012,7.5702,0.220312,
309,0.0,0.584104,7.57207,0.225937,
310,0.0,0.623134,7.57582,0.235312,
311,0.0,0.650058,7.57207,0.250312,
312,0.0,0.631959,7.56832,0.235312,
313,0.0,0.636381,7.5477,0.267187,
314,0.0,0.631782,7.32457,0.462188,
315,0.0,0.710363,7.3152,0.469688,
316,0.0,0.680593,7.31332,0.469688,
317,0.0,0.726849,7.57395,0.220312,
318,0.0,0.73519,7.5702,0.225937,
319,0.0,0.703413,7.57395,0.227812,
320,0.0,0.761905,7.30207,0.475313,
321,0.0,0.746096,7.3002,0.473438,
322,0.0,0.70693,7.56832,0.240937,
323,0.0,0.708096,7.57582,0.274687,
324,0.0,0.775087,7.57207,0.282187,
325,0.0,0.783888,7.56832,0.300937,
326,0.0,0.824277,7.56457,0.319687,
327,0.0,0.774387,7.30395,0.469688,
328,0.0,0.75875,7.29832,0.471563,
329,0.0,0.742065,7.3077,0.480938,
330,0.0,0.812324,7.47832,0.351563,
331,0.0,0.839572,7.48582,0.357188,
332,0.0,0.798113,7.49332,0.355313,
333,0.0,0.756534,7.48207,0.351563,
334,0.0,0.857328,7.4877,0.345938,
335,0.0,0.849183,7.57582,0.214687,
336,0.0,0.863134,7.58332,0.218437,
337,0.0,0.848131,7.4952,0.357188,
