timestep,time,value,x,y,z
208,0.0,3.39519e-20,1.94026,0.216562,
209,0.0,3.39772e-20,1.94026,0.216562,
210,0.0,3.40036e-20,1.94026,0.216562,
211,0.0,3.40311e-20,1.94026,0.216562,
212,0.0,3.40597e-20,1.94026,0.452813,
213,0.0,3.40893e-20,1.94026,0.216562,
214,0.0,3.41196e-20,1.94026,0.452813,
215,0.0,3.4151e-20,1.94026,0.452813,
216,0.0,3.41834e-20,1.94026,0.452813,
217,0.0,3.42166e-20,1.94026,0.452813,
218,0.0,3.42507e-20,1.94026,0.452813,
219,0.0,3.42854e-20,1.94026,0.452813,
220,0.0,3.43209e-20,1.94026,0.452813,
221,0.0,3.43571e-20,1.94026,0.452813,
222,0.0,3.4394e-20,1.94026,0.452813,
223,0.0,3.44314e-20,1.94026,0.452813,
224,0.0,3.44595e-20,2.07911,0.452813,
225,0.0,3.44773e-20,2.07911,0.452813,
226,0.0,3.44962e-20,2.07911,0.452813,
227,0.0,3.45162e-20,2.07911,0.452813,
228,0.0,3.45372e-20,2.07911,0.452813,
229,0.0,3.45591e-20,2.07911,0.452813,
230,0.0,3.4582e-20,2.07911,0.452813,
231,0.0,3.46058e-20,2.07911,0.452813,
232,0.0,3.46304e-20,2.07911,0.452813,
233,0.0,3.46559e-20,2.07911,0.452813,
234,0.0,3.46821e-20,2.07911,0.452813,
235,0.0,3.47091e-20,2.07911,0.452813,
236,0.0,3.47368e-20,2.07911,0.452813,
237,0.0,3.47652e-20,2.07911,0.379688,
238,0.0,3.47943e-20,2.07911,0.0403125,
239,0.0,3.4824e-20,2.07911,0.102188,
240,0.0,3.48543e-20,2.07911,0.102188,
241,0.0,3.48851e-20,2.07911,0.102188,
242,0.0,3.49166e-20,2.07911,0.102188,
243,0.0,3.49485e-20,2.07911,0.102188,
244,0.0,3.49731e-20,2.21381,0.559688,
245,0.0,3.49891e-20,2.21381,0.559688,
246,0.0,3.5006e-20,2.21381,0.559688,
247,0.0,3.50237e-20,2.21381,0.452813,
248,0.0,3.50422e-20,2.21381,0.122813,
249,0.0,3.50615e-20,2.21381,0.122813,
250,0.0,3.50816e-20,2.21381,0.122813,
251,0.0,3.51024e-20,2.21381,0.122813,
252,0.0,3.51239e-20,2.21381,0.122813,
253,0.0,3.51461e-20,2.21381,0.122813,
254,0.0,3.51689e-20,2.21381,0.216562,
255,0.0,3.51923e-20,2.21381,0.216562,
256,0.0,3.52164e-20,2.21381,0.216562,
257,0.0,3.5241e-20,2.21381,0.216562,
258,0.0,3.52662e-20,2.21381,0.216562,
259,0.0,3.52919e-20,2.21381,0.216562,
260,0.0,3.53181e-20,2.21381,0.222187,
261,0.0,3.53448e-20,2.21381,0.557813,
262,0.0,3.5372e-20,2.21381,0.557813,
263,0.0,3.53996e-20,2.21381,0.557813,
