timestep,time,value,x,y,z
208,0.0,2.21466e-13,7.11645,0.359063,
209,0.0,2.21466e-13,7.11645,0.359063,
210,0.0,2.21466e-13,7.11645,0.359063,
211,0.0,2.21465e-13,7.11645,0.359063,
212,0.0,2.21464e-13,7.11645,0.359063,
213,0.0,2.21463e-13,7.11645,0.359063,
214,0.0,2.21462e-13,7.11645,0.359063,
215,0.0,2.21461e-13,7.11645,0.359063,
216,0.0,2.21461e-13,7.11645,0.359063,
217,0.0,2.2146e-13,7.11645,0.359063,
218,0.0,2.2146e-13,7.11645,0.359063,
219,0.0,2.21459e-13,7.11645,0.359063,
220,0.0,2.21458e-13,7.4727,0.0028125,
221,0.0,2.21456e-13,7.4727,0.0028125,
222,0.0,2.21453e-13,7.4727,0.0028125,
223,0.0,2.21448e-13,7.4727,0.0028125,
224,0.0,1.26559e-08,7.22145,0.458438,
225,0.0,1.25516e-08,7.22145,0.458438,
226,0.0,1.2434e-08,7.22145,0.458438,
227,0.0,0.000998121,7.37895,0.381563,
228,0.0,0.00146267,7.38457,0.383438,
229,0.0,0.00380784,7.44645,0.263437,
230,0.0,0.00583403,7.44832,0.263437,
231,0.0,0.00731312,7.44832,0.263437,
232,0.0,0.00817788,7.44832,0.263437,
233,0.0,0.00895873,7.44832,0.263437,
234,0.0,0.0095987,7.44832,0.263437,
235,0.0,0.0101399,7.44832,0.263437,
236,0.0,0.010565,7.44832,0.263437,
237,0.0,0.0108824,7.44832,0.263437,
238,0.0,0.0110425,7.44832,0.263437,
239,0.0,0.0110462,7.44832,0.263437,
240,0.0,0.0109881,7.44832,0.263437,
241,0.0,0.0106721,7.44832,0.263437,
242,0.0,0.0105428,7.5177,0.111563,
243,0.0,0.010931,7.5177,0.111563,
244,0.0,0.0112997,7.5177,0.111563,
245,0.0,0.0116499,7.5177,0.111563,
246,0.0,0.0119822,7.5177,0.111563,
247,0.0,0.0122972,7.5177,0.111563,
248,0.0,0.0125949,7.5177,0.111563,
249,0.0,0.0128748,7.5177,0.111563,
250,0.0,0.0131309,7.5177,0.111563,
251,0.0,0.0133711,7.5177,0.111563,
252,0.0,0.0135855,7.5177,0.111563,
253,0.0,0.0137291,7.5177,0.111563,
254,0.0,0.0138093,7.5177,0.111563,
255,0.0,0.0138147,7.5177,0.111563,
256,0.0,0.0137178,7.5177,0.111563,
257,0.0,0.0133983,7.5177,0.111563,
258,0.0,0.0126468,7.5177,0.111563,
259,0.0,0.0109514,7.5177,0.111563,
260,0.0,0.00943917,7.4502,0.0215625,
261,0.0,0.00947829,7.4502,0.0215625,
262,0.0,0.00951215,7.44645,0.0046875,
263,0.0,0.00979108,7.45395,0.0065625,
264,0.0,0.0100567,7.45395,0.0065625,
265,0.0,0.0102614,7.45395,0.0065625,
266,0.0,0.0103284,7.45395,0.0065625,
267,0.0,0.0101034,7.4727,0.0103125,
268,0.0,0.010279,7.4727,0.0103125,
269,0.0,0.0103605,7.4727,0.0103125,
270,0.0,0.0104817,7.49707,0.0140625,
271,0.0,0.0105602,7.48957,0.0065625,
272,0.0,0.0106193,7.48957,0.0065625,
273,0.0,0.00982939,7.48957,0.0009375,
274,0.0,8.91335e-05,7.48957,0.304687,
275,0.0,8.18369e-05,7.40895,0.387188,
276,0.0,0.000124358,7.36395,0.411563,
277,0.0,0.000913103,7.4127,0.398438,
278,0.0,0.00179494,7.4127,0.398438,
279,0.0,0.00294973,7.4127,0.398438,
280,0.0,0.00424131,7.4127,0.398438,
281,0.0,0.00581227,7.36582,0.430313,
282,0.0,0.00741277,7.53457,0.267187,
283,0.0,0.00987565,7.53457,0.267187,
284,0.0,0.012113,7.53457,0.267187,
285,0.0,0.0137679,7.53457,0.267187,
286,0.0,0.0149452,7.53457,0.267187,
287,0.0,0.0164878,7.36957,0.428438,
288,0.0,0.0185979,7.36957,0.428438,
289,0.0,0.0207748,7.36957,0.428438,
290,0.0,0.0230387,7.36957,0.428438,
291,0.0,0.0254582,7.4127,0.398438,
292,0.0,0.0282933,7.4127,0.398438,
293,0.0,0.0312098,7.4127,0.398438,
294,0.0,0.0342103,7.4127,0.398438,
295,0.0,0.0373846,7.4127,0.398438,
296,0.0,0.0403662,7.4127,0.398438,
297,0.0,0.0431285,7.39395,0.411563,
298,0.0,0.0465551,7.39395,0.411563,
299,0.0,0.0490654,7.39395,0.411563,
300,0.0,0.050822,7.38832,0.415313,
301,0.0,0.0528936,7.3677,0.428438,
302,0.0,0.538644,7.56457,0.233437,
303,0.0,0.828316,7.56832,0.224062,
304,0.0,0.822205,7.5702,0.222187,
305,0.0,0.945,7.57207,0.214687,
306,0.0,0.929703,7.50645,0.317812,
307,0.0,0.988738,7.5702,0.216562,
308,0.0,0.999369,7.5702,0.220312,
309,0.0,0.99958,7.5702,0.222187,
310,0.0,0.998472,7.56457,0.231562,
311,0.0,0.998429,7.5627,0.231562,
312,0.0,0.999377,7.5627,0.235312,
313,0.0,0.999646,7.5627,0.237187,
314,0.0,0.996786,7.54395,0.265312,
315,0.0,0.999569,7.31332,0.467813,
316,0.0,0.999748,7.3152,0.465938,
317,0.0,0.999688,7.57395,0.220312,
318,0.0,0.999835,7.57207,0.224062,
319,0.0,0.999887,7.5702,0.225937,
320,0.0,0.99968,7.55895,0.244687,
321,0.0,0.999817,7.29832,0.473438,
322,0.0,0.998843,7.29645,0.471563,
323,0.0,0.999428,7.29645,0.473438,
324,0.0,0.998834,7.3002,0.473438,
325,0.0,0.999492,7.56645,0.231562,
326,0.0,0.999647,7.57395,0.224062,
327,0.0,0.999877,7.30395,0.469688,
328,0.0,0.999824,7.29645,0.477188,
329,0.0,0.999863,7.3077,0.479063,
330,0.0,0.999741,7.30395,0.473438,
331,0.0,0.999948,7.48582,0.357188,
332,0.0,1.00004,7.48207,0.353438,
333,0.0,0.999968,7.48582,0.351563,
334,0.0,0.999798,7.4877,0.349688,
335,0.0,1.00002,7.49895,0.351563,
336,0.0,1.00001,7.50082,0.360938,
337,0.0,0.999981,7.58145,0.222187,
338,0.0,1.00001,7.5927,0.218437,
339,0.0,1.00006,7.5852,0.237187,
340,0.0,1.00006,7.49145,0.366563,
