timestep,time,value,x,y,z
208,0.0,6.57141e-19,1.94026,0.0009375,
209,0.0,6.57198e-19,1.94026,0.0009375,
210,0.0,6.5728e-19,1.94026,0.0009375,
211,0.0,6.57386e-19,1.94026,0.0009375,
212,0.0,6.57515e-19,1.94026,0.0009375,
213,0.0,6.57668e-19,1.94026,0.0009375,
214,0.0,6.5784e-19,1.94026,0.0009375,
215,0.0,6.58035e-19,1.94026,0.0009375,
216,0.0,6.5825e-19,1.94026,0.0009375,
217,0.0,6.58486e-19,1.94026,0.0009375,
218,0.0,6.5874e-19,1.94026,0.0009375,
219,0.0,6.59014e-19,1.94026,0.0009375,
220,0.0,6.59305e-19,1.94026,0.0028125,
221,0.0,6.59614e-19,1.94026,0.0028125,
222,0.0,6.59841e-19,2.07911,0.0028125,
223,0.0,6.59859e-19,2.07911,0.0028125,
224,0.0,6.59899e-19,2.07911,0.0028125,
225,0.0,6.59961e-19,2.07911,0.0028125,
226,0.0,6.60044e-19,2.07911,0.0028125,
227,0.0,6.60147e-19,2.07911,0.0028125,
228,0.0,6.6027e-19,2.07911,0.0028125,
229,0.0,6.60412e-19,2.07911,0.0028125,
230,0.0,6.60573e-19,2.07911,0.0028125,
231,0.0,6.60751e-19,2.07911,0.0028125,
232,0.0,6.60947e-19,2.07911,0.0028125,
233,0.0,6.6116e-19,2.07911,0.0028125,
234,0.0,6.61389e-19,2.07911,0.0028125,
235,0.0,6.61634e-19,2.07911,0.0028125,
236,0.0,6.61894e-19,2.07911,0.0028125,
237,0.0,6.62159e-19,2.21381,0.0028125,
238,0.0,6.6217e-19,2.21381,0.0028125,
239,0.0,6.622e-19,2.21381,0.0028125,
240,0.0,6.62248e-19,2.21381,0.0028125,
241,0.0,6.62315e-19,2.21381,0.0028125,
242,0.0,6.624e-19,2.21381,0.0028125,
243,0.0,6.62502e-19,2.21381,0.0028125,
244,0.0,6.6262e-19,2.21381,0.0028125,
245,0.0,6.62755e-19,2.21381,0.0028125,
246,0.0,6.62905e-19,2.21381,0.0028125,
247,0.0,6.63071e-19,2.21381,0.0028125,
248,0.0,6.63252e-19,2.21381,0.0028125,
249,0.0,6.63447e-19,2.21381,0.0028125,
250,0.0,6.63657e-19,2.21381,0.0028125,
251,0.0,6.6388e-19,2.21381,0.0028125,
252,0.0,6.64116e-19,2.21381,0.0028125,
253,0.0,6.64167e-19,2.34447,0.0028125,
254,0.0,6.64189e-19,2.34447,0.0028125,
255,0.0,6.64228e-19,2.34447,0.0028125,
256,0.0,6.64282e-19,2.34447,0.0028125,
257,0.0,6.64353e-19,2.34447,0.0028125,
258,0.0,6.64438e-19,2.34447,0.0028125,
259,0.0,6.64538e-19,2.34447,0.0028125,
260,0.0,6.64653e-19,2.34447,0.0028125,
261,0.0,6.64781e-19,2.34447,0.0028125,
262,0.0,6.64924e-19,2.34447,0.0028125,
263,0.0,6.65079e-19,2.34447,0.0028125,
264,0.0,6.65247e-19,2.34447,0.0028125,
265,0.0,6.65428e-19,2.34447,0.0028125,
266,0.0,6.65621e-19,2.34447,0.0028125,
267,0.0,6.65826e-19,2.34447,0.0028125,
268,0.0,6.65917e-19,2.47121,0.0028125,
269,0.0,6.65933e-19,2.47121,0.0028125,
270,0.0,6.65964e-19,2.47121,0.0028125,
271,0.0,6.66009e-19,2.47121,0.0028125,
272,0.0,6.66067e-19,2.47121,0.0028125,
273,0.0,6.66139e-19,2.47121,0.0028125,
274,0.0,6.66224e-19,2.47121,0.0028125,
275,0.0,6.66322e-19,2.47121,0.0028125,
276,0.0,6.66432e-19,2.47121,0.0028125,
