timestep,time,value,x,y,z
208,0.0,1.19039e-13,7.11645,0.359063,
209,0.0,1.19039e-13,7.11645,0.359063,
210,0.0,1.19038e-13,7.11645,0.359063,
211,0.0,1.19038e-13,7.11645,0.359063,
212,0.0,1.19037e-13,7.11645,0.359063,
213,0.0,1.19036e-13,7.11645,0.359063,
214,0.0,1.19036e-13,7.11645,0.359063,
215,0.0,1.19036e-13,7.11645,0.359063,
216,0.0,1.19035e-13,7.11645,0.359063,
217,0.0,1.19035e-13,7.11645,0.359063,
218,0.0,1.19035e-13,7.11645,0.359063,
219,0.0,1.19034e-13,7.11645,0.359063,
220,0.0,1.1905e-13,7.11082,0.359063,
221,0.0,1.19033e-13,7.4727,0.0028125,
222,0.0,1.19032e-13,7.4727,0.0028125,
223,0.0,1.1903e-13,7.4727,0.0028125,
224,0.0,6.92133e-09,7.22145,0.458438,
225,0.0,6.86432e-09,7.22145,0.458438,
226,0.0,6.79996e-09,7.22145,0.458438,
227,0.0,0.000534553,7.37895,0.381563,
228,0.0,0.00078415,7.38457,0.383438,
229,0.0,0.0020386,7.44645,0.263437,
230,0.0,0.0031269,7.44832,0.263437,
231,0.0,0.00391902,7.44832,0.263437,
232,0.0,0.00437948,7.44832,0.263437,
233,0.0,0.00479379,7.44832,0.263437,
234,0.0,0.00513142,7.44832,0.263437,
235,0.0,0.00541515,7.44832,0.263437,
236,0.0,0.00563584,7.44832,0.263437,
237,0.0,0.0057981,7.44832,0.263437,
238,0.0,0.00587589,7.44832,0.263437,
239,0.0,0.00586949,7.44832,0.263437,
240,0.0,0.00583046,7.44832,0.263437,
241,0.0,0.00565441,7.44832,0.263437,
242,0.0,0.00558458,7.5177,0.111563,
243,0.0,0.00578191,7.5177,0.111563,
244,0.0,0.00596809,7.5177,0.111563,
245,0.0,0.00614378,7.5177,0.111563,
246,0.0,0.00630943,7.5177,0.111563,
247,0.0,0.00646533,7.5177,0.111563,
248,0.0,0.00661153,7.5177,0.111563,
249,0.0,0.00674796,7.5177,0.111563,
250,0.0,0.00687149,7.5177,0.111563,
251,0.0,0.00698632,7.5177,0.111563,
252,0.0,0.00708736,7.5177,0.111563,
253,0.0,0.00715129,7.5177,0.111563,
254,0.0,0.00718212,7.5177,0.111563,
255,0.0,0.00717415,7.5177,0.111563,
256,0.0,0.00711357,7.5177,0.111563,
257,0.0,0.00693864,7.5177,0.111563,
258,0.0,0.00654212,7.5177,0.111563,
259,0.0,0.00566172,7.5177,0.111563,
260,0.0,0.00499963,7.4502,0.0215625,
261,0.0,0.00501673,7.4502,0.0215625,
262,0.0,0.00509363,7.45395,0.0065625,
