timestep,time,value,x,y,z
208,0.0,1.16666e-19,1.49743,0.216562,
209,0.0,1.16142e-19,1.49743,0.216562,
210,0.0,1.15626e-19,1.49743,0.574687,
211,0.0,1.15116e-19,1.49743,0.574687,
212,0.0,1.14613e-19,1.49743,0.574687,
213,0.0,1.14116e-19,1.49743,0.574687,
214,0.0,1.13631e-19,1.49743,0.574687,
215,0.0,1.13146e-19,1.49743,0.574687,
216,0.0,1.12668e-19,1.49743,0.574687,
217,0.0,1.12195e-19,1.49743,0.574687,
218,0.0,1.11728e-19,1.49743,0.216562,
219,0.0,1.11267e-19,1.49743,0.216562,
220,0.0,1.10811e-19,1.49743,0.216562,
221,0.0,1.1036e-19,1.49743,0.216562,
222,0.0,1.09906e-19,1.64955,0.574687,
223,0.0,1.09427e-19,1.64955,0.574687,
224,0.0,1.08954e-19,1.64955,0.574687,
225,0.0,1.08488e-19,1.64955,0.216562,
226,0.0,1.08028e-19,1.64955,0.216562,
227,0.0,1.07574e-19,1.64955,0.216562,
228,0.0,1.07125e-19,1.64955,0.574687,
229,0.0,1.06683e-19,1.64955,0.216562,
230,0.0,1.06246e-19,1.64955,0.135938,
231,0.0,1.05814e-19,1.64955,0.135938,
232,0.0,1.05387e-19,1.64955,0.135938,
233,0.0,1.04966e-19,1.64955,0.285937,
234,0.0,1.0455e-19,1.64955,0.285937,
235,0.0,1.04139e-19,1.64955,0.135938,
236,0.0,1.03732e-19,1.64955,0.107813,
237,0.0,1.03331e-19,1.64955,0.107813,
238,0.0,1.02934e-19,1.64955,0.216562,
239,0.0,1.02541e-19,1.64955,0.216562,
240,0.0,1.02153e-19,1.64955,0.119063,
241,0.0,1.0177e-19,1.64955,0.216562,
242,0.0,1.0139e-19,1.64955,0.216562,
243,0.0,1.01015e-19,1.64955,0.107813,
244,0.0,1.00644e-19,1.64955,0.0459375,
245,0.0,1.00276e-19,1.64955,0.0459375,
246,0.0,9.9913e-20,1.64955,0.135938,
247,0.0,9.95535e-20,1.64955,0.135938,
248,0.0,9.91977e-20,1.64955,0.135938,
249,0.0,9.88456e-20,1.64955,0.135938,
250,0.0,9.84971e-20,1.64955,0.135938,
251,0.0,9.81521e-20,1.64955,0.135938,
252,0.0,9.78106e-20,1.64955,0.135938,
253,0.0,9.74725e-20,1.64955,0.135938,
254,0.0,9.71377e-20,1.64955,0.135938,
255,0.0,9.68062e-20,1.64955,0.135938,
256,0.0,9.64779e-20,1.64955,0.135938,
257,0.0,9.61527e-20,1.64955,0.119063,
258,0.0,9.58306e-20,1.64955,0.119063,
259,0.0,9.55116e-20,1.64955,0.119063,
260,0.0,9.51955e-20,1.64955,0.216562,
261,0.0,9.48824e-20,1.64955,0.0459375,
262,0.0,9.45722e-20,1.64955,0.0459375,
263,0.0,9.42647e-20,1.64955,0.0459375,
264,0.0,9.396e-20,1.64955,0.0459375,
265,0.0,9.36533e-20,1.79712,0.269062,
266,0.0,9.3338e-20,1.79712,0.269062,
267,0.0,9.3026e-20,1.79712,0.269062,
268,0.0,9.27171e-20,1.79712,0.269062,
269,0.0,9.24113e-20,1.79712,0.269062,
270,0.0,9.21055e-20,1.79712,0.269062,
271,0.0,9.18057e-20,1.79712,0.269062,
272,0.0,9.15088e-20,1.79712,0.269062,
273,0.0,9.12148e-20,1.79712,0.269062,
274,0.0,9.09236e-20,1.79712,0.269062,
275,0.0,9.06351e-20,1.79712,0.269062,
276,0.0,9.03493e-20,1.79712,0.119063,
277,0.0,9.00661e-20,1.79712,0.119063,
278,0.0,8.97855e-20,1.79712,0.119063,
279,0.0,8.95047e-20,1.79712,0.119063,
280,0.0,8.92293e-20,1.79712,0.119063,
281,0.0,8.89563e-20,1.79712,0.216562,
282,0.0,8.86857e-20,1.79712,0.119063,
283,0.0,8.84175e-20,1.79712,0.119063,
284,0.0,8.81516e-20,1.79712,0.216562,
285,0.0,8.78853e-20,1.79712,0.227812,
286,0.0,8.7624e-20,1.79712,0.269062,
287,0.0,8.73648e-20,1.79712,0.269062,
288,0.0,8.71079e-20,1.79712,0.119063,
289,0.0,8.6853e-20,1.79712,0.119063,
290,0.0,8.66003e-20,1.79712,0.119063,
291,0.0,8.63471e-20,1.79712,0.119063,
292,0.0,8.60985e-20,1.79712,0.119063,
293,0.0,8.58519e-20,1.79712,0.119063,
294,0.0,8.56073e-20,1.79712,0.119063,
295,0.0,8.53621e-20,1.79712,0.216562,
296,0.0,8.51213e-20,1.79712,0.216562,
297,0.0,8.48824e-20,1.79712,0.216562,
298,0.0,8.46453e-20,1.79712,0.216562,
299,0.0,8.441e-20,1.79712,0.216562,
300,0.0,8.41742e-20,1.79712,0.216562,
301,0.0,8.39425e-20,1.79712,0.227812,
302,0.0,8.37126e-20,1.79712,0.227812,
303,0.0,8.3482e-20,1.79712,0.216562,
304,0.0,8.32555e-20,1.79712,0.216562,
305,0.0,8.30306e-20,1.79712,0.216562,
306,0.0,8.28064e-20,1.79712,0.216562,
307,0.0,8.2585e-20,1.79712,0.216562,
308,0.0,8.23628e-20,1.79712,0.216562,
309,0.0,8.21445e-20,1.79712,0.216562,
310,0.0,8.19277e-20,1.79712,0.216562,
311,0.0,8.17102e-20,1.79712,0.0009375,
312,0.0,8.14962e-20,1.79712,0.469688,
313,0.0,8.12828e-20,1.79712,0.469688,
314,0.0,8.10711e-20,1.79712,0.469688,
315,0.0,8.08619e-20,1.79712,0.469688,
316,0.0,8.06541e-20,1.79712,0.469688,
317,0.0,8.04456e-20,1.79712,0.469688,
318,0.0,8.02407e-20,1.79712,0.469688,
319,0.0,8.00368e-20,1.79712,0.469688,
320,0.0,7.98323e-20,1.79712,0.469688,
321,0.0,7.96315e-20,1.79712,0.469688,
322,0.0,7.943e-20,1.79712,0.469688,
323,0.0,7.9232e-20,1.79712,0.469688,
324,0.0,7.90334e-20,1.79712,0.469688,
325,0.0,7.8838e-20,1.79712,0.107813,
326,0.0,7.8642e-20,1.79712,0.329062,
327,0.0,7.84485e-20,1.79712,0.329062,
328,0.0,7.82559e-20,1.79712,0.469688,
329,0.0,7.80648e-20,1.79712,0.469688,
330,0.0,7.78737e-20,1.79712,0.469688,
331,0.0,7.76841e-20,1.79712,0.469688,
332,0.0,7.74976e-20,1.79712,0.469688,
333,0.0,7.73109e-20,1.79712,0.469688,
334,0.0,7.71255e-20,1.79712,0.469688,
335,0.0,7.69415e-20,1.79712,0.329062,
336,0.0,7.67579e-20,1.79712,0.329062,
337,0.0,7.65754e-20,1.79712,0.329062,
338,0.0,7.63951e-20,1.79712,0.469688,
339,0.0,7.62149e-20,1.79712,0.469688,
340,0.0,7.60366e-20,1.79712,0.469688,
