timestep,time,value,x,y,z
208,0.0,412031.0,6.55582,0.540938,
209,0.0,410557.0,6.58395,0.587812,
210,0.0,1360220.0,6.61207,0.0215625,
211,0.0,1292970.0,6.59895,0.0403125,
212,0.0,1213440.0,6.58207,0.0009375,
213,0.0,1167740.0,6.7002,0.278437,
214,0.0,1216200.0,6.72645,0.314062,
215,0.0,1269820.0,6.7527,0.344063,
216,0.0,1140000.0,6.7827,0.377813,
217,0.0,1189520.0,6.81082,0.400313,
218,0.0,1007640.0,6.50883,0.0853125,
219,0.0,985912.0,6.49571,0.0834375,
220,0.0,964187.0,6.47997,0.0553125,
221,0.0,944989.0,6.46776,0.0553125,
222,0.0,924747.0,6.61582,0.0234375,
223,0.0,908743.0,6.44247,0.0159375,
224,0.0,890019.0,6.61582,0.0234375,
225,0.0,875146.0,6.61582,0.0234375,
226,0.0,864879.0,6.40613,0.0009375,
227,0.0,848538.0,6.39558,0.0196875,
228,0.0,836124.0,6.39558,0.0890625,
229,0.0,825358.0,6.37244,0.0009375,
230,0.0,816558.0,6.35978,0.0009375,
231,0.0,804680.0,6.35315,0.0928125,
232,0.0,794319.0,6.35978,0.152812,
233,0.0,786911.0,6.33928,0.154687,
234,0.0,781457.0,6.32453,0.0009375,
235,0.0,773683.0,6.30886,0.100313,
236,0.0,763170.0,6.31681,0.154687,
237,0.0,759862.0,6.28349,0.0009375,
238,0.0,754285.0,6.27451,0.0853125,
239,0.0,749039.0,6.27451,0.0009375,
240,0.0,743693.0,6.2557,0.107813,
241,0.0,737904.0,6.2557,0.0009375,
242,0.0,737922.0,6.23571,0.119063,
243,0.0,731994.0,6.23571,0.192187,
244,0.0,734892.0,6.21446,0.109688,
245,0.0,791212.0,6.70395,0.179062,
246,0.0,759823.0,6.69832,0.0009375,
247,0.0,749981.0,6.75457,0.0290625,
248,0.0,799041.0,7.47645,0.252187,
249,0.0,725038.0,6.1679,0.134063,
250,0.0,719331.0,6.1679,0.205312,
251,0.0,721056.0,6.1424,0.0103125,
252,0.0,715526.0,6.1424,0.164062,
253,0.0,709309.0,6.15534,0.207187,
254,0.0,710856.0,6.1153,0.0571875,
255,0.0,705191.0,6.12906,0.134063,
256,0.0,698906.0,6.12906,0.207187,
257,0.0,700598.0,6.08651,0.0009375,
258,0.0,695218.0,6.10112,0.102188,
259,0.0,688551.0,6.10112,0.173437,
260,0.0,691579.0,6.6177,0.0028125,
261,0.0,742623.0,7.5177,0.105938,
262,0.0,702131.0,6.72832,0.0009375,
263,0.0,741451.0,6.6702,0.0009375,
264,0.0,709247.0,6.64395,0.0009375,
265,0.0,703370.0,6.58395,0.0009375,
266,0.0,708536.0,6.6177,0.0253125,
267,0.0,813719.0,6.65895,0.0909375,
268,0.0,868422.0,6.71707,0.0140625,
269,0.0,799725.0,6.77145,0.0403125,
270,0.0,758468.0,6.8277,0.0778125,
271,0.0,705364.0,6.62145,0.0253125,
272,0.0,718603.0,7.50457,0.0178125,
273,0.0,1245150.0,7.5027,0.0009375,
274,0.0,2558530.0,7.47457,0.0178125,
275,0.0,1503730.0,7.4427,0.0628125,
276,0.0,1178120.0,7.38082,0.0778125,
277,0.0,996546.0,7.3002,0.0009375,
278,0.0,977707.0,7.2702,0.105938,
279,0.0,829403.0,7.27395,0.207187,
280,0.0,767499.0,7.1352,0.0009375,
281,0.0,711412.0,7.0827,0.0403125,
282,0.0,708081.0,7.02645,0.0178125,
283,0.0,729072.0,6.9702,0.0009375,
284,0.0,788147.0,6.9177,0.0440625,
285,0.0,840859.0,6.86145,0.0346875,
286,0.0,910977.0,6.8127,0.107813,
287,0.0,885502.0,6.77145,0.180937,
288,0.0,914632.0,6.69457,0.0309375,
289,0.0,882547.0,6.64395,0.0703125,
290,0.0,676917.0,6.5652,0.0009375,
291,0.0,677471.0,6.8277,1.66007,
292,0.0,678688.0,6.80145,1.66007,
293,0.0,679330.0,6.77332,1.66007,
294,0.0,713312.0,6.71332,0.220312,
295,0.0,965302.0,6.87082,0.0853125,
296,0.0,773472.0,6.7902,0.107813,
297,0.0,1017710.0,6.89895,0.0065625,
298,0.0,1017700.0,6.94395,0.0309375,
299,0.0,945282.0,6.94207,0.0009375,
300,0.0,805562.0,6.86332,0.102188,
301,0.0,710214.0,6.85207,0.158437,
302,0.0,695240.0,6.73957,0.220312,
303,0.0,702292.0,6.6552,0.0215625,
304,0.0,666171.0,6.51457,1.66007,
305,0.0,664001.0,6.49329,1.66007,
306,0.0,856735.0,7.5702,0.216562,
307,0.0,965254.0,7.5702,0.216562,
308,0.0,657010.0,6.42986,1.66007,
309,0.0,806219.0,7.5627,0.231562,
310,0.0,854938.0,7.56082,0.235312,
311,0.0,745642.0,7.54395,0.265312,
312,0.0,828786.0,7.3002,0.471563,
313,0.0,1391980.0,7.31145,0.465938,
314,0.0,949840.0,7.45395,0.338438,
315,0.0,1261900.0,7.56832,0.220312,
316,0.0,919168.0,7.56832,0.222187,
317,0.0,1373890.0,7.29645,0.471563,
318,0.0,630132.0,6.22525,1.66007,
319,0.0,866661.0,7.29832,0.473438,
320,0.0,663585.0,7.5777,0.201562,
321,0.0,1005730.0,7.32645,0.458438,
322,0.0,2508340.0,7.32645,0.458438,
323,0.0,2294110.0,7.3002,0.469688,
324,0.0,1255220.0,7.3677,0.405938,
325,0.0,2540840.0,7.33957,0.424688,
326,0.0,1816230.0,7.31707,0.443438,
327,0.0,1735710.0,7.47832,0.347813,
328,0.0,4017560.0,7.47832,0.347813,
329,0.0,2446790.0,7.4802,0.347813,
330,0.0,1401140.0,7.57207,0.212812,
331,0.0,1690970.0,7.57207,0.212812,
332,0.0,2301520.0,7.57207,0.212812,
333,0.0,7208220.0,7.47832,0.345938,
334,0.0,3862540.0,7.57207,0.214687,
335,0.0,3577640.0,7.47645,0.349688,
336,0.0,2989680.0,7.47645,0.351563,
337,0.0,4129920.0,7.47832,0.344063,
338,0.0,1622120.0,7.4877,0.344063,
339,0.0,8048980.0,7.5702,0.212812,
340,0.0,7103050.0,7.47457,0.345938,
