timestep,time,value,x,y,z
208,0.0,101327.0,7.67332,0.0009375,
209,0.0,101328.0,7.68832,0.0009375,
210,0.0,101327.0,7.61332,0.0009375,
211,0.0,101307.0,7.61145,0.0009375,
212,0.0,100404.0,6.83707,0.274687,
213,0.0,98294.2,7.34145,0.224062,
214,0.0,95776.9,7.30582,0.169687,
215,0.0,90750.7,7.1127,0.0009375,
216,0.0,69670.1,7.1127,0.0009375,
217,0.0,59442.5,7.1127,0.0009375,
218,0.0,60666.6,7.11645,0.0009375,
219,0.0,67734.6,7.16145,0.0009375,
220,0.0,74847.3,7.23645,0.0009375,
221,0.0,80445.0,7.31332,0.0009375,
222,0.0,77439.1,7.1427,0.482813,
223,0.0,18196.5,7.2027,0.467813,
224,0.0,-44564.6,7.25707,0.443438,
225,0.0,-126272.0,7.3077,0.413438,
226,0.0,-212378.0,7.35082,0.370313,
227,0.0,-309610.0,7.38645,0.321562,
228,0.0,-430038.0,7.41457,0.269062,
229,0.0,-517785.0,7.42395,0.207187,
230,0.0,-701898.0,7.43145,0.147187,
231,0.0,-947087.0,7.41832,0.0853125,
232,0.0,-1021090.0,7.3752,0.0403125,
233,0.0,-38809.6,7.26082,0.0421875,
234,0.0,-16586.5,7.20082,0.0178125,
235,0.0,-3671.82,7.1427,0.0009375,
236,0.0,60180.7,7.50457,0.216562,
237,0.0,81366.0,7.44082,0.143437,
238,0.0,84252.3,7.44457,0.184687,
239,0.0,79238.2,7.47457,0.244687,
240,0.0,76359.4,7.29457,0.0046875,
241,0.0,86320.3,7.3302,0.0496875,
242,0.0,87401.2,7.44832,0.263437,
243,0.0,85594.0,7.3227,0.0028125,
244,0.0,80439.2,7.33207,0.0084375,
245,0.0,82910.6,7.49895,0.229687,
246,0.0,79865.0,7.38645,0.0853125,
247,0.0,74793.4,7.45395,0.261562,
248,0.0,81237.1,7.4127,0.0703125,
249,0.0,79022.4,7.4127,0.0534375,
250,0.0,27701.2,7.5477,0.201562,
251,0.0,17372.6,7.58145,0.134063,
252,0.0,65981.9,7.43332,0.124688,
253,0.0,79533.6,7.5627,0.158437,
254,0.0,81058.6,7.40332,0.0290625,
255,0.0,71355.7,7.5702,0.0721875,
256,0.0,-20688.2,7.23832,0.0009375,
257,0.0,16335.7,7.1652,0.0009375,
258,0.0,47267.0,7.0977,0.0009375,
259,0.0,61209.8,7.27957,0.0009375,
260,0.0,55166.2,7.28332,0.302812,
261,0.0,49968.9,7.28145,0.385313,
262,0.0,58281.2,7.4127,0.327187,
263,0.0,64034.5,7.27582,0.274687,
264,0.0,78780.2,0.0984962,1.61742,
265,0.0,78289.2,0.0984962,1.61742,
266,0.0,72305.7,7.45207,0.345938,
267,0.0,77322.2,0.0984962,1.66007,
268,0.0,76846.1,0.0984962,1.66007,
269,0.0,73385.5,7.41082,0.381563,
270,0.0,75903.7,0.0984962,1.5764,
