timestep,time,value,x,y,z
208,0.0,0.0,0.0984962,0.0009375,
209,0.0,0.0,0.0984962,0.0009375,
210,0.0,0.0,0.0984962,0.0009375,
211,0.0,0.0,0.0984962,0.0009375,
212,0.0,0.0,0.0984962,0.0009375,
213,0.0,0.0,0.0984962,0.0009375,
214,0.0,0.0,0.0984962,0.0009375,
215,0.0,0.0,0.0984962,0.0009375,
216,0.0,0.0,0.0984962,0.0009375,
217,0.0,0.0,0.0984962,0.0009375,
218,0.0,0.0,0.0984962,0.0009375,
219,0.0,0.0,0.0984962,0.0009375,
220,0.0,0.0,0.0984962,0.0009375,
221,0.0,0.0,0.0984962,0.0009375,
222,0.0,0.0,0.0984962,0.0009375,
223,0.0,0.0,0.0984962,0.0009375,
224,0.0,0.0,0.0984962,0.0009375,
225,0.0,0.0,0.0984962,0.0009375,
226,0.0,0.0,0.0984962,0.0009375,
227,0.0,0.0,0.0984962,0.0009375,
228,0.0,0.0,0.0984962,0.0009375,
229,0.0,0.0,0.0984962,0.0009375,
230,0.0,0.0,0.0984962,0.0009375,
231,0.0,0.0,0.0984962,0.0009375,
232,0.0,0.0,0.0984962,0.0009375,
233,0.0,0.0,0.0984962,0.0009375,
234,0.0,0.0,0.0984962,0.0009375,
235,0.0,0.0,0.0984962,0.0009375,
236,0.0,0.0,0.0984962,0.0009375,
237,0.0,0.0,0.0984962,0.0009375,
238,0.0,0.0,0.0984962,0.0009375,
239,0.0,0.0,0.0984962,0.0009375,
240,0.0,0.0,0.0984962,0.0009375,
241,0.0,0.0,0.0984962,0.0009375,
242,0.0,0.0,0.0984962,0.0009375,
243,0.0,0.0,0.0984962,0.0009375,
244,0.0,0.0,0.0984962,0.0009375,
245,0.0,0.0,0.0984962,0.0009375,
246,0.0,0.0,0.0984962,0.0009375,
247,0.0,0.0,0.0984962,0.0009375,
248,0.0,0.0,0.0984962,0.0009375,
249,0.0,0.0,0.0984962,0.0009375,
250,0.0,0.0,0.0984962,0.0009375,
251,0.0,0.0,0.0984962,0.0009375,
252,0.0,1.01504e-07,7.36207,0.0009375,
253,0.0,1.59335e-07,7.36207,0.0009375,
254,0.0,2.08091e-07,7.36207,0.0009375,
255,0.0,2.50528e-07,7.36207,0.0009375,
256,0.0,2.89826e-07,7.36207,0.0009375,
257,0.0,3.26215e-07,7.36207,0.0009375,
258,0.0,3.60064e-07,7.36207,0.0009375,
259,0.0,3.91054e-07,7.36207,0.0009375,
260,0.0,4.19435e-07,7.36207,0.0009375,
261,0.0,4.43819e-07,7.36207,0.0009375,
262,0.0,4.61079e-07,7.36207,0.0009375,
263,0.0,4.68127e-07,7.36207,0.0009375,
264,0.0,4.65721e-07,7.36207,0.0009375,
265,0.0,4.51227e-07,7.36207,0.0009375,
266,0.0,4.12729e-07,7.36207,0.0009375,
267,0.0,3.02702e-07,7.36207,0.0009375,
268,0.0,4.24057e-11,7.36395,0.0009375,
269,0.0,2.6051e-11,7.35457,0.0028125,
270,0.0,1.09577e-11,7.36395,0.0065625,
271,0.0,1.08102e-11,7.36395,0.0065625,
272,0.0,1.06611e-11,7.36395,0.0065625,
273,0.0,5.09072e-10,7.58895,0.0046875,
274,0.0,5.2625e-09,7.57395,0.0140625,
275,0.0,1.42001e-09,7.49895,0.0628125,
276,0.0,7.25231e-10,7.4502,0.0928125,
277,0.0,4.32786e-10,7.39957,0.128438,
278,0.0,2.7365e-12,7.37895,0.0084375,
279,0.0,2.68875e-12,7.37895,0.0084375,
280,0.0,2.64193e-12,7.37895,0.0084375,
281,0.0,2.8591e-08,7.32082,0.0103125,
282,0.0,2.82628e-08,7.3227,0.0121875,
283,0.0,1.92286e-08,7.32457,0.0103125,
284,0.0,1.27953e-08,7.32832,0.0084375,
285,0.0,7.02689e-09,7.33207,0.0046875,
286,0.0,4.20212e-09,7.38457,0.130313,
287,0.0,2.03954e-12,7.57957,0.0121875,
288,0.0,2.01818e-12,7.57957,0.0121875,
289,0.0,1.99862e-12,7.57957,0.0121875,
290,0.0,1.98004e-12,7.57957,0.0121875,
291,0.0,1.96154e-12,7.57957,0.0121875,
292,0.0,1.94373e-12,7.57957,0.0121875,
293,0.0,1.92421e-12,7.57957,0.0121875,
294,0.0,1.91494e-12,7.5852,0.0065625,
295,0.0,1.90738e-12,7.5852,0.0065625,
296,0.0,1.90025e-12,7.5852,0.0065625,
297,0.0,1.89372e-12,7.5852,0.0065625,
298,0.0,7.20169e-10,7.35457,0.152812,
299,0.0,2.52545e-09,7.3527,0.124688,
300,0.0,4.8642e-10,7.33957,0.0609375,
301,0.0,9.94144e-09,7.31895,0.0159375,
302,0.0,3.74967e-09,7.3752,0.0009375,
303,0.0,1.86918e-12,7.5852,0.0065625,
304,0.0,1.86618e-12,7.5852,0.0065625,
305,0.0,1.86308e-12,7.5852,0.0065625,
306,0.0,1.86019e-12,7.5852,0.0065625,
307,0.0,1.85733e-12,7.5852,0.0065625,
308,0.0,1.85379e-12,7.5852,0.0065625,
309,0.0,1.84958e-12,7.5852,0.0065625,
310,0.0,3.439e-09,7.35457,0.162187,
311,0.0,1.0858e-08,7.31895,0.0234375,
312,0.0,3.60124e-08,7.32082,0.0140625,
313,0.0,4.64651e-08,7.32082,0.0140625,
314,0.0,5.05592e-08,7.32082,0.0140625,
315,0.0,5.07855e-08,7.32082,0.0140625,
316,0.0,4.78376e-08,7.32082,0.0140625,
317,0.0,4.42136e-08,7.32082,0.0140625,
318,0.0,3.48789e-08,7.32082,0.0140625,
319,0.0,1.10968e-08,7.36582,0.261562,
320,0.0,1.36965e-10,7.5477,0.229687,
321,0.0,8.55225e-12,7.3227,0.0234375,
322,0.0,8.36886e-12,7.3227,0.0234375,
323,0.0,8.19249e-12,7.3227,0.0234375,
324,0.0,1.0632e-09,7.45395,0.310312,
325,0.0,1.033e-09,7.51582,0.284062,
326,0.0,7.67348e-12,7.3227,0.0234375,
327,0.0,3.11039e-09,7.53457,0.229687,
328,0.0,3.78519e-09,7.50082,0.259687,
329,0.0,1.10323e-08,7.41457,0.237187,
330,0.0,1.28052e-08,7.41645,0.237187,
331,0.0,1.70748e-08,7.38645,0.261562,
332,0.0,1.9091e-08,7.35645,0.210937,
333,0.0,2.07418e-08,7.3677,0.270937,
334,0.0,2.29557e-08,7.35645,0.210937,
335,0.0,2.39955e-08,7.35645,0.214687,
336,0.0,2.63289e-08,7.31895,0.0384375,
337,0.0,3.85675e-08,7.32082,0.0028125,
338,0.0,4.11228e-08,7.32082,0.0365625,
339,0.0,4.03248e-08,7.32082,0.0365625,
340,0.0,3.24181e-08,7.32082,0.0365625,
