timestep,time,value,x,y,z
208,0.0,0.0,0.0984962,0.0009375,
209,0.0,0.0,0.0984962,0.0009375,
210,0.0,0.0,0.0984962,0.0009375,
211,0.0,0.0,0.0984962,0.0009375,
212,0.0,0.0,0.0984962,0.0009375,
213,0.0,0.0,0.0984962,0.0009375,
214,0.0,0.0,0.0984962,0.0009375,
215,0.0,0.0,0.0984962,0.0009375,
216,0.0,0.0,0.0984962,0.0009375,
217,0.0,0.0,0.0984962,0.0009375,
218,0.0,0.0,0.0984962,0.0009375,
219,0.0,0.0,0.0984962,0.0009375,
220,0.0,0.0,0.0984962,0.0009375,
221,0.0,0.0,0.0984962,0.0009375,
222,0.0,0.0,0.0984962,0.0009375,
223,0.0,0.0,0.0984962,0.0009375,
224,0.0,0.0,0.0984962,0.0009375,
225,0.0,0.0,0.0984962,0.0009375,
226,0.0,0.0,0.0984962,0.0009375,
227,0.0,0.0,0.0984962,0.0009375,
228,0.0,0.0,0.0984962,0.0009375,
229,0.0,0.0,0.0984962,0.0009375,
230,0.0,0.0,0.0984962,0.0009375,
231,0.0,0.0,0.0984962,0.0009375,
232,0.0,0.0,0.0984962,0.0009375,
233,0.0,0.0,0.0984962,0.0009375,
234,0.0,0.0,0.0984962,0.0009375,
235,0.0,0.0,0.0984962,0.0009375,
236,0.0,0.0,0.0984962,0.0009375,
237,0.0,0.0,0.0984962,0.0009375,
238,0.0,0.0,0.0984962,0.0009375,
239,0.0,0.0,0.0984962,0.0009375,
240,0.0,0.0,0.0984962,0.0009375,
241,0.0,0.0,0.0984962,0.0009375,
242,0.0,0.0,0.0984962,0.0009375,
243,0.0,0.0,0.0984962,0.0009375,
244,0.0,0.0,0.0984962,0.0009375,
245,0.0,0.0,0.0984962,0.0009375,
246,0.0,0.0,0.0984962,0.0009375,
247,0.0,0.0,0.0984962,0.0009375,
248,0.0,0.0,0.0984962,0.0009375,
249,0.0,0.0,0.0984962,0.0009375,
250,0.0,0.0,0.0984962,0.0009375,
251,0.0,0.0,0.0984962,0.0009375,
252,0.0,0.0056306,7.36207,0.0009375,
253,0.0,0.00880713,7.36207,0.0009375,
254,0.0,0.011481,7.36207,0.0009375,
255,0.0,0.0138084,7.36207,0.0009375,
256,0.0,0.0159688,7.36207,0.0009375,
257,0.0,0.0179733,7.36207,0.0009375,
258,0.0,0.0198459,7.36207,0.0009375,
259,0.0,0.0215701,7.36207,0.0009375,
260,0.0,0.0231611,7.36207,0.0009375,
261,0.0,0.024542,7.36207,0.0009375,
262,0.0,0.0255433,7.36207,0.0009375,
263,0.0,0.0259941,7.36207,0.0009375,
264,0.0,0.0259352,7.36207,0.0009375,
265,0.0,0.0252194,7.36207,0.0009375,
266,0.0,0.0231861,7.36207,0.0009375,
267,0.0,0.0171516,7.36207,0.0009375,
268,0.0,2.40501e-06,7.36395,0.0009375,
269,0.0,1.43077e-06,7.35457,0.0028125,
270,0.0,6.1158e-07,7.36395,0.0065625,
271,0.0,6.0337e-07,7.36395,0.0065625,
272,0.0,5.95069e-07,7.36395,0.0065625,
273,0.0,2.96541e-05,7.58895,0.0046875,
274,0.0,0.000291241,7.57395,0.0140625,
275,0.0,7.87228e-05,7.49895,0.0628125,
276,0.0,3.98025e-05,7.4502,0.0928125,
277,0.0,2.36021e-05,7.39957,0.128438,
278,0.0,2.31356e-07,7.3602,0.0084375,
279,0.0,2.2724e-07,7.3602,0.0084375,
280,0.0,2.2337e-07,7.3602,0.0084375,
281,0.0,0.00158953,7.32082,0.0103125,
282,0.0,0.00156901,7.3227,0.0121875,
283,0.0,0.00106705,7.32457,0.0103125,
284,0.0,0.000709898,7.32832,0.0084375,
285,0.0,0.00038857,7.33207,0.0046875,
286,0.0,0.000232589,7.38457,0.130313,
287,0.0,1.11385e-07,7.57957,0.0121875,
288,0.0,1.10219e-07,7.57957,0.0121875,
289,0.0,1.0915e-07,7.57957,0.0121875,
290,0.0,1.08136e-07,7.57957,0.0121875,
291,0.0,1.07125e-07,7.57957,0.0121875,
292,0.0,1.06153e-07,7.57957,0.0121875,
293,0.0,1.05087e-07,7.57957,0.0121875,
294,0.0,1.0454e-07,7.5852,0.0065625,
295,0.0,1.04127e-07,7.5852,0.0065625,
296,0.0,1.03737e-07,7.5852,0.0065625,
297,0.0,1.03381e-07,7.5852,0.0065625,
298,0.0,3.99865e-05,7.35457,0.152812,
299,0.0,0.000139876,7.3527,0.124688,
300,0.0,2.641e-05,7.33957,0.0609375,
301,0.0,0.000553187,7.31895,0.0159375,
302,0.0,0.000208058,7.3752,0.0009375,
303,0.0,1.02041e-07,7.5852,0.0065625,
304,0.0,1.01877e-07,7.5852,0.0065625,
305,0.0,1.01708e-07,7.5852,0.0065625,
306,0.0,1.0155e-07,7.5852,0.0065625,
307,0.0,1.01394e-07,7.5852,0.0065625,
308,0.0,1.012e-07,7.5852,0.0065625,
309,0.0,1.0097e-07,7.5852,0.0065625,
310,0.0,0.000191748,7.35457,0.162187,
311,0.0,0.000606455,7.31895,0.0234375,
312,0.0,0.00200156,7.32082,0.0140625,
313,0.0,0.00258049,7.32082,0.0140625,
314,0.0,0.00280903,7.32082,0.0140625,
315,0.0,0.00282342,7.32082,0.0140625,
316,0.0,0.00266161,7.32082,0.0140625,
317,0.0,0.00246147,7.32082,0.0140625,
318,0.0,0.00194228,7.32082,0.0140625,
319,0.0,0.000615716,7.36582,0.261562,
320,0.0,7.51641e-06,7.5477,0.229687,
321,0.0,4.69962e-07,7.3227,0.0234375,
322,0.0,4.59893e-07,7.3227,0.0234375,
323,0.0,4.50208e-07,7.3227,0.0234375,
324,0.0,5.85225e-05,7.45395,0.310312,
325,0.0,5.66629e-05,7.51582,0.284062,
326,0.0,4.21705e-07,7.3227,0.0234375,
327,0.0,0.000172193,7.53457,0.229687,
328,0.0,0.000209865,7.50082,0.259687,
329,0.0,0.00061344,7.41457,0.237187,
330,0.0,0.000711407,7.41645,0.237187,
331,0.0,0.00095002,7.38645,0.261562,
332,0.0,0.00106194,7.35645,0.210937,
333,0.0,0.00115381,7.3677,0.270937,
334,0.0,0.00127828,7.35645,0.210937,
335,0.0,0.00133474,7.35645,0.214687,
336,0.0,0.00146503,7.31895,0.0384375,
337,0.0,0.00214108,7.32082,0.0028125,
338,0.0,0.00228199,7.32082,0.0365625,
339,0.0,0.00224012,7.32082,0.0365625,
340,0.0,0.00180129,7.32082,0.0365625,
