timestep,time,value,x,y,z
208,0.0,0.0,0.0984962,0.0009375,
209,0.0,0.0,0.0984962,0.0009375,
210,0.0,0.0,0.0984962,0.0009375,
211,0.0,0.0,0.0984962,0.0009375,
212,0.0,0.0,0.0984962,0.0009375,
213,0.0,0.0,0.0984962,0.0009375,
214,0.0,0.0,0.0984962,0.0009375,
215,0.0,0.0,0.0984962,0.0009375,
216,0.0,0.0,0.0984962,0.0009375,
217,0.0,0.0,0.0984962,0.0009375,
218,0.0,0.0,0.0984962,0.0009375,
219,0.0,0.0,0.0984962,0.0009375,
220,0.0,0.0,0.0984962,0.0009375,
221,0.0,0.0,0.0984962,0.0009375,
222,0.0,0.0,0.0984962,0.0009375,
223,0.0,0.0,0.0984962,0.0009375,
224,0.0,0.0,0.0984962,0.0009375,
225,0.0,0.0,0.0984962,0.0009375,
226,0.0,0.0,0.0984962,0.0009375,
227,0.0,0.0,0.0984962,0.0009375,
228,0.0,0.0,0.0984962,0.0009375,
229,0.0,0.0,0.0984962,0.0009375,
230,0.0,0.0,0.0984962,0.0009375,
231,0.0,0.0,0.0984962,0.0009375,
232,0.0,0.0,0.0984962,0.0009375,
233,0.0,0.0,0.0984962,0.0009375,
234,0.0,0.0,0.0984962,0.0009375,
235,0.0,0.0,0.0984962,0.0009375,
236,0.0,0.0,0.0984962,0.0009375,
237,0.0,0.0,0.0984962,0.0009375,
238,0.0,0.0,0.0984962,0.0009375,
239,0.0,0.0,0.0984962,0.0009375,
240,0.0,0.0,0.0984962,0.0009375,
241,0.0,0.0,0.0984962,0.0009375,
242,0.0,0.0,0.0984962,0.0009375,
243,0.0,0.0,0.0984962,0.0009375,
244,0.0,0.0,0.0984962,0.0009375,
245,0.0,0.0,0.0984962,0.0009375,
246,0.0,0.0,0.0984962,0.0009375,
247,0.0,0.0,0.0984962,0.0009375,
248,0.0,0.0,0.0984962,0.0009375,
249,0.0,0.0,0.0984962,0.0009375,
250,0.0,0.0,0.0984962,0.0009375,
251,0.0,0.0,0.0984962,0.0009375,
252,0.0,0.000137989,7.36207,0.0009375,
253,0.0,0.000215923,7.36207,0.0009375,
254,0.0,0.000281254,7.36207,0.0009375,
255,0.0,0.000337841,7.36207,0.0009375,
256,0.0,0.000390021,7.36207,0.0009375,
257,0.0,0.000438146,7.36207,0.0009375,
258,0.0,0.000482751,7.36207,0.0009375,
259,0.0,0.000523454,7.36207,0.0009375,
260,0.0,0.000560619,7.36207,0.0009375,
261,0.0,0.000592467,7.36207,0.0009375,
262,0.0,0.000614977,7.36207,0.0009375,
263,0.0,0.000624189,7.36207,0.0009375,
264,0.0,0.000621119,7.36207,0.0009375,
265,0.0,0.000602332,7.36207,0.0009375,
266,0.0,0.000552193,7.36207,0.0009375,
267,0.0,0.000407575,7.36207,0.0009375,
268,0.0,5.78966e-08,7.36395,0.0009375,
269,0.0,3.55799e-08,7.35457,0.0028125,
270,0.0,1.49636e-08,7.36395,0.0065625,
271,0.0,1.47624e-08,7.36395,0.0065625,
272,0.0,1.45591e-08,7.36395,0.0065625,
273,0.0,6.95948e-07,7.58895,0.0046875,
274,0.0,7.19245e-06,7.57395,0.0140625,
275,0.0,1.94119e-06,7.49895,0.0628125,
276,0.0,9.91447e-07,7.4502,0.0928125,
277,0.0,5.91662e-07,7.39957,0.128438,
278,0.0,3.74179e-09,7.37895,0.0084375,
279,0.0,3.67665e-09,7.37895,0.0084375,
280,0.0,3.61255e-09,7.37895,0.0084375,
281,0.0,3.90259e-05,7.32082,0.0103125,
282,0.0,3.85785e-05,7.3227,0.0121875,
283,0.0,2.62601e-05,7.32457,0.0103125,
284,0.0,1.74804e-05,7.32832,0.0084375,
285,0.0,9.60275e-06,7.33207,0.0046875,
286,0.0,5.74351e-06,7.38457,0.130313,
287,0.0,2.78863e-09,7.57957,0.0121875,
288,0.0,2.75945e-09,7.57957,0.0121875,
289,0.0,2.73275e-09,7.57957,0.0121875,
290,0.0,2.70736e-09,7.57957,0.0121875,
291,0.0,2.68215e-09,7.57957,0.0121875,
292,0.0,2.65773e-09,7.57957,0.0121875,
293,0.0,2.63117e-09,7.57957,0.0121875,
294,0.0,2.61837e-09,7.5852,0.0065625,
295,0.0,2.60805e-09,7.5852,0.0065625,
296,0.0,2.59827e-09,7.5852,0.0065625,
297,0.0,2.58938e-09,7.5852,0.0065625,
298,0.0,9.84527e-07,7.35457,0.152812,
299,0.0,3.45214e-06,7.3527,0.124688,
300,0.0,6.64983e-07,7.33957,0.0609375,
301,0.0,1.35836e-05,7.31895,0.0159375,
302,0.0,5.12761e-06,7.3752,0.0009375,
303,0.0,2.55593e-09,7.5852,0.0065625,
304,0.0,2.55168e-09,7.5852,0.0065625,
305,0.0,2.54768e-09,7.5852,0.0065625,
306,0.0,2.54353e-09,7.5852,0.0065625,
307,0.0,2.53953e-09,7.5852,0.0065625,
308,0.0,2.53481e-09,7.5852,0.0065625,
309,0.0,2.529e-09,7.5852,0.0065625,
310,0.0,4.70067e-06,7.35457,0.162187,
311,0.0,1.48354e-05,7.31895,0.0234375,
312,0.0,4.91336e-05,7.32082,0.0140625,
313,0.0,6.33607e-05,7.32082,0.0140625,
314,0.0,6.8931e-05,7.32082,0.0140625,
315,0.0,6.92418e-05,7.32082,0.0140625,
316,0.0,6.5236e-05,7.32082,0.0140625,
317,0.0,6.03083e-05,7.32082,0.0140625,
318,0.0,4.76016e-05,7.32082,0.0140625,
319,0.0,1.51617e-05,7.36582,0.261562,
320,0.0,1.87248e-07,7.5477,0.229687,
321,0.0,1.16926e-08,7.3227,0.0234375,
322,0.0,1.14417e-08,7.3227,0.0234375,
323,0.0,1.12002e-08,7.3227,0.0234375,
324,0.0,1.45345e-06,7.45395,0.310312,
325,0.0,1.41216e-06,7.51582,0.284062,
326,0.0,1.0491e-08,7.3227,0.0234375,
327,0.0,4.25159e-06,7.53457,0.229687,
328,0.0,5.1738e-06,7.50082,0.259687,
329,0.0,1.50734e-05,7.41457,0.237187,
330,0.0,1.74939e-05,7.41645,0.237187,
331,0.0,2.33226e-05,7.38645,0.261562,
332,0.0,2.60733e-05,7.35645,0.210937,
333,0.0,2.83258e-05,7.3677,0.270937,
334,0.0,3.1347e-05,7.35645,0.210937,
335,0.0,3.27644e-05,7.35645,0.214687,
336,0.0,3.5942e-05,7.31895,0.0384375,
337,0.0,5.26123e-05,7.32082,0.0028125,
338,0.0,5.60915e-05,7.32082,0.0365625,
339,0.0,5.50076e-05,7.32082,0.0365625,
340,0.0,4.42429e-05,7.32082,0.0365625,
