timestep,time,value,x,y,z
208,0.0,433390.0,6.08651,0.0009375,
209,0.0,432953.0,6.1153,0.0009375,
210,0.0,432536.0,6.15534,0.0009375,
211,0.0,432150.0,6.18007,0.0009375,
212,0.0,431669.0,6.20335,0.0065625,
213,0.0,431291.0,6.23571,0.0759375,
214,0.0,430862.0,6.26524,0.147187,
215,0.0,430420.0,6.29221,0.218437,
216,0.0,429996.0,6.32453,0.439688,
217,0.0,429575.0,6.35315,0.400313,
218,0.0,429129.0,6.37849,0.582187,
219,0.0,428743.0,6.41117,0.0646875,
220,0.0,428337.0,6.43839,0.0628125,
221,0.0,427944.0,6.46776,0.134063,
222,0.0,427569.0,6.49807,0.143437,
223,0.0,426251.0,6.5277,0.255937,
224,0.0,424775.0,6.55395,0.0159375,
225,0.0,423369.0,6.57832,0.0140625,
226,0.0,519059.0,6.61395,0.0103125,
227,0.0,1408370.0,6.6252,0.0965625,
228,0.0,1332540.0,6.65145,0.188437,
229,0.0,1300390.0,6.68332,0.252187,
230,0.0,1254770.0,6.70395,0.284062,
231,0.0,1258690.0,6.73395,0.323437,
232,0.0,1269460.0,6.7527,0.344063,
233,0.0,1140170.0,6.78457,0.379688,
234,0.0,1188510.0,6.81082,0.400313,
235,0.0,1116780.0,6.83895,0.417188,
236,0.0,1068290.0,6.61582,0.0234375,
237,0.0,1046940.0,6.61582,0.0234375,
238,0.0,1029290.0,6.61582,0.0234375,
239,0.0,1010630.0,6.61582,0.0234375,
240,0.0,1000000.0,6.45397,0.0009375,
241,0.0,984311.0,6.45025,0.0346875,
242,0.0,966485.0,6.44247,0.115313,
243,0.0,954004.0,6.4254,0.0703125,
244,0.0,948540.0,6.41117,0.0009375,
245,0.0,935897.0,6.40093,0.0009375,
246,0.0,924842.0,6.39558,0.0778125,
247,0.0,912858.0,6.40613,0.0009375,
248,0.0,905392.0,6.39005,0.122813,
249,0.0,902913.0,6.37244,0.0253125,
250,0.0,897019.0,6.35315,0.0009375,
251,0.0,883971.0,6.35978,0.165937,
252,0.0,883449.0,6.34632,0.0009375,
253,0.0,883807.0,6.32453,0.0009375,
254,0.0,870289.0,6.33202,0.173437,
255,0.0,893724.0,7.42957,0.0009375,
256,0.0,868391.0,6.30066,0.0796875,
257,0.0,866459.0,6.30066,0.0046875,
258,0.0,861506.0,6.28349,0.0778125,
259,0.0,859171.0,6.28349,0.0009375,
260,0.0,851572.0,6.26524,0.0684375,
261,0.0,848293.0,6.2557,0.0009375,
262,0.0,838869.0,6.24585,0.0496875,
