timestep,time,value,x,y,z
208,0.0,101325.0,6.99457,0.0084375,
209,0.0,101325.0,6.97395,0.0215625,
210,0.0,101325.0,7.61145,0.0271875,
211,0.0,101325.0,6.77895,0.370313,
212,0.0,101325.0,7.28332,0.469688,
213,0.0,101325.0,7.02645,0.492188,
214,0.0,101325.0,7.24207,0.482813,
215,0.0,101325.0,7.61145,0.0271875,
216,0.0,101325.0,7.24207,0.482813,
217,0.0,101325.0,7.22707,0.486563,
218,0.0,101325.0,7.00957,0.0459375,
219,0.0,101325.0,7.00957,0.0459375,
220,0.0,101325.0,6.97207,0.479063,
221,0.0,101325.0,6.89145,0.0196875,
222,0.0,101325.0,6.89145,0.0196875,
223,0.0,101325.0,6.89145,0.0196875,
224,0.0,101325.0,7.32082,0.454688,
225,0.0,101325.0,7.08457,0.0009375,
226,0.0,101325.0,6.99082,0.134063,
227,0.0,101325.0,6.8577,0.0215625,
228,0.0,101325.0,6.84832,0.0009375,
229,0.0,101325.0,7.42957,0.387188,
230,0.0,101325.0,6.91207,0.154687,
231,0.0,101325.0,7.03395,0.173437,
232,0.0,101325.0,7.0152,0.175312,
233,0.0,101325.0,7.17645,0.0084375,
234,0.0,101325.0,7.58707,0.160312,
235,0.0,100815.0,0.0984962,0.0009375,
236,0.0,100138.0,0.0984962,0.0009375,
237,0.0,99477.3,0.0984962,0.0009375,
238,0.0,98816.3,0.0984962,0.0009375,
239,0.0,98170.3,0.0984962,0.0009375,
240,0.0,70920.9,7.1652,0.482813,
241,0.0,14396.5,7.21582,0.464063,
242,0.0,-55659.5,7.26645,0.443438,
243,0.0,-134673.0,7.30957,0.413438,
244,0.0,-224222.0,7.34895,0.374063,
245,0.0,-323452.0,7.38082,0.330937,
246,0.0,-440904.0,7.40895,0.284062,
247,0.0,-575205.0,7.42582,0.231562,
248,0.0,-733923.0,7.43332,0.177187,
249,0.0,-930027.0,7.43332,0.120938,
250,0.0,-1191140.0,7.41457,0.0665625,
251,0.0,-1674430.0,7.38832,0.0159375,
252,0.0,-2048040.0,7.32082,0.0009375,
253,0.0,-1436000.0,7.26832,0.0009375,
254,0.0,-1065310.0,7.2177,0.0009375,
255,0.0,-798058.0,7.16707,0.0009375,
256,0.0,-617118.0,7.11645,0.0009375,
257,0.0,-471912.0,7.0677,0.0178125,
258,0.0,-335022.0,7.01707,0.0159375,
259,0.0,-223603.0,6.96832,0.0271875,
260,0.0,-114593.0,6.9177,0.0009375,
261,0.0,-37166.2,7.4577,0.338438,
262,0.0,-3094.79,7.4502,0.0028125,
263,0.0,572.093,7.3677,0.0084375,
264,0.0,555.521,7.3677,0.0065625,
265,0.0,548.64,7.3677,0.0065625,
266,0.0,-29971.7,7.35645,0.0084375,
267,0.0,-42819.4,7.36582,0.0065625,
268,0.0,19597.4,7.10895,0.411563,
269,0.0,49426.6,7.05457,0.400313,
270,0.0,57438.2,7.00207,0.381563,
271,0.0,80755.7,0.0984962,0.0009375,
272,0.0,80304.3,0.0984962,0.0009375,
273,0.0,-348944.0,6.93457,0.0009375,
274,0.0,-694442.0,6.99457,0.0009375,
275,0.0,-349543.0,7.04707,0.0009375,
276,0.0,-288795.0,7.09582,0.0009375,
277,0.0,-254095.0,7.14645,0.0028125,
278,0.0,-208290.0,7.1952,0.0028125,
279,0.0,-225165.0,7.2477,0.0009375,
280,0.0,-508772.0,7.2477,0.165937,
281,0.0,-367582.0,7.17082,0.310312,
282,0.0,-257487.0,7.34145,0.201562,
283,0.0,-240982.0,7.3902,0.216562,
284,0.0,-233585.0,7.4277,0.250312,
285,0.0,-231127.0,6.98332,0.220312,
286,0.0,-367147.0,6.94207,0.180937,
287,0.0,-394671.0,6.90645,0.134063,
288,0.0,-203091.0,6.91582,0.0740625,
289,0.0,-220641.0,6.93645,0.0215625,
290,0.0,-309635.0,6.9927,0.0009375,
291,0.0,-10270.6,7.14832,0.479063,
292,0.0,-20612.5,7.13332,0.420938,
293,0.0,-102390.0,7.10707,0.336562,
294,0.0,-18654.9,7.16332,0.325312,
295,0.0,-25467.5,7.31895,0.315937,
296,0.0,-12168.7,7.34895,0.265312,
297,0.0,-29934.9,7.28895,0.209062,
298,0.0,-43030.3,7.35457,0.162187,
299,0.0,-21886.3,7.32832,0.105938,
300,0.0,-84819.3,7.27582,0.0009375,
301,0.0,-47080.0,7.39582,0.379688,
302,0.0,1296.02,7.37707,0.0009375,
303,0.0,-171929.0,7.41082,0.359063,
304,0.0,-160014.0,7.35832,0.359063,
305,0.0,-126473.0,7.11082,0.261562,
306,0.0,-273872.0,7.1652,0.265312,
307,0.0,-336050.0,7.20832,0.295312,
308,0.0,-202916.0,7.12207,0.308437,
309,0.0,-125729.0,7.24207,0.419063,
310,0.0,-167221.0,7.28707,0.449063,
311,0.0,-418913.0,7.2177,0.0009375,
312,0.0,-326546.0,7.45957,0.314062,
313,0.0,-276149.0,7.0077,0.0721875,
314,0.0,-305805.0,7.03395,0.0196875,
315,0.0,-157178.0,7.31707,0.203437,
316,0.0,-65534.9,7.15957,0.246562,
317,0.0,-232308.0,7.10707,0.274687,
318,0.0,-107767.0,7.28707,0.355313,
319,0.0,-136924.0,7.2177,0.222187,
320,0.0,-62481.5,7.25707,0.184687,
321,0.0,-7391.76,7.55145,0.287812,
322,0.0,-10889.9,7.54395,0.285937,
323,0.0,-16114.0,7.53832,0.287812,
324,0.0,-25865.0,7.45582,0.325312,
325,0.0,-24854.3,7.53457,0.295312,
326,0.0,-79464.3,7.1802,0.471563,
327,0.0,-61149.0,7.1352,0.432188,
328,0.0,-47578.2,7.43332,0.263437,
329,0.0,-82206.4,7.14082,0.323437,
330,0.0,-138934.0,7.28707,0.259687,
331,0.0,-168129.0,7.11832,0.203437,
332,0.0,-293511.0,7.16332,0.173437,
333,0.0,-472564.0,7.19707,0.120938,
334,0.0,-376636.0,7.18957,0.0628125,
335,0.0,-591657.0,7.1877,0.0009375,
336,0.0,-377111.0,7.10332,0.0009375,
337,0.0,-221354.0,7.21395,0.0871875,
338,0.0,-204494.0,7.2702,0.126563,
339,0.0,-251354.0,6.91207,0.0009375,
340,0.0,-272216.0,6.9627,0.0009375,
