timestep,time,value,x,y,z
208,0.0,0.000208333,7.24582,0.480938,
209,0.0,0.000208333,6.63457,0.139688,
210,0.0,0.000208333,7.4352,0.0515625,
211,0.0,0.000208333,6.8502,0.0984375,
212,0.0,0.000208333,7.3902,0.0890625,
213,0.0,0.000208333,7.33582,0.0928125,
214,0.0,0.000208333,7.49707,0.0590625,
215,0.0,0.000208333,7.40707,0.0103125,
216,0.0,0.000208333,7.4652,0.132188,
217,0.0,0.000208333,7.19332,0.492188,
218,0.0,0.000208333,7.49332,0.0365625,
219,0.0,0.000208333,7.4202,0.0684375,
220,0.0,0.000208333,7.4127,0.0496875,
221,0.0,0.000208333,7.49707,0.0590625,
222,0.0,0.000208333,7.4952,0.0009375,
223,0.0,0.000208333,7.46895,0.134063,
224,0.0,0.000208333,7.42395,0.0740625,
225,0.0,0.000208333,7.4652,0.132188,
226,0.0,0.000208333,6.8577,0.0459375,
227,0.0,0.000208333,7.41832,0.0440625,
228,0.0,0.000208333,7.25332,0.0215625,
229,0.0,0.000208333,7.10145,0.387188,
230,0.0,0.000208333,6.8352,0.0215625,
231,0.0,0.000208333,7.1577,0.270937,
232,0.0,0.000208333,6.83707,0.0234375,
233,0.0,0.000208333,7.3002,0.381563,
234,0.0,0.000208333,7.25707,0.233437,
235,0.0,0.000208333,6.81082,0.0234375,
236,0.0,0.000208333,7.26457,0.405938,
237,0.0,0.000208333,7.27957,0.0084375,
238,0.0,0.000208333,6.75457,0.0815625,
239,0.0,0.000208333,6.8352,0.0215625,
240,0.0,0.000208333,6.99082,0.149062,
241,0.0,0.000208333,7.25707,0.182812,
242,0.0,0.000208333,6.9027,0.113438,
243,0.0,0.000208333,7.31145,0.284062,
244,0.0,0.000208333,7.25332,0.0215625,
245,0.0,0.000208333,7.04895,0.246562,
246,0.0,0.000208333,6.99832,0.248437,
247,0.0,0.000208333,6.9027,0.113438,
248,0.0,0.000208333,6.83707,0.0234375,
249,0.0,0.000208333,7.12582,0.218437,
250,0.0,0.000208333,7.08082,0.334688,
251,0.0,0.000208333,7.25332,0.0215625,
252,0.0,0.000208333,7.11645,0.336562,
253,0.0,0.000208333,7.16145,0.278437,
254,0.0,0.000208333,7.16332,0.299062,
255,0.0,0.000208333,7.19707,0.194062,
256,0.0,0.000208333,6.99457,0.137813,
257,0.0,0.000208333,7.19707,0.194062,
258,0.0,0.000208333,7.16707,0.276562,
259,0.0,0.000208333,7.11645,0.336562,
260,0.0,0.000208333,7.16145,0.278437,
261,0.0,0.000208333,7.24582,0.160312,
262,0.0,0.000208333,7.16707,0.0665625,
263,0.0,0.000208333,7.24582,0.160312,
264,0.0,0.000208333,7.16707,0.0665625,
265,0.0,0.000208333,7.17832,0.0946875,
266,0.0,0.000208333,7.11645,0.336562,
267,0.0,0.000208333,6.9027,0.109688,
268,0.0,0.000208333,7.11645,0.336562,
269,0.0,0.00020837,6.73395,0.327187,
270,0.0,0.000208359,6.76395,0.359063,
271,0.0,0.000208383,6.79582,0.387188,
272,0.0,0.000208347,6.83145,0.413438,
273,0.0,0.000208388,6.87082,0.437813,
274,0.0,0.000217816,6.88207,0.420938,
275,0.0,0.00022879,6.9177,0.439688,
276,0.0,0.000240512,6.95707,0.456563,
277,0.0,0.000255867,7.00207,0.467813,
278,0.0,0.000273413,7.0452,0.477188,
279,0.0,0.000296065,7.08645,0.482813,
280,0.0,0.000321314,7.13145,0.484688,
281,0.0,0.000339733,7.17832,0.482813,
282,0.0,0.000355657,7.22145,0.475313,
283,0.0,0.000405156,7.25145,0.447188,
284,0.0,0.000443,7.28707,0.437813,
285,0.0,0.000491172,7.31332,0.407813,
286,0.0,0.000440407,7.33395,0.400313,
287,0.0,0.000473136,7.3077,0.430313,
288,0.0,0.000530001,7.43145,0.317812,
289,0.0,0.000568957,7.36395,0.381563,
290,0.0,0.000632098,7.46145,0.269062,
291,0.0,0.000678464,7.45957,0.248437,
292,0.0,0.000731366,7.4727,0.231562,
293,0.0,0.000782655,7.46707,0.216562,
294,0.0,0.000832904,7.47645,0.203437,
295,0.0,0.00087301,7.4877,0.184687,
296,0.0,0.000919335,7.47645,0.177187,
297,0.0,0.000962894,7.48395,0.164062,
298,0.0,0.00100033,7.49332,0.145312,
299,0.0,0.00104221,7.47832,0.143437,
300,0.0,0.0010844,7.48582,0.128438,
301,0.0,0.00112026,7.48957,0.119063,
302,0.0,0.00115324,7.47645,0.113438,
303,0.0,0.00118766,7.4802,0.104063,
304,0.0,0.00121889,7.48582,0.0871875,
305,0.0,0.00124744,7.46895,0.0928125,
306,0.0,0.00127577,7.4727,0.0815625,
307,0.0,0.00130288,7.47645,0.0684375,
308,0.0,0.00132817,7.4802,0.0534375,
309,0.0,0.00135279,7.48395,0.0215625,
310,0.0,0.00137392,7.4652,0.0534375,
311,0.0,0.00139732,7.47082,0.0065625,
312,0.0,0.00142061,7.47082,0.0065625,
313,0.0,0.0014415,7.47082,0.0065625,
314,0.0,0.00146014,7.45582,0.0046875,
315,0.0,0.00148167,7.45582,0.0046875,
316,0.0,0.00150163,7.45582,0.0046875,
317,0.0,0.00151699,7.45582,0.0046875,
318,0.0,0.00153345,7.44082,0.0028125,
319,0.0,0.00153115,7.43895,0.0009375,
320,0.0,0.00108846,7.44082,0.0028125,
321,0.0,0.00103953,7.4427,0.0478125,
322,0.0,0.000987828,7.44832,0.0440625,
323,0.0,0.000803166,7.45207,0.0009375,
324,0.0,0.00063082,7.5252,0.0328125,
325,0.0,0.000621345,7.52707,0.0028125,
326,0.0,0.000480409,7.57207,0.0084375,
327,0.0,0.000463051,7.59457,0.0721875,
328,0.0,0.000433713,7.6077,0.0103125,
329,0.0,0.00060118,7.6077,0.0103125,
330,0.0,0.000698788,7.6077,0.0028125,
331,0.0,0.000722284,7.6077,0.0028125,
332,0.0,0.000612892,7.59082,0.0009375,
333,0.0,0.000629774,7.57395,0.0309375,
334,0.0,0.000627583,7.5702,0.0140625,
335,0.0,0.000532186,7.54957,0.0215625,
336,0.0,0.000603755,7.5327,0.0046875,
337,0.0,0.000593106,7.5327,0.0046875,
338,0.0,0.000552109,7.38645,0.381563,
339,0.0,0.00054849,7.45207,0.0909375,
340,0.0,0.000588371,7.45207,0.0028125,
