timestep,time,value,x,y,z
208,0.0,0.000208333,6.63457,0.139688,
209,0.0,0.000208333,7.24582,0.480938,
210,0.0,0.000208333,6.63457,0.139688,
211,0.0,0.000208333,7.52145,0.287812,
212,0.0,0.000208333,7.21207,0.488438,
213,0.0,0.000208333,7.4352,0.381563,
214,0.0,0.000208333,7.38645,0.415313,
215,0.0,0.000208333,7.42957,0.387188,
216,0.0,0.000208333,7.19332,0.492188,
217,0.0,0.000208333,6.63457,0.139688,
218,0.0,0.000208333,7.19332,0.492188,
219,0.0,0.000208333,7.21207,0.488438,
220,0.0,0.000208333,6.6252,0.0984375,
221,0.0,0.000208333,7.41645,0.0403125,
222,0.0,0.000208333,7.4502,0.368438,
223,0.0,0.000208333,7.24582,0.480938,
224,0.0,0.000208333,7.61332,0.0046875,
225,0.0,0.000208333,7.09957,0.499688,
226,0.0,0.000208333,6.61582,0.0384375,
227,0.0,0.000208333,7.27582,0.471563,
228,0.0,0.000208333,6.99082,0.482813,
229,0.0,0.000208333,6.95145,0.471563,
230,0.0,0.000208333,7.0227,0.490313,
231,0.0,0.000208333,6.95145,0.471563,
232,0.0,0.000208333,7.0227,0.490313,
233,0.0,0.000208333,6.63457,0.139688,
234,0.0,0.000208333,7.27582,0.471563,
235,0.0,0.000208333,6.61582,0.0384375,
236,0.0,0.000208333,7.3602,0.177187,
237,0.0,0.000208333,7.26457,0.405938,
238,0.0,0.000208333,7.00395,0.246562,
239,0.0,0.000208333,7.35645,0.0271875,
240,0.0,0.000208333,6.83707,0.0234375,
241,0.0,0.000208333,6.9027,0.113438,
242,0.0,0.000208333,7.31145,0.284062,
243,0.0,0.000208333,7.27582,0.332812,
244,0.0,0.000208333,7.2552,0.477188,
245,0.0,0.000208333,7.0077,0.156562,
246,0.0,0.000208333,6.80332,0.180937,
247,0.0,0.000208333,6.99832,0.248437,
248,0.0,0.000208333,6.9027,0.113438,
249,0.0,0.000208333,7.32832,0.368438,
250,0.0,0.000208333,6.77332,0.0928125,
251,0.0,0.000208333,7.08082,0.334688,
252,0.0,0.000208333,7.27582,0.332812,
253,0.0,0.000208333,6.80332,0.180937,
254,0.0,0.000208333,7.16707,0.0665625,
255,0.0,0.000208333,7.16895,0.494063,
256,0.0,0.000208333,7.1577,0.282187,
257,0.0,0.000208333,6.9027,0.113438,
258,0.0,0.000208333,7.11645,0.336562,
259,0.0,0.000208333,7.42395,0.267187,
260,0.0,0.000208333,7.08082,0.334688,
261,0.0,0.000208333,7.27395,0.471563,
262,0.0,0.000208333,7.55145,0.0046875,
263,0.0,0.000208333,6.7002,0.184687,
264,0.0,5.97511e-05,6.61582,0.0234375,
265,0.0,6.21976e-05,6.63832,0.147187,
266,0.0,6.35189e-05,6.66457,0.195937,
267,0.0,6.62919e-05,6.69457,0.229687,
268,0.0,6.85236e-05,6.77332,0.135938,
269,0.0,6.79841e-05,6.72457,0.312187,
270,0.0,7.10039e-05,6.86332,0.115313,
271,0.0,7.21401e-05,6.90645,0.115313,
272,0.0,7.3326e-05,6.94957,0.115313,
273,0.0,7.2667e-05,6.8127,0.398438,
274,0.0,7.53758e-05,7.03582,0.113438,
275,0.0,6.9977e-05,6.8577,0.428438,
276,0.0,7.71688e-05,7.1202,0.120938,
277,0.0,7.80137e-05,7.16332,0.119063,
278,0.0,7.8804e-05,7.20832,0.0984375,
279,0.0,7.9514e-05,7.25332,0.0684375,
280,0.0,8.02042e-05,7.29645,0.0609375,
281,0.0,8.08756e-05,7.33957,0.0515625,
282,0.0,8.15078e-05,7.3827,0.0121875,
283,0.0,8.19248e-05,7.20832,0.454688,
284,0.0,7.09728e-05,7.24395,0.445313,
285,0.0,6.44056e-05,7.27582,0.437813,
286,0.0,5.44998e-05,7.31332,0.426563,
287,0.0,6.39016e-05,7.26645,0.441563,
288,0.0,7.61213e-05,7.3002,0.398438,
289,0.0,5.24085e-05,7.31145,0.426563,
290,0.0,4.80884e-05,7.43707,0.315937,
291,0.0,5.1921e-05,7.45582,0.287812,
292,0.0,4.13536e-05,7.4652,0.270937,
293,0.0,3.69043e-05,7.43332,0.218437,
294,0.0,3.20901e-05,7.47082,0.239062,
295,0.0,3.34038e-05,7.48207,0.224062,
296,0.0,3.40861e-05,7.49707,0.203437,
297,0.0,2.76679e-05,7.46332,0.194062,
298,0.0,3.21906e-05,7.4652,0.182812,
299,0.0,2.97741e-05,7.43145,0.231562,
300,0.0,4.01198e-05,7.44832,0.233437,
301,0.0,5.34859e-05,7.48582,0.244687,
302,0.0,3.88586e-05,7.4727,0.207187,
303,0.0,3.04508e-05,7.4202,0.120938,
304,0.0,2.50732e-05,7.48957,0.126563,
305,0.0,3.02895e-05,7.51582,0.0815625,
306,0.0,3.9731e-05,7.52145,0.0403125,
307,0.0,3.31801e-05,7.46895,0.145312,
308,0.0,3.59088e-05,7.4052,0.0759375,
309,0.0,2.49653e-05,7.45582,0.0928125,
310,0.0,3.40302e-05,7.50645,0.0365625,
311,0.0,2.92493e-05,7.45957,0.218437,
312,0.0,2.18858e-05,7.42395,0.0665625,
313,0.0,4.45525e-05,7.4652,0.177187,
314,0.0,3.2316e-05,7.48207,0.0478125,
315,0.0,3.12787e-05,7.45957,0.169687,
316,0.0,3.50316e-05,7.42207,0.100313,
317,0.0,3.18308e-05,7.46145,0.128438,
318,0.0,3.22069e-05,7.41457,0.0253125,
319,0.0,3.9281e-05,7.4502,0.124688,
320,0.0,2.92605e-05,7.41082,0.0215625,
321,0.0,3.25739e-05,7.43707,0.0721875,
