timestep,time,value,x,y,z
260,0.0,0.0,0.0984962,,
261,0.0,0.0,0.0984962,,
262,0.0,0.0,0.0984962,,
263,0.0,0.0,0.0984962,,
264,0.0,0.0,0.0984962,,
265,0.0,0.0,0.0984962,,
266,0.0,0.0,0.0984962,,
267,0.0,0.0,0.0984962,,
268,0.0,0.0,0.0984962,,
269,0.0,0.0,0.0984962,,
270,0.0,0.0,0.0984962,,
271,0.0,0.0,0.0984962,,
272,0.0,0.0,0.0984962,,
273,0.0,0.0,0.0984962,,
274,0.0,0.0,0.0984962,,
275,0.0,0.0,0.0984962,,
276,0.0,0.0,0.0984962,,
277,0.0,0.0,0.0984962,,
278,0.0,0.0,0.0984962,,
279,0.0,0.0,0.0984962,,
280,0.0,0.0,0.0984962,,
281,0.0,0.0,0.0984962,,
282,0.0,6.41632e-10,7.24207,,
283,0.0,1.72466e-09,7.27582,,
284,0.0,9.53073e-09,7.33395,,
285,0.0,3.34924e-08,7.3302,,
286,0.0,3.34422e-08,7.3527,,
287,0.0,3.83027e-08,7.37707,,
288,0.0,4.09719e-08,7.38645,,
289,0.0,4.61313e-08,7.36957,,
290,0.0,5.5043e-08,7.42395,,
291,0.0,5.18656e-08,7.41082,,
292,0.0,5.54557e-08,7.41457,,
293,0.0,5.43414e-08,7.40707,,
294,0.0,5.83698e-08,7.44457,,
295,0.0,6.12286e-08,7.4427,,
296,0.0,7.74608e-08,7.4277,,
297,0.0,7.19003e-08,7.42957,,
298,0.0,7.88269e-08,7.43895,,
299,0.0,8.50236e-08,7.43332,,
300,0.0,8.75366e-08,7.43332,,
301,0.0,8.4527e-08,7.4502,,
302,0.0,8.86456e-08,7.44645,,
303,0.0,9.18844e-08,7.4352,,
304,0.0,9.38127e-08,7.4352,,
305,0.0,9.09474e-08,7.4352,,
306,0.0,9.56315e-08,7.45957,,
307,0.0,9.94827e-08,7.46895,,
308,0.0,1.20183e-07,7.46895,,
309,0.0,1.07679e-07,7.46895,,
310,0.0,1.04688e-07,7.46145,,
311,0.0,1.1997e-07,7.45582,,
312,0.0,1.32183e-07,7.45582,,
313,0.0,1.25209e-07,7.45582,,
314,0.0,1.20709e-07,7.43145,,
315,0.0,1.20815e-07,7.45207,,
316,0.0,1.20008e-07,7.45207,,
317,0.0,1.10377e-07,7.43895,,
318,0.0,1.2267e-07,7.45395,,
319,0.0,1.23831e-07,7.45207,,
320,0.0,1.11917e-07,7.45207,,
321,0.0,9.49389e-08,7.45395,,
322,0.0,1.08669e-07,7.44645,,
323,0.0,6.29531e-08,7.46145,,
324,0.0,8.33235e-08,7.51582,,
325,0.0,6.33078e-08,7.54957,,
326,0.0,5.51606e-11,7.55707,,
327,0.0,2.16763e-08,7.60957,,
328,0.0,4.0825e-08,7.6077,,
329,0.0,5.64954e-08,7.60207,,
330,0.0,6.51791e-08,7.59832,,
331,0.0,6.31984e-08,7.59832,,
332,0.0,5.18816e-08,7.5777,,
333,0.0,4.3821e-08,7.57395,,
334,0.0,4.93573e-08,7.55145,,
335,0.0,4.49419e-08,7.53645,,
336,0.0,4.71967e-08,7.53082,,
337,0.0,4.93622e-08,7.4652,,
338,0.0,5.84573e-08,7.4652,,
339,0.0,4.57322e-08,7.44832,,
340,0.0,3.50703e-08,7.46145,,
