timestep,time,value,x,y,z
260,0.0,0.0,0.0984962,,
261,0.0,0.0,0.0984962,,
262,0.0,0.0,0.0984962,,
263,0.0,0.0,0.0984962,,
264,0.0,0.0,0.0984962,,
265,0.0,0.0,0.0984962,,
266,0.0,0.0,0.0984962,,
267,0.0,0.0,0.0984962,,
268,0.0,0.0,0.0984962,,
269,0.0,0.0,0.0984962,,
270,0.0,0.0,0.0984962,,
271,0.0,0.0,0.0984962,,
272,0.0,0.0,0.0984962,,
273,0.0,0.0,0.0984962,,
274,0.0,0.0,0.0984962,,
275,0.0,0.0,0.0984962,,
276,0.0,0.0,0.0984962,,
277,0.0,0.0,0.0984962,,
278,0.0,0.0,0.0984962,,
279,0.0,0.0,0.0984962,,
280,0.0,0.0,0.0984962,,
281,0.0,0.0,0.0984962,,
282,0.0,-9.27409e-23,7.23457,,
283,0.0,-9.27381e-23,7.23457,,
284,0.0,-9.2954e-23,7.31145,,
285,0.0,-9.29467e-23,7.31145,,
286,0.0,-9.29497e-23,7.31145,,
287,0.0,-9.29487e-23,7.31145,,
288,0.0,-9.29478e-23,7.31145,,
289,0.0,-9.29488e-23,7.31145,,
290,0.0,-9.2948e-23,7.31145,,
291,0.0,-9.2948e-23,7.31145,,
292,0.0,-9.48109e-23,7.4052,,
293,0.0,-9.70124e-23,7.4052,,
294,0.0,-9.76037e-23,7.4052,,
295,0.0,-9.73716e-23,7.4052,,
296,0.0,-9.73541e-23,7.4052,,
297,0.0,-9.73536e-23,7.4052,,
298,0.0,-9.86593e-23,7.2852,,
299,0.0,-9.82616e-23,7.3002,,
300,0.0,-9.7352e-23,7.4052,,
301,0.0,-9.73525e-23,7.4052,,
302,0.0,-9.73514e-23,7.4052,,
303,0.0,-9.63889e-23,7.23832,,
304,0.0,-9.63766e-23,7.23832,,
305,0.0,-9.6349e-23,7.2402,,
306,0.0,-9.63279e-23,7.2402,,
307,0.0,-9.62891e-23,7.2402,,
308,0.0,-9.62394e-23,7.2402,,
309,0.0,-9.61736e-23,7.2402,,
310,0.0,-9.61041e-23,7.2402,,
311,0.0,-9.60253e-23,7.3002,,
312,0.0,-9.60243e-23,7.24207,,
313,0.0,-9.60243e-23,7.3002,,
314,0.0,-9.6023e-23,7.24207,,
315,0.0,-9.6023e-23,7.3002,,
316,0.0,-9.60238e-23,7.3002,,
317,0.0,-9.6024e-23,7.3002,,
318,0.0,-9.60244e-23,7.24207,,
319,0.0,-9.60223e-23,7.3002,,
320,0.0,-9.60216e-23,7.3002,,
321,0.0,-9.602e-23,7.24207,,
322,0.0,-9.60203e-23,7.24207,,
323,0.0,-9.60204e-23,7.24207,,
324,0.0,-9.60205e-23,7.24207,,
325,0.0,-9.60227e-23,7.24207,,
326,0.0,-9.60221e-23,7.24207,,
327,0.0,-9.602e-23,7.24207,,
328,0.0,-9.60147e-23,7.24207,,
329,0.0,-9.60132e-23,7.24207,,
330,0.0,-9.60144e-23,7.24207,,
331,0.0,-9.60027e-23,7.24207,,
332,0.0,-9.59627e-23,7.24207,,
333,0.0,-9.58956e-23,7.24207,,
334,0.0,-9.578e-23,7.24207,,
335,0.0,-9.56174e-23,7.24207,,
336,0.0,-9.53944e-23,7.24207,,
337,0.0,-9.50679e-23,7.24207,,
338,0.0,-9.49067e-23,7.30395,,
339,0.0,-9.47787e-23,7.30395,,
340,0.0,-9.46024e-23,7.30395,,
