timestep,time,value,x,y,z
260,0.0,0.0,0.0984962,0.0009375,
261,0.0,0.0,0.0984962,0.0009375,
262,0.0,0.0,0.0984962,0.0009375,
263,0.0,0.0,0.0984962,0.0009375,
264,0.0,0.0,0.0984962,0.0009375,
265,0.0,0.0,0.0984962,0.0009375,
266,0.0,0.0,0.0984962,0.0009375,
267,0.0,0.0,0.0984962,0.0009375,
268,0.0,0.0,0.0984962,0.0009375,
269,0.0,0.0,0.0984962,0.0009375,
270,0.0,0.0,0.0984962,0.0009375,
271,0.0,0.0,0.0984962,0.0009375,
272,0.0,0.0,0.0984962,0.0009375,
273,0.0,0.0,0.0984962,0.0009375,
274,0.0,0.0,0.0984962,0.0009375,
275,0.0,0.0,0.0984962,0.0009375,
276,0.0,0.0,0.0984962,0.0009375,
277,0.0,0.0,0.0984962,0.0009375,
278,0.0,0.0,0.0984962,0.0009375,
279,0.0,0.0,0.0984962,0.0009375,
280,0.0,0.0,0.0984962,0.0009375,
281,0.0,0.0,0.0984962,0.0009375,
282,0.0,3.5016e-05,7.24207,0.452813,
283,0.0,9.53201e-05,7.27582,0.432188,
284,0.0,0.000528167,7.33395,0.392813,
285,0.0,0.00186378,7.3302,0.396563,
286,0.0,0.00185808,7.3527,0.360938,
287,0.0,0.00212682,7.37707,0.357188,
288,0.0,0.00227631,7.38645,0.330937,
289,0.0,0.00256665,7.36957,0.375938,
290,0.0,0.00305758,7.42395,0.285937,
291,0.0,0.00288099,7.41082,0.336562,
292,0.0,0.00307888,7.41457,0.332812,
293,0.0,0.00301997,7.40707,0.287812,
294,0.0,0.00324115,7.44457,0.222187,
295,0.0,0.0034001,7.4427,0.224062,
296,0.0,0.00429569,7.4277,0.220312,
297,0.0,0.0039897,7.42957,0.214687,
298,0.0,0.004373,7.43895,0.210937,
299,0.0,0.00471253,7.43332,0.190312,
300,0.0,0.00485232,7.43332,0.190312,
301,0.0,0.00468376,7.4502,0.190312,
302,0.0,0.00491832,7.44645,0.182812,
303,0.0,0.00509357,7.4352,0.160312,
304,0.0,0.00520098,7.4352,0.160312,
305,0.0,0.00504448,7.4352,0.160312,
306,0.0,0.00530712,7.45957,0.117188,
307,0.0,0.00551786,7.46895,0.179062,
308,0.0,0.00665006,7.46895,0.173437,
309,0.0,0.0059599,7.46895,0.173437,
310,0.0,0.00581721,7.46145,0.150937,
311,0.0,0.0066391,7.45582,0.117188,
312,0.0,0.00730964,7.45582,0.117188,
313,0.0,0.00693327,7.45582,0.117188,
314,0.0,0.00668619,7.43145,0.0834375,
315,0.0,0.00668629,7.45207,0.0609375,
316,0.0,0.00664063,7.45207,0.0609375,
317,0.0,0.00611195,7.43895,0.0853125,
318,0.0,0.00679657,7.45395,0.0403125,
319,0.0,0.00686143,7.45207,0.0384375,
320,0.0,0.00618981,7.45207,0.0365625,
321,0.0,0.00526266,7.45395,0.0478125,
322,0.0,0.00601422,7.44645,0.0009375,
323,0.0,0.00351061,7.46145,0.0009375,
324,0.0,0.00462018,7.51582,0.0009375,
325,0.0,0.00352411,7.54957,0.0009375,
326,0.0,1.24868e-06,7.4352,0.0721875,
327,0.0,0.00119978,7.60957,0.0403125,
328,0.0,0.00226973,7.6077,0.0065625,
329,0.0,0.00313973,7.60207,0.0046875,
330,0.0,0.00361839,7.59832,0.0028125,
331,0.0,0.00350652,7.59832,0.0028125,
332,0.0,0.00288055,7.5777,0.0271875,
333,0.0,0.00243496,7.57395,0.0009375,
334,0.0,0.0027419,7.55145,0.0234375,
335,0.0,0.00249654,7.53645,0.0065625,
336,0.0,0.00262179,7.53082,0.0309375,
337,0.0,0.00274899,7.4652,0.0009375,
338,0.0,0.00324436,7.4652,0.0009375,
339,0.0,0.00253961,7.44832,0.0928125,
340,0.0,0.00195001,7.46145,0.0009375,
