timestep,time,value,x,y,z
260,0.0,1e-05,7.16145,0.278437,
261,0.0,1e-05,7.24582,0.160312,
262,0.0,1e-05,7.16707,0.0665625,
263,0.0,1e-05,7.24582,0.160312,
264,0.0,1e-05,7.16707,0.0665625,
265,0.0,1e-05,7.17832,0.0946875,
266,0.0,1e-05,7.11645,0.336562,
267,0.0,1e-05,6.9027,0.109688,
268,0.0,1e-05,7.11645,0.336562,
269,0.0,1e-05,7.34895,0.435938,
270,0.0,1e-05,7.09957,0.355313,
271,0.0,1e-05,7.16707,0.0665625,
272,0.0,1e-05,7.60207,0.0928125,
273,0.0,1e-05,7.41457,0.203437,
274,0.0,1.14294e-05,6.88207,0.420938,
275,0.0,1.32451e-05,6.9177,0.439688,
276,0.0,1.53869e-05,6.95707,0.456563,
277,0.0,1.8526e-05,7.00207,0.467813,
278,0.0,2.26042e-05,7.0452,0.477188,
279,0.0,2.87006e-05,7.08645,0.482813,
280,0.0,3.66874e-05,7.13145,0.484688,
281,0.0,4.33653e-05,7.17832,0.482813,
282,0.0,4.97531e-05,7.22145,0.475313,
283,0.0,7.35521e-05,7.25145,0.447188,
284,0.0,9.61484e-05,7.28707,0.437813,
285,0.0,0.000131056,7.31332,0.407813,
286,0.0,9.44698e-05,7.33395,0.400313,
287,0.0,0.000117136,7.3077,0.430313,
288,0.0,0.000164652,7.43145,0.317812,
289,0.0,0.000203689,7.36395,0.381563,
290,0.0,0.000279311,7.46145,0.269062,
291,0.0,0.000345394,7.45957,0.248437,
292,0.0,0.000432645,7.4727,0.231562,
293,0.0,0.000530211,7.46707,0.216562,
294,0.0,0.000639025,7.47645,0.203437,
295,0.0,0.000735833,7.4877,0.184687,
296,0.0,0.000859081,7.47645,0.177187,
297,0.0,0.000987127,7.48395,0.164062,
298,0.0,0.00110682,7.49332,0.145312,
299,0.0,0.00125066,7.47832,0.143437,
300,0.0,0.00140881,7.48395,0.132188,
301,0.0,0.00155447,7.48957,0.119063,
302,0.0,0.00169359,7.47645,0.115313,
303,0.0,0.00184987,7.4802,0.104063,
304,0.0,0.00199974,7.48582,0.0890625,
305,0.0,0.00214301,7.46895,0.0928125,
306,0.0,0.00229141,7.4727,0.0815625,
307,0.0,0.00244017,7.47645,0.0684375,
308,0.0,0.00258549,7.4802,0.0534375,
309,0.0,0.00273142,7.48395,0.0215625,
310,0.0,0.00286019,7.4652,0.0534375,
311,0.0,0.00300801,7.47082,0.0065625,
312,0.0,0.00316081,7.47082,0.0065625,
313,0.0,0.00330269,7.47082,0.0065625,
314,0.0,0.00343028,7.45582,0.0046875,
315,0.0,0.00358384,7.45582,0.0046875,
316,0.0,0.0037306,7.45582,0.0046875,
317,0.0,0.00385055,7.45582,0.0046875,
318,0.0,0.00397045,7.44082,0.0028125,
319,0.0,0.00397478,7.43895,0.0009375,
320,0.0,0.0014263,7.44082,0.0028125,
321,0.0,0.00124234,7.4427,0.0478125,
322,0.0,0.00106663,7.44832,0.0440625,
323,0.0,0.000573255,7.45207,0.0009375,
324,0.0,0.000277698,7.5252,0.0328125,
325,0.0,0.000265517,7.52707,0.0028125,
326,0.0,0.000122647,7.57207,0.0084375,
327,0.0,0.000109821,7.59457,0.0721875,
328,0.0,9.01493e-05,7.6077,0.0103125,
329,0.0,0.000240218,7.6077,0.0103125,
330,0.0,0.00037736,7.6077,0.0028125,
331,0.0,0.00041673,7.6077,0.0028125,
332,0.0,0.000254377,7.59082,0.0009375,
333,0.0,0.000276009,7.57395,0.0309375,
334,0.0,0.000273376,7.5702,0.0140625,
335,0.0,0.000166584,7.54957,0.0215625,
336,0.0,0.000243313,7.5327,0.0046875,
337,0.0,0.000230742,7.5327,0.0046875,
338,0.0,0.000186121,7.38645,0.381563,
339,0.0,0.000182418,7.45207,0.0909375,
340,0.0,0.000225241,7.45207,0.0028125,
