timestep,time,value,x,y,z
260,0.0,9.08508e-18,1.49743,0.0009375,
261,0.0,9.0546e-18,1.49743,0.0009375,
262,0.0,9.02443e-18,1.49743,0.0009375,
263,0.0,8.99495e-18,1.49743,0.0009375,
264,0.0,8.96538e-18,1.49743,0.0009375,
265,0.0,8.93613e-18,1.49743,0.0009375,
266,0.0,8.90716e-18,1.49743,0.0009375,
267,0.0,8.87847e-18,1.49743,0.0009375,
268,0.0,8.85005e-18,1.49743,0.0009375,
269,0.0,8.82228e-18,1.49743,0.0009375,
270,0.0,8.7944e-18,1.49743,0.0009375,
271,0.0,8.76678e-18,1.49743,0.0009375,
272,0.0,8.73942e-18,1.49743,0.0009375,
273,0.0,8.71232e-18,1.49743,0.0009375,
274,0.0,8.68547e-18,1.49743,0.0009375,
275,0.0,8.65921e-18,1.49743,0.0009375,
276,0.0,8.63284e-18,1.49743,0.0009375,
277,0.0,8.6067e-18,1.49743,0.0009375,
278,0.0,8.58079e-18,1.49743,0.0009375,
279,0.0,8.55511e-18,1.49743,0.0009375,
280,0.0,8.52966e-18,1.49743,0.0009375,
281,0.0,8.50443e-18,1.49743,0.0009375,
282,0.0,8.47974e-18,1.49743,0.0009375,
283,0.0,8.45494e-18,1.49743,0.0009375,
284,0.0,8.43035e-18,1.49743,0.0009375,
285,0.0,8.40597e-18,1.49743,0.0009375,
286,0.0,8.38179e-18,1.49743,0.0009375,
287,0.0,8.35781e-18,1.49743,0.0009375,
288,0.0,8.33403e-18,1.49743,0.0009375,
289,0.0,8.31075e-18,1.49743,0.0009375,
290,0.0,8.28735e-18,1.49743,0.0009375,
291,0.0,8.26335e-18,1.64955,0.0009375,
292,0.0,8.23892e-18,1.64955,0.0009375,
293,0.0,8.21472e-18,1.64955,0.0009375,
294,0.0,8.19074e-18,1.64955,0.0009375,
295,0.0,8.16699e-18,1.64955,0.0009375,
296,0.0,8.14346e-18,1.64955,0.0009375,
297,0.0,8.12045e-18,1.64955,0.0009375,
298,0.0,8.09734e-18,1.64955,0.0009375,
299,0.0,8.07444e-18,1.64955,0.0009375,
300,0.0,8.05174e-18,1.64955,0.0009375,
301,0.0,8.02925e-18,1.64955,0.0009375,
302,0.0,8.00695e-18,1.64955,0.0009375,
303,0.0,7.98485e-18,1.64955,0.0009375,
304,0.0,7.96293e-18,1.64955,0.0009375,
305,0.0,7.94149e-18,1.64955,0.0009375,
306,0.0,7.91995e-18,1.64955,0.0009375,
307,0.0,7.89859e-18,1.64955,0.0009375,
308,0.0,7.8774e-18,1.64955,0.0009375,
309,0.0,7.8564e-18,1.64955,0.0009375,
310,0.0,7.83557e-18,1.64955,0.0009375,
311,0.0,7.8149e-18,1.64955,0.0009375,
312,0.0,7.79441e-18,1.64955,0.0009375,
313,0.0,7.77408e-18,1.64955,0.0009375,
314,0.0,7.75417e-18,1.64955,0.0009375,
315,0.0,7.73417e-18,1.64955,0.0009375,
316,0.0,7.71431e-18,1.64955,0.0009375,
317,0.0,7.69462e-18,1.64955,0.156562,
318,0.0,7.67508e-18,1.64955,0.156562,
319,0.0,7.65568e-18,1.64955,0.0403125,
320,0.0,7.63644e-18,1.64955,0.179062,
321,0.0,7.61734e-18,1.64955,0.137813,
322,0.0,7.59838e-18,1.64955,0.137813,
323,0.0,7.57957e-18,1.64955,0.137813,
324,0.0,7.56114e-18,1.64955,0.486563,
325,0.0,7.5426e-18,1.64955,0.0665625,
326,0.0,7.5242e-18,1.64955,0.124688,
327,0.0,7.50594e-18,1.64955,0.152812,
328,0.0,7.4878e-18,1.64955,0.486563,
329,0.0,7.4698e-18,1.64955,0.501563,
330,0.0,7.45192e-18,1.64955,0.501563,
331,0.0,7.43417e-18,1.64955,0.501563,
332,0.0,7.41654e-18,1.64955,0.248437,
333,0.0,7.39903e-18,1.64955,0.248437,
334,0.0,7.38165e-18,1.64955,0.145312,
335,0.0,7.36439e-18,1.64955,0.145312,
336,0.0,7.34725e-18,1.64955,0.145312,
337,0.0,7.33022e-18,1.64955,0.145312,
338,0.0,7.31331e-18,1.64955,0.145312,
339,0.0,7.29651e-18,1.64955,0.145312,
340,0.0,7.27982e-18,1.64955,0.145312,
