timestep,time,value,x,y,z
260,0.0,0.0,0.0984962,0.0009375,
261,0.0,0.0,0.0984962,0.0009375,
262,0.0,0.0,0.0984962,0.0009375,
263,0.0,0.0,0.0984962,0.0009375,
264,0.0,0.0,0.0984962,0.0009375,
265,0.0,0.0,0.0984962,0.0009375,
266,0.0,0.0,0.0984962,0.0009375,
267,0.0,0.0,0.0984962,0.0009375,
268,0.0,0.0,0.0984962,0.0009375,
269,0.0,0.0,0.0984962,0.0009375,
270,0.0,0.0,0.0984962,0.0009375,
271,0.0,0.0,0.0984962,0.0009375,
272,0.0,0.0,0.0984962,0.0009375,
273,0.0,0.0,0.0984962,0.0009375,
274,0.0,0.0,0.0984962,0.0009375,
275,0.0,0.0,0.0984962,0.0009375,
276,0.0,0.0,0.0984962,0.0009375,
277,0.0,0.0,0.0984962,0.0009375,
278,0.0,0.0,0.0984962,0.0009375,
279,0.0,0.0,0.0984962,0.0009375,
280,0.0,0.0,0.0984962,0.0009375,
281,0.0,0.0,0.0984962,0.0009375,
282,0.0,8.77165e-07,7.24207,0.452813,
283,0.0,2.35761e-06,7.27582,0.432188,
284,0.0,1.30229e-05,7.33395,0.392813,
285,0.0,4.57033e-05,7.3302,0.396563,
286,0.0,4.56353e-05,7.3527,0.360938,
287,0.0,5.22538e-05,7.37707,0.357188,
288,0.0,5.58871e-05,7.38645,0.330937,
289,0.0,6.29061e-05,7.36957,0.375938,
290,0.0,7.50219e-05,7.42395,0.285937,
291,0.0,7.07032e-05,7.41082,0.336562,
292,0.0,7.55831e-05,7.41457,0.332812,
293,0.0,7.40713e-05,7.40707,0.287812,
294,0.0,7.9543e-05,7.44457,0.222187,
295,0.0,8.34261e-05,7.4427,0.224062,
296,0.0,0.000105447,7.4277,0.220312,
297,0.0,9.7909e-05,7.42957,0.214687,
298,0.0,0.000107298,7.43895,0.210937,
299,0.0,0.000115692,7.43332,0.190312,
300,0.0,0.000119097,7.43332,0.190312,
301,0.0,0.000115019,7.4502,0.190312,
302,0.0,0.000120603,7.44645,0.182812,
303,0.0,0.000124983,7.4352,0.160312,
304,0.0,0.000127595,7.4352,0.160312,
305,0.0,0.00012372,7.4352,0.160312,
306,0.0,0.000130062,7.45957,0.117188,
307,0.0,0.000135263,7.46895,0.179062,
308,0.0,0.000163216,7.46895,0.173437,
309,0.0,0.000146343,7.46895,0.173437,
310,0.0,0.000142324,7.46145,0.150937,
311,0.0,0.000162924,7.45582,0.117188,
312,0.0,0.000179397,7.45582,0.117188,
313,0.0,0.000170007,7.45582,0.117188,
314,0.0,0.000163937,7.43145,0.0834375,
315,0.0,0.000164071,7.45207,0.0609375,
316,0.0,0.000162985,7.45207,0.0609375,
317,0.0,0.000149983,7.43895,0.0853125,
318,0.0,0.000166582,7.45395,0.0403125,
319,0.0,0.000168152,7.45207,0.0384375,
320,0.0,0.000152059,7.45207,0.0365625,
321,0.0,0.000129115,7.45395,0.0478125,
322,0.0,0.000147669,7.44645,0.0009375,
323,0.0,8.57814e-05,7.46145,0.0009375,
324,0.0,0.00011339,7.51582,0.0009375,
325,0.0,8.62456e-05,7.54957,0.0009375,
326,0.0,2.17169e-08,7.4652,0.0009375,
327,0.0,2.95987e-05,7.60957,0.0403125,
328,0.0,5.56875e-05,7.6077,0.0065625,
329,0.0,7.69975e-05,7.60207,0.0046875,
330,0.0,8.87884e-05,7.59832,0.0028125,
331,0.0,8.61017e-05,7.59832,0.0028125,
332,0.0,7.07252e-05,7.5777,0.0271875,
333,0.0,5.97647e-05,7.57395,0.0009375,
334,0.0,6.72939e-05,7.55145,0.0234375,
335,0.0,6.12892e-05,7.53645,0.0065625,
336,0.0,6.43572e-05,7.53082,0.0309375,
337,0.0,6.73003e-05,7.4652,0.0009375,
338,0.0,7.96647e-05,7.4652,0.0009375,
339,0.0,6.23697e-05,7.44832,0.0928125,
340,0.0,4.7861e-05,7.46145,0.0009375,
