timestep,time,value,x,y,z
260,0.0,0.0,0.0984962,0.0009375,
261,0.0,0.0,0.0984962,0.0009375,
262,0.0,0.0,0.0984962,0.0009375,
263,0.0,0.0,0.0984962,0.0009375,
264,0.0,0.0,0.0984962,0.0009375,
265,0.0,0.0,0.0984962,0.0009375,
266,0.0,0.0,0.0984962,0.0009375,
267,0.0,0.0,0.0984962,0.0009375,
268,0.0,0.0,0.0984962,0.0009375,
269,0.0,0.0,0.0984962,0.0009375,
270,0.0,0.0,0.0984962,0.0009375,
271,0.0,0.0,0.0984962,0.0009375,
272,0.0,0.0,0.0984962,0.0009375,
273,0.0,0.0,0.0984962,0.0009375,
274,0.0,0.0,0.0984962,0.0009375,
275,0.0,0.0,0.0984962,0.0009375,
276,0.0,0.0,0.0984962,0.0009375,
277,0.0,0.0,0.0984962,0.0009375,
278,0.0,0.0,0.0984962,0.0009375,
279,0.0,0.0,0.0984962,0.0009375,
280,0.0,0.0,0.0984962,0.0009375,
281,0.0,0.0,0.0984962,0.0009375,
282,0.0,-1.26793e-19,7.23457,0.449063,
283,0.0,-1.26793e-19,7.23457,0.449063,
284,0.0,-1.27081e-19,7.31145,0.381563,
285,0.0,-1.27081e-19,7.31145,0.381563,
286,0.0,-1.27081e-19,7.31145,0.381563,
287,0.0,-1.27081e-19,7.31145,0.381563,
288,0.0,-1.27081e-19,7.31145,0.381563,
289,0.0,-1.27081e-19,7.31145,0.381563,
290,0.0,-1.27081e-19,7.31145,0.381563,
291,0.0,-1.27081e-19,7.31145,0.381563,
292,0.0,-1.29619e-19,7.4052,0.120938,
293,0.0,-1.32629e-19,7.4052,0.120938,
294,0.0,-1.33437e-19,7.4052,0.119063,
295,0.0,-1.33121e-19,7.4052,0.119063,
296,0.0,-1.33097e-19,7.4052,0.120938,
297,0.0,-1.33097e-19,7.4052,0.120938,
298,0.0,-1.34882e-19,7.2852,0.0103125,
299,0.0,-1.34338e-19,7.3002,0.0084375,
300,0.0,-1.33097e-19,7.4052,0.120938,
301,0.0,-1.33097e-19,7.4052,0.120938,
302,0.0,-1.33097e-19,7.4052,0.120938,
303,0.0,-1.31787e-19,7.23832,0.0140625,
304,0.0,-1.31769e-19,7.23832,0.0140625,
305,0.0,-1.31735e-19,7.2402,0.0140625,
306,0.0,-1.31706e-19,7.2402,0.0140625,
307,0.0,-1.31653e-19,7.2402,0.0140625,
308,0.0,-1.31585e-19,7.2402,0.0140625,
309,0.0,-1.31497e-19,7.2402,0.0140625,
310,0.0,-1.31403e-19,7.2402,0.0140625,
311,0.0,-1.31292e-19,7.24207,0.0159375,
312,0.0,-1.31292e-19,7.24207,0.0159375,
313,0.0,-1.31292e-19,7.24207,0.0159375,
314,0.0,-1.31292e-19,7.24207,0.0159375,
315,0.0,-1.31292e-19,7.24207,0.0159375,
316,0.0,-1.31292e-19,7.24207,0.0159375,
317,0.0,-1.31292e-19,7.24207,0.0159375,
318,0.0,-1.31292e-19,7.24207,0.0159375,
319,0.0,-1.31292e-19,7.24207,0.0159375,
320,0.0,-1.31292e-19,7.24207,0.0159375,
321,0.0,-1.31292e-19,7.24207,0.0159375,
322,0.0,-1.31292e-19,7.24207,0.0159375,
323,0.0,-1.31292e-19,7.24207,0.0159375,
324,0.0,-1.31292e-19,7.24207,0.0159375,
325,0.0,-1.31292e-19,7.24207,0.0159375,
326,0.0,-1.31292e-19,7.24207,0.0159375,
327,0.0,-1.31292e-19,7.24207,0.0159375,
328,0.0,-1.31292e-19,7.24207,0.0159375,
329,0.0,-1.31292e-19,7.24207,0.0159375,
330,0.0,-1.31289e-19,7.24207,0.0159375,
331,0.0,-1.31268e-19,7.24207,0.0159375,
332,0.0,-1.31215e-19,7.24207,0.0159375,
333,0.0,-1.31122e-19,7.24207,0.0159375,
334,0.0,-1.30965e-19,7.24207,0.0159375,
335,0.0,-1.30726e-19,7.24207,0.0159375,
336,0.0,-1.30424e-19,7.24207,0.0159375,
337,0.0,-1.29981e-19,7.24207,0.0159375,
338,0.0,-1.29759e-19,7.30395,0.0103125,
339,0.0,-1.29586e-19,7.30395,0.0103125,
340,0.0,-1.29341e-19,7.30395,0.0103125,
