timestep,time,value,x,y,z
260,0.0,426477.0,6.52207,0.486563,
261,0.0,425233.0,6.54645,0.0065625,
262,0.0,423921.0,6.56707,0.0271875,
263,0.0,422867.0,6.58957,0.0009375,
264,0.0,1295620.0,6.61582,0.0196875,
265,0.0,1396530.0,6.60457,0.0290625,
266,0.0,1332540.0,6.65145,0.188437,
267,0.0,1311340.0,6.6777,0.242812,
268,0.0,1257050.0,6.7002,0.278437,
269,0.0,1256760.0,6.71895,0.304687,
270,0.0,1189480.0,6.73395,0.323437,
271,0.0,1200570.0,6.7527,0.344063,
272,0.0,1133280.0,6.61582,0.0234375,
273,0.0,1188510.0,6.81082,0.400313,
274,0.0,1092400.0,6.61582,0.0234375,
275,0.0,1074370.0,6.61582,0.0234375,
276,0.0,1055710.0,6.61582,0.0234375,
277,0.0,1039420.0,6.61582,0.0234375,
278,0.0,1024530.0,6.47706,0.0796875,
279,0.0,1007910.0,6.61582,0.0234375,
280,0.0,1000000.0,6.45397,0.0009375,
281,0.0,986629.0,6.45025,0.0009375,
282,0.0,976569.0,6.44247,0.0009375,
283,0.0,965934.0,6.43419,0.0009375,
284,0.0,956340.0,6.4254,0.0009375,
285,0.0,2094430.0,7.3452,0.389063,
286,0.0,1855940.0,7.33957,0.374063,
287,0.0,1925090.0,7.40707,0.302812,
288,0.0,1874360.0,7.36207,0.368438,
289,0.0,2135240.0,7.41457,0.338438,
290,0.0,1996460.0,7.4277,0.314062,
291,0.0,2003900.0,7.41457,0.315937,
292,0.0,2108350.0,7.43895,0.293437,
293,0.0,2138110.0,7.40332,0.274687,
294,0.0,2133370.0,7.42582,0.227812,
295,0.0,2113780.0,7.4577,0.250312,
296,0.0,2039840.0,7.44645,0.300937,
297,0.0,2139260.0,7.4352,0.289687,
298,0.0,2111080.0,7.48582,0.265312,
299,0.0,2120030.0,7.37332,0.205312,
300,0.0,2133010.0,7.3902,0.188437,
301,0.0,2140840.0,7.4652,0.248437,
302,0.0,2041750.0,7.46895,0.141562,
303,0.0,2119100.0,7.36957,0.165937,
304,0.0,2110140.0,7.44832,0.135938,
305,0.0,2109560.0,7.46145,0.150937,
306,0.0,2014410.0,7.38082,0.199687,
307,0.0,2146580.0,7.45582,0.212812,
308,0.0,2091340.0,7.42207,0.179062,
309,0.0,2140230.0,7.37895,0.0684375,
310,0.0,2113370.0,7.50082,0.124688,
311,0.0,2144390.0,7.4277,0.164062,
312,0.0,2134040.0,7.45207,0.137813,
313,0.0,2133050.0,7.4277,0.102188,
314,0.0,2107470.0,7.39207,0.0346875,
315,0.0,2128610.0,7.50645,0.156562,
316,0.0,2140840.0,7.45395,0.0778125,
317,0.0,2119920.0,7.4802,0.100313,
318,0.0,2124540.0,7.53082,0.102188,
319,0.0,3034550.0,7.43707,0.0009375,
320,0.0,2109180.0,7.51395,0.0253125,
321,0.0,2090210.0,7.51207,0.0628125,
322,0.0,2128380.0,7.53645,0.0121875,
323,0.0,2138720.0,7.47645,0.0140625,
324,0.0,2297260.0,7.4877,0.0009375,
325,0.0,2347740.0,7.52707,0.0009375,
326,0.0,3874710.0,7.5627,0.0009375,
327,0.0,1345010.0,7.60395,0.0009375,
328,0.0,1760990.0,7.6002,0.0478125,
329,0.0,1496170.0,7.58707,0.0103125,
330,0.0,1951810.0,7.55145,0.0346875,
331,0.0,2132860.0,7.5177,0.0309375,
332,0.0,1969360.0,7.56082,0.0459375,
333,0.0,2050840.0,7.45957,0.0403125,
334,0.0,2095870.0,7.5402,0.0309375,
335,0.0,1945750.0,7.46707,0.0928125,
336,0.0,1965290.0,7.52707,0.0028125,
337,0.0,2121670.0,7.4502,0.0871875,
338,0.0,1876630.0,7.50082,0.0309375,
339,0.0,2079480.0,7.3977,0.113438,
340,0.0,2050240.0,7.43332,0.0646875,
