timestep,time,value,x,y,z
260,0.0,101325.0,7.26645,0.117188,
261,0.0,101325.0,7.5927,0.137813,
262,0.0,101325.0,6.9102,0.150937,
263,0.0,101325.0,7.25332,0.139688,
264,0.0,101325.0,7.29457,0.465938,
265,0.0,101325.0,6.96082,0.0721875,
266,0.0,101325.0,7.36395,0.432188,
267,0.0,101325.0,7.1127,0.499688,
268,0.0,101325.0,7.00207,0.0628125,
269,0.0,101325.0,7.00207,0.0628125,
270,0.0,101325.0,7.11457,0.499688,
271,0.0,101325.0,7.1577,0.497813,
272,0.0,101325.0,6.9927,0.484688,
273,0.0,101325.0,7.4427,0.375938,
274,0.0,100907.0,0.0984962,0.0009375,
275,0.0,100335.0,0.0984962,0.0009375,
276,0.0,99761.8,0.0984962,0.0009375,
277,0.0,99194.1,0.0984962,0.0009375,
278,0.0,98632.0,0.0984962,0.0009375,
279,0.0,98075.5,0.0984962,0.0009375,
280,0.0,70921.3,7.1652,0.482813,
281,0.0,24044.9,7.2102,0.467813,
282,0.0,-4848.21,7.2552,0.454688,
283,0.0,-12738.4,7.29457,0.420938,
284,0.0,-14512.7,7.33957,0.396563,
285,0.0,-12822.3,7.38082,0.364688,
286,0.0,-17741.0,7.3827,0.312187,
287,0.0,-15216.0,7.40332,0.269062,
288,0.0,-10317.9,7.40707,0.270937,
289,0.0,-12298.0,7.3827,0.383438,
290,0.0,-17394.1,7.37145,0.336562,
291,0.0,-16051.6,7.45582,0.242812,
292,0.0,-30398.4,7.40145,0.300937,
293,0.0,-32281.1,7.42207,0.272812,
294,0.0,-22441.6,7.48207,0.199687,
295,0.0,-10052.0,7.4352,0.349688,
296,0.0,-31868.6,7.44645,0.274687,
297,0.0,-32117.0,7.40895,0.207187,
298,0.0,-35318.5,7.42957,0.284062,
299,0.0,-38005.0,7.43332,0.297187,
300,0.0,-39404.7,7.48395,0.308437,
301,0.0,-30012.7,7.43332,0.205312,
302,0.0,-46187.5,7.41645,0.240937,
303,0.0,-33295.7,7.4727,0.171562,
304,0.0,-31169.8,7.51957,0.276562,
305,0.0,-28773.5,7.39957,0.149062,
306,0.0,-26235.2,7.43332,0.209062,
307,0.0,-15661.3,7.50457,0.210937,
308,0.0,-41957.1,7.45582,0.122813,
309,0.0,-25710.9,7.4352,0.152812,
310,0.0,-35057.8,7.48957,0.165937,
311,0.0,-27242.1,7.47832,0.201562,
312,0.0,-31067.8,7.3827,0.0609375,
313,0.0,-36542.1,7.44832,0.171562,
314,0.0,-32010.8,7.45395,0.156562,
315,0.0,-57636.7,7.5102,0.0796875,
316,0.0,-65420.3,7.4352,0.0234375,
317,0.0,-21015.4,7.54207,0.0909375,
318,0.0,-11923.6,7.52895,0.0628125,
319,0.0,-24705.9,7.44645,0.0609375,
320,0.0,-18515.0,7.4802,0.0646875,
321,0.0,-20622.4,7.50645,0.0796875,
322,0.0,-32922.5,7.4727,0.0478125,
323,0.0,-43325.0,7.55332,0.0721875,
324,0.0,-36534.5,7.53082,0.0046875,
325,0.0,-22071.0,7.53457,0.0084375,
326,0.0,62124.5,7.59457,0.0384375,
327,0.0,-919.5,7.60207,0.0571875,
328,0.0,-7847.02,7.5852,0.0478125,
329,0.0,-15634.5,7.54957,0.0834375,
330,0.0,-24707.6,7.58707,0.0628125,
331,0.0,-17123.5,7.5327,0.188437,
332,0.0,-15025.0,7.48582,0.210937,
333,0.0,-33563.8,7.47832,0.102188,
334,0.0,-24339.8,7.49332,0.124688,
335,0.0,-23737.9,7.4502,0.0965625,
336,0.0,-19292.1,7.39395,0.0328125,
337,0.0,-25637.7,7.4727,0.0759375,
338,0.0,-23570.1,7.44645,0.0834375,
339,0.0,-21948.0,7.47082,0.0159375,
340,0.0,-12074.4,7.4052,0.0571875,
