x,y
0.41141,0.00451
0.43993,0.02006
0.46845,0.04174
0.49438,0.06869
0.51512,0.0966
0.53198,0.12554
0.54624,0.15542
0.5592,0.18889
0.56828,0.22046
0.57606,0.25982
0.57865,0.29789
0.57994,0.33358
0.5767,0.36765
0.57346,0.4014
0.56661,0.43622
0.5592,0.47139
0.55013,0.50006
0.53976,0.52895
0.52809,0.55596
0.51383,0.58544
0.49827,0.61401
0.48142,0.64082
0.46197,0.66905
0.43993,0.69764
0.4153,0.72585
0.38808,0.75413
0.35955,0.78012
0.33103,0.80386
0.30251,0.82466
0.27399,0.84381
0.24547,0.86095
0.21695,0.87632
0.18843,0.89027
0.15991,0.90281
0.13139,0.91382
0.10287,0.92364
0.07434,0.93205
0.04582,0.93928
0.0173,0.94556
