x,y
0.24339,0.91384
0.26075,0.90755
0.27223,0.89935
0.28585,0.89141
0.29945,0.88428
0.31118,0.87248
0.32577,0.86345
0.3424,0.85274
0.36251,0.84678
0.36688,0.83324
0.38014,0.82564
0.39361,0.81635
0.40754,0.80907
0.42095,0.79945
0.44121,0.78034
0.45959,0.7608
0.47079,0.74651
0.48633,0.72744
0.49667,0.71177
0.50642,0.69556
0.51929,0.67963
0.53631,0.66059
0.53864,0.64387
0.54574,0.62781
0.55412,0.61486
0.56536,0.60782
0.56735,0.59053
0.58126,0.58003
0.5859,0.56275
0.59593,0.53913
0.60053,0.52011
0.60831,0.50387
0.61053,0.48635
0.62082,0.46004
0.62542,0.44363
0.6287,0.42899
0.62911,0.41229
0.63017,0.39715
0.63158,0.37693
0.63165,0.3609
0.6337,0.33831
0.63342,0.31935
0.63482,0.30519
0.63482,0.28835
0.63147,0.27151
0.62923,0.25706
0.62918,0.24061
0.62758,0.22515
0.62333,0.20922
0.61903,0.19515
0.61271,0.17811
0.60788,0.16081
0.602,0.14413
0.60088,0.12397
0.58962,0.10867
0.57705,0.09098
0.56787,0.07441
0.55812,0.05496
0.54912,0.04139
0.54616,0.0223
0.53762,0.00259
