timestep,max_alpha_rho2,x,y,z
0,0.0,-3.90628,0.0009375,
1,0.0,-3.90628,0.0009375,
2,0.0,-3.90628,0.0009375,
3,0.0,-3.90628,0.0009375,
4,0.0,-3.90628,0.0009375,
5,0.0,-3.90628,0.0009375,
6,0.0,-3.90628,0.0009375,
7,0.0,-3.90628,0.0009375,
8,0.0,-3.90628,0.0009375,
9,0.0,-3.90628,0.0009375,
10,0.0,-3.90628,0.0009375,
11,0.0,-3.90628,0.0009375,
12,0.0,-3.90628,0.0009375,
13,0.0,-3.90628,0.0009375,
14,0.0,-3.90628,0.0009375,
15,0.0,-3.90628,0.0009375,
16,0.0,-3.90628,0.0009375,
17,0.0,-3.90628,0.0009375,
18,0.0,-3.90628,0.0009375,
19,0.0,-3.90628,0.0009375,
20,0.0,-3.90628,0.0009375,
21,0.0,-3.90628,0.0009375,
22,0.0,-3.90628,0.0009375,
23,0.0,-3.90628,0.0009375,
24,0.0,-3.90628,0.0009375,
25,0.0,-3.90628,0.0009375,
26,0.0,-3.90628,0.0009375,
27,0.0,-3.90628,0.0009375,
28,0.0,-3.90628,0.0009375,
29,0.0,-3.90628,0.0009375,
30,0.0,-3.90628,0.0009375,
31,0.0,-3.90628,0.0009375,
32,0.0,-3.90628,0.0009375,
33,0.0,-3.90628,0.0009375,
34,0.0,-3.90628,0.0009375,
35,0.0,-3.90628,0.0009375,
36,0.0,-3.90628,0.0009375,
37,0.0,-3.90628,0.0009375,
38,0.0,-3.90628,0.0009375,
39,0.0,-3.90628,0.0009375,
40,0.0,-3.90628,0.0009375,
41,0.0,-3.90628,0.0009375,
42,0.0,-3.90628,0.0009375,
43,0.0,-3.90628,0.0009375,
44,0.0,-3.90628,0.0009375,
45,0.0,-3.90628,0.0009375,
46,0.0,-3.90628,0.0009375,
47,0.0,-3.90628,0.0009375,
48,0.0,-3.90628,0.0009375,
49,0.0,-3.90628,0.0009375,
50,0.0,-3.90628,0.0009375,
51,0.0,-3.90628,0.0009375,
52,0.0,-3.90628,0.0009375,
53,0.0,-3.90628,0.0009375,
54,0.0,-3.90628,0.0009375,
55,0.0,-3.90628,0.0009375,
56,0.0,-3.90628,0.0009375,
57,0.0,-3.90628,0.0009375,
58,0.0,-3.90628,0.0009375,
59,0.0,-3.90628,0.0009375,
60,0.0,-3.90628,0.0009375,
61,0.0,-3.90628,0.0009375,
62,0.0,-3.90628,0.0009375,
63,0.0,-3.90628,0.0009375,
64,0.0,-3.90628,0.0009375,
65,0.0,-3.90628,0.0009375,
66,0.0,-3.90628,0.0009375,
67,0.0,-3.90628,0.0009375,
68,0.0,-3.90628,0.0009375,
69,0.0,-3.90628,0.0009375,
70,0.0,-3.90628,0.0009375,
71,0.0,-3.90628,0.0009375,
72,0.0,-3.90628,0.0009375,
73,0.0,-3.90628,0.0009375,
74,0.0,-3.90628,0.0009375,
75,0.0,-3.90628,0.0009375,
76,0.0,-3.90628,0.0009375,
77,0.0,-3.90628,0.0009375,
78,0.0,-3.90628,0.0009375,
79,0.0,-3.90628,0.0009375,
80,0.0,-3.90628,0.0009375,
81,0.0,-3.90628,0.0009375,
82,0.0,-3.90628,0.0009375,
83,0.0,-3.90628,0.0009375,
84,0.0,-3.90628,0.0009375,
85,0.0,-3.90628,0.0009375,
86,0.0,-3.90628,0.0009375,
87,0.0,-3.90628,0.0009375,
88,0.0,-3.90628,0.0009375,
89,0.0,-3.90628,0.0009375,
90,0.0,-3.90628,0.0009375,
91,0.0,-3.90628,0.0009375,
92,0.0,-3.90628,0.0009375,
93,0.0,-3.90628,0.0009375,
94,0.0,-3.90628,0.0009375,
95,0.0,-3.90628,0.0009375,
96,0.0,-3.90628,0.0009375,
97,0.0,-3.90628,0.0009375,
98,0.0,-3.90628,0.0009375,
99,0.0,-3.90628,0.0009375,
100,0.0,-3.90628,0.0009375,
101,0.0,-3.90628,0.0009375,
102,0.0,-3.90628,0.0009375,
103,0.0,-3.90628,0.0009375,
104,0.0,-3.90628,0.0009375,
105,0.0,-3.90628,0.0009375,
106,0.0,-3.90628,0.0009375,
107,0.0,-3.90628,0.0009375,
108,0.0,-3.90628,0.0009375,
109,0.0,-3.90628,0.0009375,
110,0.0,-3.90628,0.0009375,
111,0.0,-3.90628,0.0009375,
112,0.0,-3.90628,0.0009375,
113,0.0,-3.90628,0.0009375,
114,0.0,-3.90628,0.0009375,
115,0.0,-3.90628,0.0009375,
116,0.0,-3.90628,0.0009375,
117,0.0,-3.90628,0.0009375,
118,0.0,-3.90628,0.0009375,
119,0.0,-3.90628,0.0009375,
120,0.0,-3.90628,0.0009375,
121,0.0,-3.90628,0.0009375,
122,0.0,-3.90628,0.0009375,
123,0.0,-3.90628,0.0009375,
124,0.0,-3.90628,0.0009375,
125,0.0,-3.90628,0.0009375,
126,0.0,-3.90628,0.0009375,
127,0.0,-3.90628,0.0009375,
128,0.0,-3.90628,0.0009375,
129,0.0,-3.90628,0.0009375,
130,0.0,-3.90628,0.0009375,
131,0.0,-3.90628,0.0009375,
132,0.0,-3.90628,0.0009375,
133,0.0,-3.90628,0.0009375,
134,0.0,-3.90628,0.0009375,
135,0.0,-3.90628,0.0009375,
136,0.0,-3.90628,0.0009375,
137,0.0,-3.90628,0.0009375,
138,0.0,-3.90628,0.0009375,
139,0.0,-3.90628,0.0009375,
140,0.0,-3.90628,0.0009375,
141,0.0,-3.90628,0.0009375,
142,0.0,-3.90628,0.0009375,
143,0.0,-3.90628,0.0009375,
144,0.0,-3.90628,0.0009375,
145,0.0,-3.90628,0.0009375,
146,0.0,-3.90628,0.0009375,
147,0.0,-3.90628,0.0009375,
148,0.0,-3.90628,0.0009375,
149,0.0,-3.90628,0.0009375,
150,0.0,-3.90628,0.0009375,
151,0.0,-3.90628,0.0009375,
152,0.0,-3.90628,0.0009375,
153,0.0,-3.90628,0.0009375,
154,0.0,-3.90628,0.0009375,
155,0.0,-3.90628,0.0009375,
156,0.0,-3.90628,0.0009375,
157,0.0,-3.90628,0.0009375,
158,0.0,-3.90628,0.0009375,
159,0.0,-3.90628,0.0009375,
160,0.0,-3.90628,0.0009375,
161,0.0,-3.90628,0.0009375,
162,0.0,-3.90628,0.0009375,
163,0.0,-3.90628,0.0009375,
164,0.0,-3.90628,0.0009375,
165,0.0,-3.90628,0.0009375,
166,0.0,-3.90628,0.0009375,
167,0.0,-3.90628,0.0009375,
168,0.0,-3.90628,0.0009375,
169,0.0,-3.90628,0.0009375,
170,0.0,-3.90628,0.0009375,
171,0.0,-3.90628,0.0009375,
172,0.0,-3.90628,0.0009375,
173,0.0,-3.90628,0.0009375,
174,0.0,-3.90628,0.0009375,
175,0.0,-3.90628,0.0009375,
176,0.0,-3.90628,0.0009375,
177,0.0,-3.90628,0.0009375,
178,0.0,-3.90628,0.0009375,
179,0.0,-3.90628,0.0009375,
180,0.0,-3.90628,0.0009375,
181,0.0,-3.90628,0.0009375,
182,0.0,-3.90628,0.0009375,
183,0.0,-3.90628,0.0009375,
184,0.0,-3.90628,0.0009375,
185,0.0,-3.90628,0.0009375,
186,0.0,-3.90628,0.0009375,
187,0.0,-3.90628,0.0009375,
188,0.0,-3.90628,0.0009375,
189,0.0,-3.90628,0.0009375,
190,0.0,-3.90628,0.0009375,
191,0.0,-3.90628,0.0009375,
192,0.0,-3.90628,0.0009375,
193,0.0,-3.90628,0.0009375,
194,0.0,-3.90628,0.0009375,
195,0.0,-3.90628,0.0009375,
196,0.0,-3.90628,0.0009375,
197,0.0,-3.90628,0.0009375,
198,0.0,-3.90628,0.0009375,
199,0.0,-3.90628,0.0009375,
200,0.0,-3.90628,0.0009375,
201,0.0,-3.90628,0.0009375,
202,0.0,-3.90628,0.0009375,
203,0.0,-3.90628,0.0009375,
204,0.0,-3.90628,0.0009375,
205,0.0,-3.90628,0.0009375,
206,0.0,-3.90628,0.0009375,
207,0.0,-3.90628,0.0009375,
208,0.0,-3.90628,0.0009375,
209,0.0,-3.90628,0.0009375,
210,0.0,-3.90628,0.0009375,
211,0.0,-3.90628,0.0009375,
212,0.0,-3.90628,0.0009375,
213,0.000154546,0.265313,0.0009375,
214,0.000243533,0.265313,0.0009375,
215,0.000302194,0.265313,0.0009375,
216,0.000357372,0.265313,0.0009375,
217,0.000397643,0.265313,0.0009375,
218,0.000433333,0.265313,0.0009375,
219,0.000467126,0.265313,0.0009375,
220,0.000496115,0.265313,0.0009375,
221,0.000522847,0.265313,0.0009375,
222,0.000548876,0.265313,0.0009375,
