timestep,min_pres,x,y,z
0,101325.0,-0.985565,0.0009375,
1,101325.0,-0.499687,0.0103125,
2,101325.0,-0.490312,0.0009375,
3,101325.0,-0.0009375,0.482813,
4,101325.0,-0.344062,0.323437,
5,101325.0,-0.338437,0.315937,
6,101325.0,-0.334687,0.308437,
7,101325.0,-0.314062,0.315937,
8,101325.0,-0.308437,0.308437,
9,101325.0,-0.300937,0.302812,
10,101325.0,-0.295312,0.295312,
11,101325.0,-0.287812,0.287812,
12,101325.0,-0.282187,0.280312,
13,101325.0,-0.274687,0.274687,
14,101325.0,0.269063,0.265312,
15,101325.0,0.263438,0.257812,
16,101325.0,-0.259687,0.248437,
17,101325.0,-0.254062,0.239062,
18,101325.0,-0.248437,0.231562,
19,101325.0,0.248438,0.216562,
20,101325.0,-0.239062,0.212812,
21,101325.0,0.231563,0.205312,
22,101325.0,-0.227812,0.194062,
23,101325.0,-0.222187,0.186562,
24,101325.0,-0.224062,0.167812,
25,101325.0,-0.265312,0.0721875,
26,101325.0,-0.255937,0.0684375,
27,101325.0,-0.246562,0.0628125,
28,101325.0,-0.237187,0.0590625,
29,101325.0,-0.227812,0.0553125,
30,101325.0,0.225938,0.0009375,
31,101325.0,0.216563,0.0009375,
32,101325.0,-0.205312,0.0046875,
33,101325.0,-0.195937,0.0009375,
34,101325.0,-0.184687,0.0009375,
35,101325.0,-0.173437,0.0009375,
36,101325.0,-0.164062,0.0009375,
37,101325.0,-0.152812,0.0009375,
38,101325.0,-0.141562,0.0009375,
39,101325.0,-0.132187,0.0009375,
40,101325.0,-0.120937,0.0009375,
41,101325.0,-0.109687,0.0009375,
42,101325.0,-0.0965625,0.0009375,
43,101325.0,-0.0853125,0.0009375,
44,101325.0,-0.0721875,0.0009375,
45,101324.0,-0.0590625,0.0009375,
46,101324.0,0.0459375,0.0009375,
47,101324.0,-0.0290625,0.0009375,
48,101324.0,-0.0009375,0.0009375,
49,101323.0,0.0009375,0.0009375,
50,101324.0,-0.0009375,0.0009375,
51,101324.0,0.0196875,0.0009375,
52,101324.0,-0.0403125,0.0009375,
53,101324.0,0.0553125,0.0009375,
54,101325.0,-0.0703125,0.0009375,
55,101325.0,0.0834375,0.0009375,
56,101325.0,-0.0965625,0.0009375,
57,101325.0,0.109688,0.0009375,
58,101325.0,0.122813,0.0009375,
59,101325.0,-0.134062,0.0009375,
60,101325.0,0.145313,0.0009375,
61,101325.0,0.158438,0.0009375,
62,101325.0,-0.169687,0.0028125,
63,101325.0,-0.180937,0.0009375,
64,101325.0,-0.192187,0.0009375,
65,101325.0,-0.203437,0.0009375,
66,101325.0,0.212813,0.0196875,
67,101325.0,-0.225937,0.0140625,
68,101325.0,0.237188,0.0103125,
69,101325.0,0.244688,0.0365625,
70,101325.0,0.254063,0.0440625,
71,101325.0,0.270938,0.0009375,
72,101325.0,0.280313,0.0159375,
73,101325.0,0.291563,0.0140625,
74,101325.0,0.302813,0.0159375,
75,101325.0,0.314063,0.0121875,
76,101325.0,-0.280312,0.145312,
77,101325.0,-0.282187,0.162187,
78,101325.0,-0.287812,0.173437,
79,101325.0,-0.285937,0.194062,
80,101325.0,-0.287812,0.209062,
81,101325.0,-0.284062,0.231562,
82,101325.0,-0.287812,0.242812,
83,101325.0,0.282188,0.265312,
84,101325.0,0.284063,0.278437,
85,101325.0,0.289688,0.289687,
86,101325.0,0.297188,0.297187,
87,101325.0,0.299063,0.310312,
88,101325.0,-0.299062,0.325312,
89,101325.0,-0.315937,0.325312,
90,101325.0,-0.306562,0.347813,
91,101325.0,0.325313,0.345938,
92,101325.0,0.327188,0.360938,
93,101325.0,0.503438,0.0178125,
94,101325.0,0.507188,0.0178125,
95,101325.0,0.510938,0.0178125,
96,101325.0,0.512813,0.0178125,
97,101325.0,0.516563,0.0178125,
98,101325.0,0.520313,0.0178125,
99,101325.0,0.522188,0.0178125,
100,101325.0,0.525938,0.0178125,
101,101325.0,0.529688,0.0178125,
102,101325.0,0.499688,0.0009375,
103,101325.0,0.499688,0.0009375,
104,101325.0,0.499688,0.0009375,
105,101325.0,0.344063,0.344063,
106,101325.0,0.323438,0.338438,
107,101325.0,0.319688,0.327187,
108,101325.0,0.315938,0.315937,
109,101325.0,0.308438,0.310312,
110,101325.0,-0.300937,0.302812,
111,101325.0,0.293438,0.295312,
112,101325.0,0.285938,0.287812,
113,101325.0,0.280313,0.280312,
114,101325.0,-0.368437,0.340313,
115,101325.0,-0.362812,0.347813,
116,101325.0,-0.355312,0.355313,
117,101325.0,-0.347812,0.362813,
118,101325.0,-0.340312,0.368438,
119,101325.0,0.235313,0.233437,
120,101325.0,-0.323437,0.383438,
121,101325.0,0.220313,0.218437,
122,101325.0,0.212813,0.210937,
123,101325.0,0.205313,0.203437,
124,101325.0,0.195938,0.195937,
125,101325.0,0.188438,0.188437,
126,101325.0,0.180938,0.180937,
127,101325.0,0.173438,0.171562,
128,101325.0,0.164063,0.165937,
129,101325.0,0.156563,0.158437,
130,101325.0,0.150938,0.147187,
131,101325.0,0.143438,0.139688,
132,101325.0,0.137813,0.128438,
133,101325.0,0.130313,0.119063,
134,101325.0,0.124688,0.109688,
135,101325.0,0.120938,0.0965625,
136,101325.0,0.119063,0.0815625,
137,101325.0,0.141563,0.0121875,
138,101325.0,0.130313,0.0121875,
139,101325.0,0.117188,0.0121875,
140,101325.0,0.107813,0.0009375,
141,101325.0,0.109688,0.0009375,
142,101325.0,0.119063,0.0009375,
143,101325.0,0.130313,0.0009375,
144,101325.0,0.143438,0.0084375,
145,101325.0,0.154688,0.0009375,
146,101325.0,0.167813,0.0009375,
147,101325.0,0.179063,0.0009375,
148,101325.0,0.190313,0.0009375,
149,101325.0,0.203438,0.0009375,
150,101325.0,0.214688,0.0065625,
151,101325.0,0.225938,0.0009375,
152,101325.0,0.235313,0.0009375,
153,101325.0,0.250313,0.0009375,
154,101325.0,0.261563,0.0009375,
155,97540.7,0.0084375,0.490313,
156,94074.1,0.0178125,0.490313,
157,93287.7,0.0290625,0.484688,
158,82710.9,0.0421875,0.482813,
159,75846.7,0.0534375,0.479063,
160,66692.6,0.0646875,0.477188,
161,58256.7,0.0759375,0.475313,
162,46730.1,0.0853125,0.469688,
163,36954.8,0.0965625,0.467813,
164,24848.5,0.105938,0.462188,
165,17028.8,0.113438,0.458438,
166,9769.36,0.124688,0.454688,
167,4882.88,0.130313,0.450938,
168,3182.82,0.143438,0.447188,
169,2957.38,0.141563,0.441563,
170,2102.89,0.149063,0.439688,
171,1742.66,0.154688,0.435938,
172,1466.79,0.160313,0.432188,
173,1256.58,0.167813,0.428438,
174,1059.84,0.173438,0.424688,
175,932.536,0.179063,0.420938,
176,827.116,0.184688,0.417188,
177,720.631,0.190313,0.413438,
178,643.88,0.195938,0.409688,
179,577.441,0.199688,0.405938,
180,531.563,0.203438,0.402188,
181,491.987,0.209063,0.396563,
182,454.394,0.214688,0.392813,
183,416.419,0.218438,0.389063,
184,382.956,0.222188,0.385313,
185,352.46,0.225938,0.381563,
186,326.785,0.229688,0.377813,
187,304.669,0.233438,0.374063,
188,284.311,0.237188,0.370313,
189,267.375,0.240938,0.366563,
190,252.331,0.242813,0.362813,
191,238.225,0.246563,0.359063,
192,226.746,0.250313,0.355313,
193,215.116,0.252188,0.351563,
194,204.551,0.255938,0.347813,
195,194.542,0.257813,0.344063,
196,185.756,0.261563,0.340313,
197,177.007,0.263438,0.336562,
198,169.568,0.265313,0.332812,
199,162.592,0.267188,0.330937,
200,156.48,0.269063,0.327187,
201,150.549,0.272813,0.323437,
202,145.191,0.274688,0.319687,
203,140.217,0.276563,0.317812,
204,135.563,0.278438,0.314062,
205,131.181,0.280313,0.310312,
206,127.006,0.282188,0.308437,
207,123.14,0.284063,0.304687,
208,119.585,0.285938,0.300937,
209,116.29,0.287813,0.299062,
210,113.22,0.289688,0.295312,
211,110.341,0.291563,0.291562,
212,107.629,0.293438,0.287812,
213,104.891,0.293438,0.285937,
214,102.108,0.295313,0.282187,
215,99.3423,0.297188,0.280312,
216,96.6501,0.299063,0.276562,
217,94.0368,0.300938,0.272812,
218,91.5474,0.302813,0.269062,
219,89.1765,0.304688,0.265312,
220,86.9211,0.304688,0.263437,
221,84.7241,0.306563,0.259687,
222,82.7055,0.308438,0.255937,
223,80.7911,0.310313,0.252187,
224,78.9757,0.312188,0.250312,
225,77.238,0.312188,0.248437,
226,75.5915,0.314063,0.244687,
227,74.0649,0.315938,0.240937,
228,72.6134,0.317813,0.237187,
229,71.1283,0.317813,0.235312,
230,69.7484,0.319688,0.231562,
231,68.5144,0.321563,0.229687,
232,67.245,0.321563,0.225937,
233,65.9199,0.323438,0.222187,
234,64.7664,0.325313,0.218437,
235,63.6482,0.325313,0.216562,
236,62.4887,0.327188,0.212812,
237,61.4426,0.327188,0.209062,
238,60.3558,0.329063,0.205312,
239,59.4216,0.330938,0.203437,
240,58.4662,0.330938,0.199687,
241,57.5941,0.332813,0.195937,
242,56.8428,0.332813,0.194062,
243,56.0151,0.334688,0.190312,
244,55.2788,0.336563,0.186562,
245,54.5108,0.336563,0.184687,
246,53.7928,0.338438,0.180937,
247,53.1481,0.338438,0.173437,
248,52.2784,0.340313,0.171562,
249,51.5339,0.340313,0.160312,
250,50.6494,0.338438,0.128438,
251,49.8379,0.338438,0.128438,
252,49.0263,0.340313,0.126563,
253,48.3038,0.342188,0.124688,
254,47.5411,0.342188,0.124688,
255,46.8656,0.344063,0.122813,
256,46.1817,0.344063,0.122813,
257,45.486,0.345938,0.120938,
258,44.7818,0.347813,0.119063,
259,44.0918,0.349688,0.117188,
260,43.391,0.351563,0.115313,
261,42.7184,0.353438,0.113438,
262,42.0362,0.353438,0.111563,
263,41.3903,0.355313,0.109688,
264,40.7912,0.355313,0.107813,
265,40.2797,0.355313,0.105938,
266,39.7872,0.357188,0.102188,
267,39.4041,0.357188,0.100313,
268,39.1165,0.357188,0.0984375,
269,38.8726,0.359063,0.0928125,
270,38.6516,0.359063,0.0890625,
271,38.5207,0.359063,0.0853125,
272,38.392,0.360938,0.0796875,
273,38.2124,0.360938,0.0740625,
274,38.022,0.362813,0.0590625,
275,37.7064,0.362813,0.0478125,
276,37.3268,0.364688,0.0365625,
277,36.98,0.364688,0.0309375,
278,36.7432,0.364688,0.0271875,
279,36.5639,0.364688,0.0234375,
280,36.4582,0.366563,0.0046875,
281,36.5335,0.366563,0.0009375,
282,37.5016,0.368438,0.0009375,
283,40.618,0.368438,0.0009375,
284,89.9291,0.368438,0.0009375,
285,101308.0,0.544688,0.0009375,
286,188.047,0.366563,0.0009375,
287,95.7481,0.375938,0.0009375,
288,88.0607,0.377813,0.0009375,
289,109.084,0.375938,0.0009375,
290,25985.7,0.415313,0.0009375,
291,16972.5,0.420938,0.0159375,
292,3199.84,0.422813,0.0234375,
293,2384.4,0.434063,0.0159375,
294,1097.97,0.447188,0.0009375,
295,673.203,0.449063,0.0009375,
296,485.687,0.449063,0.0009375,
297,369.946,0.471563,0.0009375,
298,278.134,0.473438,0.0009375,
299,220.403,0.473438,0.0009375,
300,182.38,0.475313,0.0009375,
301,154.582,0.475313,0.0009375,
302,135.13,0.475313,0.0009375,
303,121.351,0.473438,0.0009375,
304,111.079,0.473438,0.0009375,
305,102.77,0.471563,0.0009375,
306,96.8785,0.469688,0.0009375,
307,91.6908,0.469688,0.0009375,
308,87.6765,0.467813,0.0009375,
309,84.0378,0.467813,0.0009375,
310,80.9729,0.465938,0.0009375,
311,78.4817,0.464063,0.0009375,
312,75.9308,0.464063,0.0009375,
313,73.7403,0.462188,0.0009375,
314,71.7638,0.462188,0.0009375,
315,69.6794,0.460313,0.0009375,
316,67.9182,0.458438,0.0009375,
317,66.3607,0.458438,0.0009375,
318,64.9243,0.456563,0.0009375,
319,63.7058,0.456563,0.0009375,
320,62.7473,0.454688,0.0009375,
321,61.8839,0.454688,0.0009375,
