timestep,min_pres,x,y,z
0,101325.0,-0.499687,0.0009375,
1,101325.0,-0.467812,0.173437,
2,101325.0,-0.424687,0.263437,
3,101325.0,-0.150937,0.475313,
4,101325.0,-0.404062,0.293437,
5,101325.0,0.167813,0.469688,
6,101325.0,0.180938,0.465938,
7,101325.0,-0.0084375,0.499688,
8,101325.0,-0.477187,0.145312,
9,101325.0,-0.0796875,0.492188,
10,101325.0,-0.338437,0.366563,
11,101325.0,0.312188,0.389063,
12,101325.0,0.332813,0.372188,
13,101325.0,-0.218437,0.449063,
14,101325.0,-0.156562,0.473438,
15,101325.0,-0.162187,0.471563,
16,101325.0,0.450938,0.214687,
17,101325.0,-0.499687,0.0103125,
18,101325.0,0.477188,0.149062,
19,101325.0,-0.404062,0.293437,
20,101325.0,-0.422812,0.265312,
21,101325.0,-0.452812,0.210937,
22,101325.0,-0.254062,0.430313,
23,101325.0,0.222188,0.447188,
24,101325.0,0.445313,0.225937,
25,101325.0,0.314063,0.387188,
26,101325.0,0.458438,0.197812,
27,101325.0,0.465938,0.180937,
28,101325.0,0.424688,0.263437,
29,101325.0,-0.389062,0.312187,
30,101325.0,-0.270937,0.419063,
31,101325.0,-0.276562,0.415313,
32,101325.0,-0.302812,0.396563,
33,101325.0,0.310313,0.390938,
34,101325.0,0.488438,0.102188,
35,101325.0,0.447188,0.222187,
36,101325.0,-0.274687,0.417188,
37,101325.0,0.456563,0.203437,
38,101325.0,-0.299062,0.400313,
39,101325.0,-0.282187,0.411563,
40,101325.0,0.486563,0.109688,
41,101325.0,-0.255937,0.428438,
42,101325.0,0.100313,0.488438,
43,101325.0,-0.477187,0.149062,
44,101325.0,0.398438,0.300937,
45,101325.0,0.437813,0.240937,
46,101325.0,0.336563,0.368438,
47,101325.0,0.194063,0.460313,
48,101325.0,-0.291562,0.405938,
49,101325.0,-0.295312,0.402188,
50,101325.0,0.417188,0.274687,
51,101325.0,-0.330937,0.374063,
52,101325.0,0.312188,0.389063,
53,101325.0,-0.0384375,0.497813,
54,101325.0,-0.456562,0.203437,
55,101325.0,0.299063,0.390938,
56,101325.0,-0.0646875,0.494063,
57,101325.0,-0.385312,0.317812,
58,101325.0,-0.274687,0.417188,
59,101325.0,0.338438,0.366563,
60,101325.0,0.319688,0.383438,
61,101325.0,-0.233437,0.441563,
62,101325.0,-0.342187,0.362813,
63,101325.0,0.325313,0.379688,
64,101325.0,-0.495937,0.0234375,
65,101325.0,0.422813,0.265312,
66,101325.0,0.329063,0.375938,
67,101325.0,-0.180937,0.465938,
68,101325.0,-0.195937,0.458438,
69,101325.0,-0.362812,0.342188,
70,101325.0,0.336563,0.368438,
71,101325.0,0.458438,0.197812,
72,101325.0,0.381563,0.321562,
73,101325.0,0.0459375,0.497813,
74,101325.0,0.475313,0.150937,
75,101325.0,-0.370312,0.334688,
76,101325.0,0.402188,0.295312,
77,101325.0,-0.392812,0.308437,
78,101325.0,0.497813,0.0328125,
79,101325.0,0.293438,0.404063,
80,101325.0,0.387188,0.315937,
81,101325.0,-0.141562,0.479063,
82,101325.0,-0.274687,0.417188,
83,101325.0,0.374063,0.330937,
84,101325.0,0.494063,0.0009375,
85,101325.0,0.312188,0.389063,
86,101325.0,-0.154687,0.475313,
87,101325.0,-0.143437,0.477188,
