alpha_g,alpha_l,rho_wood,c_wood
0.0000000000000000e+00,1.0000000000000000e+00,9.2236650726509879e+02,1.0096414308988614e+03
1.0000000000000000e-03,9.9900000000000000e-01,9.2145108896944646e+02,3.1860629807723933e+02
2.0000000000000000e-03,9.9800000000000000e-01,9.2053567067379402e+02,2.3122466564635448e+02
3.0000000000000001e-03,9.9700000000000000e-01,9.1962025237814169e+02,1.9055784960615787e+02
4.0000000000000001e-03,9.9600000000000000e-01,9.1870483408248936e+02,1.6584806162973825e+02
5.0000000000000001e-03,9.9500000000000000e-01,9.1778941578683703e+02,1.4881346006029429e+02
6.0000000000000001e-03,9.9399999999999999e-01,9.1687399749118470e+02,1.3616078088499378e+02
7.0000000000000001e-03,9.9299999999999999e-01,9.1595857919553237e+02,1.2628655205467926e+02
8.0000000000000002e-03,9.9199999999999999e-01,9.1504316089988004e+02,1.1830425985517954e+02
9.0000000000000011e-03,9.9099999999999999e-01,9.1412774260422759e+02,1.1167870064919738e+02
1.0000000000000000e-02,9.8999999999999999e-01,9.1321232430857526e+02,1.0606513221400016e+02
1.0999999999999999e-02,9.8899999999999999e-01,9.1229690601292293e+02,1.0123014958803087e+02
1.2000000000000000e-02,9.8799999999999999e-01,9.1138148771727060e+02,9.7009350568370053e+01
1.3000000000000001e-02,9.8699999999999999e-01,9.1046606942161816e+02,9.3283146477514848e+01
1.4000000000000000e-02,9.8599999999999999e-01,9.0955065112596583e+02,8.9962189615501813e+01
1.4999999999999999e-02,9.8499999999999999e-01,9.0863523283031350e+02,8.6978202942587473e+01
1.6000000000000000e-02,9.8399999999999999e-01,9.0771981453466105e+02,8.4277994336366078e+01
1.7000000000000001e-02,9.8299999999999998e-01,9.0680439623900884e+02,8.1819425918030063e+01
1.8000000000000002e-02,9.8199999999999998e-01,9.0588897794335651e+02,7.9568626010620747e+01
1.9000000000000000e-02,9.8099999999999998e-01,9.0497355964770418e+02,7.7498014974429893e+01
2.0000000000000000e-02,9.7999999999999998e-01,9.0405814135205173e+02,7.5584878270416837e+01
2.1000000000000001e-02,9.7899999999999998e-01,9.0314272305639940e+02,7.3810316074677800e+01
2.1999999999999999e-02,9.7799999999999998e-01,9.0222730476074707e+02,7.2158457381217758e+01
2.3000000000000000e-02,9.7699999999999998e-01,9.0131188646509463e+02,7.0615863328620406e+01
2.4000000000000000e-02,9.7599999999999998e-01,9.0039646816944230e+02,6.9171068163533192e+01
2.5000000000000001e-02,9.7499999999999998e-01,8.9948104987378997e+02,6.7814221828868895e+01
2.6000000000000002e-02,9.7399999999999998e-01,8.9856563157813764e+02,6.6536808616291509e+01
2.7000000000000000e-02,9.7299999999999998e-01,8.9765021328248531e+02,6.5331423464369976e+01
2.8000000000000001e-02,9.7199999999999998e-01,8.9673479498683298e+02,6.4191592445198879e+01
2.9000000000000001e-02,9.7099999999999997e-01,8.9581937669118065e+02,6.3111627481524494e+01
2.9999999999999999e-02,9.6999999999999997e-01,8.9490395839552821e+02,6.2086507838964685e+01
3.1000000000000000e-02,9.6899999999999997e-01,8.9398854009987588e+02,6.1111782750782844e+01
3.2000000000000001e-02,9.6799999999999997e-01,8.9307312180422355e+02,6.0183490861629700e+01
3.3000000000000002e-02,9.6699999999999997e-01,8.9215770350857122e+02,5.9298093161683362e+01
3.4000000000000002e-02,9.6599999999999997e-01,8.9124228521291877e+02,5.8452416820242512e+01
3.5000000000000003e-02,9.6499999999999997e-01,8.9032686691726644e+02,5.7643607885512701e+01
3.6000000000000004e-02,9.6399999999999997e-01,8.8941144862161411e+02,5.6869091242761698e+01
3.6999999999999998e-02,9.6299999999999997e-01,8.8849603032596167e+02,5.6126536550308025e+01
3.7999999999999999e-02,9.6199999999999997e-01,8.8758061203030945e+02,5.5413829126583984e+01
3.9000000000000000e-02,9.6099999999999997e-01,8.8666519373465712e+02,5.4729044959760294e+01
4.0000000000000001e-02,9.5999999999999996e-01,8.8574977543900479e+02,5.4070429167373021e+01
4.1000000000000002e-02,9.5899999999999996e-01,8.8483435714335235e+02,5.3436377356892770e+01
4.2000000000000003e-02,9.5799999999999996e-01,8.8391893884770002e+02,5.2825419436588007e+01
4.3000000000000003e-02,9.5699999999999996e-01,8.8300352055204769e+02,5.2236205504922509e+01
4.3999999999999997e-02,9.5599999999999996e-01,8.8208810225639525e+02,5.1667493510321314e+01
4.4999999999999998e-02,9.5499999999999996e-01,8.8117268396074292e+02,5.1118138424679479e+01
4.5999999999999999e-02,9.5399999999999996e-01,8.8025726566509059e+02,5.0587082715972713e+01
4.7000000000000000e-02,9.5299999999999996e-01,8.7934184736943826e+02,5.0073347939694429e+01
4.8000000000000001e-02,9.5199999999999996e-01,8.7842642907378581e+02,4.9576027297104808e+01
4.9000000000000002e-02,9.5099999999999996e-01,8.7751101077813360e+02,4.9094279031619855e+01
5.0000000000000003e-02,9.4999999999999996e-01,8.7659559248248127e+02,4.8627320554030327e+01
5.1000000000000004e-02,9.4899999999999995e-01,8.7568017418682882e+02,4.8174423203365492e+01
5.2000000000000005e-02,9.4799999999999995e-01,8.7476475589117649e+02,4.7734907563697803e+01
5.2999999999999999e-02,9.4699999999999995e-01,8.7384933759552416e+02,4.7308139268497499e+01
5.3999999999999999e-02,9.4599999999999995e-01,8.7293391929987183e+02,4.6893525233672719e+01
5.5000000000000000e-02,9.4499999999999995e-01,8.7201850100421939e+02,4.6490510268481195e+01
5.6000000000000001e-02,9.4399999999999995e-01,8.7110308270856706e+02,4.6098574020324435e+01
5.7000000000000002e-02,9.4299999999999995e-01,8.7018766441291473e+02,4.5717228215239807e+01
5.8000000000000003e-02,9.4199999999999995e-01,8.6927224611726228e+02,4.5346014160856896e+01
5.9000000000000004e-02,9.4099999999999995e-01,8.6835682782160995e+02,4.4984500482821346e+01
5.9999999999999998e-02,9.3999999999999995e-01,8.6744140952595774e+02,4.4632281069323156e+01
6.0999999999999999e-02,9.3900000000000006e-01,8.6652599123030552e+02,4.4288973201493413e+01
6.2000000000000000e-02,9.3799999999999994e-01,8.6561057293465296e+02,4.3954215850130360e+01
6.3000000000000000e-02,9.3700000000000006e-01,8.6469515463900075e+02,4.3627668121547678e+01
6.4000000000000001e-02,9.3599999999999994e-01,8.6377973634334830e+02,4.3309007837359601e+01
6.5000000000000002e-02,9.3500000000000005e-01,8.6286431804769597e+02,4.2997930234773996e+01
6.6000000000000003e-02,9.3399999999999994e-01,8.6194889975204353e+02,4.2694146775494339e+01
6.7000000000000004e-02,9.3300000000000005e-01,8.6103348145639131e+02,4.2397384052666936e+01
6.8000000000000005e-02,9.3199999999999994e-01,8.6011806316073887e+02,4.2107382786477523e+01
6.9000000000000006e-02,9.3100000000000005e-01,8.5920264486508654e+02,4.1823896900025126e+01
7.0000000000000007e-02,9.2999999999999994e-01,8.5828722656943410e+02,4.1546692668000446e+01
7.1000000000000008e-02,9.2900000000000005e-01,8.5737180827378188e+02,4.1275547931486948e+01
7.2000000000000008e-02,9.2799999999999994e-01,8.5645638997812944e+02,4.1010251372900761e+01
7.2999999999999995e-02,9.2700000000000005e-01,8.5554097168247722e+02,4.0750601845701418e+01
7.3999999999999996e-02,9.2600000000000005e-01,8.5462555338682489e+02,4.0496407754051162e+01
7.4999999999999997e-02,9.2500000000000004e-01,8.5371013509117256e+02,4.0247486478083403e+01
7.5999999999999998e-02,9.2400000000000004e-01,8.5279471679552012e+02,4.0003663840870388e+01
7.6999999999999999e-02,9.2300000000000004e-01,8.5187929849986779e+02,3.9764773613561857e+01
7.8000000000000000e-02,9.2200000000000004e-01,8.5096388020421546e+02,3.9530657055506232e+01
7.9000000000000001e-02,9.2100000000000004e-01,8.5004846190856301e+02,3.9301162486469501e+01
8.0000000000000002e-02,9.2000000000000004e-01,8.4913304361291068e+02,3.9076144888337787e+01
8.1000000000000003e-02,9.1900000000000004e-01,8.4821762531725835e+02,3.8855465533932296e+01
8.2000000000000003e-02,9.1800000000000004e-01,8.4730220702160614e+02,3.8638991640782649e+01
8.3000000000000004e-02,9.1700000000000004e-01,8.4638678872595369e+02,3.8426596047899615e+01
8.4000000000000005e-02,9.1600000000000004e-01,8.4547137043030136e+02,3.8218156913763494e+01
8.5000000000000006e-02,9.1500000000000004e-01,8.4455595213464903e+02,3.8013557433902321e+01
8.6000000000000007e-02,9.1400000000000003e-01,8.4364053383899659e+02,3.7812685576575952e+01
8.7000000000000008e-02,9.1300000000000003e-01,8.4272511554334426e+02,3.7615433835210219e+01
8.7999999999999995e-02,9.1200000000000003e-01,8.4180969724769193e+02,3.7421698996341412e+01
8.8999999999999996e-02,9.1100000000000003e-01,8.4089427895203960e+02,3.7231381921935800e+01
8.9999999999999997e-02,9.1000000000000003e-01,8.3997886065638716e+02,3.7044387345043653e+01
9.0999999999999998e-02,9.0900000000000003e-01,8.3906344236073483e+02,3.6860623677833466e+01
9.1999999999999998e-02,9.0800000000000003e-01,8.3814802406508250e+02,3.6680002831129663e+01
9.2999999999999999e-02,9.0700000000000003e-01,8.3723260576943017e+02,3.6502440044648132e+01
9.4000000000000000e-02,9.0600000000000003e-01,8.3631718747377784e+02,3.6327853727188320e+01
9.5000000000000001e-02,9.0500000000000003e-01,8.3540176917812551e+02,3.6156165306099162e+01
9.6000000000000002e-02,9.0400000000000003e-01,8.3448635088247318e+02,3.5987299085389658e+01
9.7000000000000003e-02,9.0300000000000002e-01,8.3357093258682073e+02,3.5821182111903632e+01
9.8000000000000004e-02,9.0200000000000002e-01,8.3265551429116840e+02,3.5657744049022568e+01
9.9000000000000005e-02,9.0100000000000002e-01,8.3174009599551607e+02,3.5496917057401490e+01
1.0000000000000001e-01,9.0000000000000002e-01,8.3082467769986363e+02,3.5338635682279481e+01
1.0100000000000001e-01,8.9900000000000002e-01,8.2990925940421130e+02,3.5182836746941163e+01
1.0200000000000001e-01,8.9800000000000002e-01,8.2899384110855897e+02,3.5029459251936103e+01
1.0300000000000001e-01,8.9700000000000002e-01,8.2807842281290664e+02,3.4878444279692260e+01
1.0400000000000001e-01,8.9600000000000002e-01,8.2716300451725431e+02,3.4729734904185513e+01
1.0500000000000000e-01,8.9500000000000002e-01,8.2624758622160198e+02,3.4583276105351750e+01
1.0600000000000000e-01,8.9400000000000002e-01,8.2533216792594965e+02,3.4439014687949943e+01
1.0700000000000000e-01,8.9300000000000002e-01,8.2441674963029720e+02,3.4296899204605623e+01
1.0800000000000000e-01,8.9200000000000002e-01,8.2350133133464487e+02,3.4156879882782206e+01
1.0900000000000000e-01,8.9100000000000001e-01,8.2258591303899254e+02,3.4018908555445861e+01
1.1000000000000000e-01,8.9000000000000001e-01,8.2167049474334021e+02,3.3882938595205005e+01
1.1100000000000000e-01,8.8900000000000001e-01,8.2075507644768777e+02,3.3748924851720666e+01
1.1200000000000000e-01,8.8800000000000001e-01,8.1983965815203544e+02,3.3616823592197413e+01
1.1300000000000000e-01,8.8700000000000001e-01,8.1892423985638311e+02,3.3486592444777450e+01
1.1400000000000000e-01,8.8600000000000001e-01,8.1800882156073067e+02,3.3358190344671854e+01
1.1500000000000000e-01,8.8500000000000001e-01,8.1709340326507845e+02,3.3231577482874037e+01
1.1600000000000001e-01,8.8400000000000001e-01,8.1617798496942612e+02,3.3106715257310498e+01
1.1700000000000001e-01,8.8300000000000001e-01,8.1526256667377379e+02,3.2983566226293078e+01
1.1800000000000001e-01,8.8200000000000001e-01,8.1434714837812135e+02,3.2862094064145786e+01
1.1900000000000001e-01,8.8100000000000001e-01,8.1343173008246902e+02,3.2742263518887128e+01
1.2000000000000000e-01,8.8000000000000000e-01,8.1251631178681669e+02,3.2624040371856481e+01
1.2100000000000000e-01,8.7900000000000000e-01,8.1160089349116424e+02,3.2507391399179710e+01
1.2200000000000000e-01,8.7800000000000000e-01,8.1068547519551191e+02,3.2392284334976061e+01
1.2300000000000000e-01,8.7700000000000000e-01,8.0977005689985958e+02,3.2278687836213905e+01
1.2400000000000000e-01,8.7600000000000000e-01,8.0885463860420725e+02,3.2166571449128959e+01
1.2500000000000000e-01,8.7500000000000000e-01,8.0793922030855492e+02,3.2055905577123390e+01
1.2600000000000000e-01,8.7400000000000000e-01,8.0702380201290259e+02,3.1946661450069378e+01
1.2700000000000000e-01,8.7300000000000000e-01,8.0610838371725026e+02,3.1838811094945090e+01
1.2800000000000000e-01,8.7200000000000000e-01,8.0519296542159782e+02,3.1732327307735229e+01
1.2900000000000000e-01,8.7100000000000000e-01,8.0427754712594549e+02,3.1627183626532418e+01
1.3000000000000000e-01,8.7000000000000000e-01,8.0336212883029316e+02,3.1523354305779137e+01
1.3100000000000001e-01,8.6899999999999999e-01,8.0244671053464083e+02,3.1420814291593619e+01
1.3200000000000001e-01,8.6799999999999999e-01,8.0153129223898839e+02,3.1319539198126186e+01
1.3300000000000001e-01,8.6699999999999999e-01,8.0061587394333606e+02,3.1219505284895519e+01
1.3400000000000001e-01,8.6599999999999999e-01,7.9970045564768373e+02,3.1120689435057372e+01
1.3500000000000001e-01,8.6499999999999999e-01,7.9878503735203128e+02,3.1023069134560583e+01
1.3600000000000001e-01,8.6399999999999999e-01,7.9786961905637907e+02,3.0926622452148024e+01
1.3700000000000001e-01,8.6299999999999999e-01,7.9695420076072674e+02,3.0831328020162275e+01
1.3800000000000001e-01,8.6199999999999999e-01,7.9603878246507441e+02,3.0737165016118034e+01
1.3900000000000001e-01,8.6099999999999999e-01,7.9512336416942196e+02,3.0644113145005370e+01
1.4000000000000001e-01,8.5999999999999999e-01,7.9420794587376963e+02,3.0552152622289810e+01
1.4100000000000001e-01,8.5899999999999999e-01,7.9329252757811730e+02,3.0461264157577052e+01
1.4200000000000002e-01,8.5799999999999998e-01,7.9237710928246486e+02,3.0371428938911915e+01
1.4300000000000002e-01,8.5699999999999998e-01,7.9146169098681253e+02,3.0282628617682494e+01
1.4400000000000002e-01,8.5599999999999998e-01,7.9054627269116020e+02,3.0194845294102272e+01
1.4499999999999999e-01,8.5499999999999998e-01,7.8963085439550787e+02,3.0108061503244226e+01
1.4599999999999999e-01,8.5399999999999998e-01,7.8871543609985542e+02,3.0022260201602190e+01
1.4699999999999999e-01,8.5299999999999998e-01,7.8780001780420321e+02,2.9937424754156282e+01
1.4799999999999999e-01,8.5199999999999998e-01,7.8688459950855088e+02,2.9853538921920091e+01
1.4899999999999999e-01,8.5099999999999998e-01,7.8596918121289843e+02,2.9770586849948618e+01
1.4999999999999999e-01,8.4999999999999998e-01,7.8505376291724610e+02,2.9688553055786947e+01
1.5100000000000000e-01,8.4899999999999998e-01,7.8413834462159377e+02,2.9607422418340693e+01
1.5200000000000000e-01,8.4799999999999998e-01,7.8322292632594144e+02,2.9527180167150071e+01
1.5300000000000000e-01,8.4699999999999998e-01,7.8230750803028900e+02,2.9447811872050469e+01
1.5400000000000000e-01,8.4599999999999997e-01,7.8139208973463667e+02,2.9369303433203168e+01
1.5500000000000000e-01,8.4499999999999997e-01,7.8047667143898434e+02,2.9291641071480651e+01
1.5600000000000000e-01,8.4399999999999997e-01,7.7956125314333190e+02,2.9214811319191710e+01
1.5700000000000000e-01,8.4299999999999997e-01,7.7864583484767957e+02,2.9138801011132205e+01
1.5800000000000000e-01,8.4199999999999997e-01,7.7773041655202735e+02,2.9063597275948151e+01
1.5900000000000000e-01,8.4099999999999997e-01,7.7681499825637502e+02,2.8989187527798261e+01
1.6000000000000000e-01,8.3999999999999997e-01,7.7589957996072258e+02,2.8915559458303793e+01
1.6100000000000000e-01,8.3899999999999997e-01,7.7498416166507025e+02,2.8842701028774012e+01
1.6200000000000001e-01,8.3799999999999997e-01,7.7406874336941792e+02,2.8770600462696358e+01
1.6300000000000001e-01,8.3699999999999997e-01,7.7315332507376547e+02,2.8699246238480505e+01
1.6400000000000001e-01,8.3599999999999997e-01,7.7223790677811314e+02,2.8628627082446449e+01
1.6500000000000001e-01,8.3499999999999996e-01,7.7132248848246081e+02,2.8558731962046867e+01
1.6600000000000001e-01,8.3399999999999996e-01,7.7040707018680848e+02,2.8489550079314551e+01
1.6700000000000001e-01,8.3299999999999996e-01,7.6949165189115604e+02,2.8421070864526278e+01
1.6800000000000001e-01,8.3199999999999996e-01,7.6857623359550371e+02,2.8353283970074507e+01
1.6900000000000001e-01,8.3099999999999996e-01,7.6766081529985149e+02,2.8286179264539111e+01
1.7000000000000001e-01,8.2999999999999996e-01,7.6674539700419905e+02,2.8219746826951361e+01
1.7100000000000001e-01,8.2899999999999996e-01,7.6582997870854672e+02,2.8153976941242796e+01
1.7200000000000001e-01,8.2799999999999996e-01,7.6491456041289439e+02,2.8088860090872174e+01
1.7300000000000001e-01,8.2699999999999996e-01,7.6399914211724206e+02,2.8024386953623580e+01
1.7400000000000002e-01,8.2599999999999996e-01,7.6308372382158961e+02,2.7960548396569404e+01
1.7500000000000002e-01,8.2499999999999996e-01,7.6216830552593728e+02,2.7897335471192036e+01
1.7599999999999999e-01,8.2400000000000007e-01,7.6125288723028507e+02,2.7834739408658407e+01
1.7699999999999999e-01,8.2299999999999995e-01,7.6033746893463251e+02,2.7772751615241745e+01
1.7799999999999999e-01,8.2200000000000006e-01,7.5942205063898029e+02,2.7711363667885117e+01
1.7899999999999999e-01,8.2099999999999995e-01,7.5850663234332796e+02,2.7650567309901717e+01
1.7999999999999999e-01,8.2000000000000006e-01,7.5759121404767575e+02,2.7590354446806824e+01
1.8099999999999999e-01,8.1899999999999995e-01,7.5667579575202319e+02,2.7530717142276757e+01
1.8200000000000000e-01,8.1800000000000006e-01,7.5576037745637097e+02,2.7471647614230267e+01
1.8300000000000000e-01,8.1699999999999995e-01,7.5484495916071853e+02,2.7413138231028061e+01
1.8400000000000000e-01,8.1600000000000006e-01,7.5392954086506620e+02,2.7355181507786160e+01
1.8500000000000000e-01,8.1499999999999995e-01,7.5301412256941376e+02,2.7297770102799202e+01
1.8600000000000000e-01,8.1400000000000006e-01,7.5209870427376154e+02,2.7240896814069774e+01
1.8700000000000000e-01,8.1299999999999994e-01,7.5118328597810910e+02,2.7184554575940130e+01
1.8800000000000000e-01,8.1200000000000006e-01,7.5026786768245677e+02,2.7128736455822672e+01
1.8900000000000000e-01,8.1099999999999994e-01,7.4935244938680432e+02,2.7073435651025878e+01
1.9000000000000000e-01,8.1000000000000005e-01,7.4843703109115211e+02,2.7018645485672334e+01
1.9100000000000000e-01,8.0899999999999994e-01,7.4752161279549966e+02,2.6964359407705803e+01
1.9200000000000000e-01,8.0800000000000005e-01,7.4660619449984745e+02,2.6910570985984215e+01
1.9300000000000000e-01,8.0699999999999994e-01,7.4569077620419500e+02,2.6857273907455795e+01
1.9400000000000001e-01,8.0600000000000005e-01,7.4477535790854279e+02,2.6804461974415400e+01
1.9500000000000001e-01,8.0499999999999994e-01,7.4385993961289023e+02,2.6752129101838577e+01
1.9600000000000001e-01,8.0400000000000005e-01,7.4294452131723801e+02,2.6700269314790489e+01
1.9700000000000001e-01,8.0299999999999994e-01,7.4202910302158557e+02,2.6648876745907558e+01
1.9800000000000001e-01,8.0200000000000005e-01,7.4111368472593335e+02,2.6597945632949148e+01
1.9900000000000001e-01,8.0099999999999993e-01,7.4019826643028080e+02,2.6547470316417172e+01
2.0000000000000001e-01,8.0000000000000004e-01,7.3928284813462858e+02,2.6497445237241308e+01
2.0100000000000001e-01,7.9899999999999993e-01,7.3836742983897625e+02,2.6447864934527814e+01
2.0200000000000001e-01,7.9800000000000004e-01,7.3745201154332392e+02,2.6398724043369768e+01
2.0300000000000001e-01,7.9699999999999993e-01,7.3653659324767148e+02,2.6350017292716817e+01
2.0400000000000001e-01,7.9600000000000004e-01,7.3562117495201926e+02,2.6301739503302567e+01
2.0500000000000002e-01,7.9499999999999993e-01,7.3470575665636682e+02,2.6253885585627732e+01
2.0600000000000002e-01,7.9400000000000004e-01,7.3379033836071449e+02,2.6206450537997288e+01
2.0700000000000002e-01,7.9299999999999993e-01,7.3287492006506204e+02,2.6159429444610002e+01
2.0800000000000002e-01,7.9200000000000004e-01,7.3195950176940983e+02,2.6112817473698520e+01
2.0899999999999999e-01,7.9100000000000004e-01,7.3104408347375738e+02,2.6066609875718715e+01
2.0999999999999999e-01,7.9000000000000004e-01,7.3012866517810505e+02,2.6020801981586466e+01
2.1099999999999999e-01,7.8900000000000003e-01,7.2921324688245272e+02,2.5975389200960631e+01
2.1199999999999999e-01,7.8800000000000003e-01,7.2829782858680039e+02,2.5930367020570703e+01
2.1299999999999999e-01,7.8700000000000003e-01,7.2738241029114806e+02,2.5885731002587761e+01
2.1400000000000000e-01,7.8600000000000003e-01,7.2646699199549573e+02,2.5841476783037447e+01
2.1500000000000000e-01,7.8500000000000003e-01,7.2555157369984340e+02,2.5797600070253694e+01
2.1600000000000000e-01,7.8400000000000003e-01,7.2463615540419096e+02,2.5754096643371941e+01
2.1700000000000000e-01,7.8300000000000003e-01,7.2372073710853863e+02,2.5710962350860683e+01
2.1800000000000000e-01,7.8200000000000003e-01,7.2280531881288630e+02,2.5668193109090176e+01
2.1900000000000000e-01,7.8100000000000003e-01,7.2188990051723397e+02,2.5625784900937262e+01
2.2000000000000000e-01,7.8000000000000003e-01,7.2097448222158152e+02,2.5583733774425149e+01
2.2100000000000000e-01,7.7900000000000003e-01,7.2005906392592919e+02,2.5542035841397180e+01
2.2200000000000000e-01,7.7800000000000002e-01,7.1914364563027686e+02,2.5500687276223601e+01
2.2300000000000000e-01,7.7700000000000002e-01,7.1822822733462442e+02,2.5459684314540333e+01
2.2400000000000000e-01,7.7600000000000002e-01,7.1731280903897220e+02,2.5419023252018768e+01
2.2500000000000001e-01,7.7500000000000002e-01,7.1639739074331987e+02,2.5378700443165886e+01
2.2600000000000001e-01,7.7400000000000002e-01,7.1548197244766754e+02,2.5338712300153535e+01
2.2700000000000001e-01,7.7300000000000002e-01,7.1456655415201510e+02,2.5299055291676279e+01
2.2800000000000001e-01,7.7200000000000002e-01,7.1365113585636277e+02,2.5259725941836873e+01
2.2900000000000001e-01,7.7100000000000002e-01,7.1273571756071044e+02,2.5220720829058642e+01
2.3000000000000001e-01,7.7000000000000002e-01,7.1182029926505800e+02,2.5182036585023930e+01
2.3100000000000001e-01,7.6900000000000002e-01,7.1090488096940567e+02,2.5143669893637941e+01
2.3200000000000001e-01,7.6800000000000002e-01,7.0998946267375334e+02,2.5105617490017281e+01
2.3300000000000001e-01,7.6700000000000002e-01,7.0907404437810101e+02,2.5067876159502426e+01
2.3400000000000001e-01,7.6600000000000001e-01,7.0815862608244868e+02,2.5030442736693534e+01
2.3500000000000001e-01,7.6500000000000001e-01,7.0724320778679635e+02,2.4993314104508897e+01
2.3600000000000002e-01,7.6400000000000001e-01,7.0632778949114402e+02,2.4956487193265456e+01
2.3700000000000002e-01,7.6300000000000001e-01,7.0541237119549157e+02,2.4919958979780723e+01
2.3800000000000002e-01,7.6200000000000001e-01,7.0449695289983924e+02,2.4883726486495565e+01
2.3900000000000002e-01,7.6100000000000001e-01,7.0358153460418691e+02,2.4847786780617270e+01
2.3999999999999999e-01,7.6000000000000001e-01,7.0266611630853458e+02,2.4812136973282328e+01
2.4099999999999999e-01,7.5900000000000001e-01,7.0175069801288214e+02,2.4776774218738424e+01
2.4199999999999999e-01,7.5800000000000001e-01,7.0083527971722981e+02,2.4741695713545099e+01
2.4299999999999999e-01,7.5700000000000001e-01,6.9991986142157748e+02,2.4706898695792585e+01
2.4399999999999999e-01,7.5600000000000001e-01,6.9900444312592504e+02,2.4672380444338373e+01
2.4500000000000000e-01,7.5500000000000000e-01,6.9808902483027282e+02,2.4638138278060929e+01
2.4600000000000000e-01,7.5400000000000000e-01,6.9717360653462049e+02,2.4604169555130262e+01
2.4700000000000000e-01,7.5300000000000000e-01,6.9625818823896816e+02,2.4570471672294783e+01
2.4800000000000000e-01,7.5200000000000000e-01,6.9534276994331572e+02,2.4537042064184039e+01
2.4900000000000000e-01,7.5100000000000000e-01,6.9442735164766339e+02,2.4503878202626954e+01
2.5000000000000000e-01,7.5000000000000000e-01,6.9351193335201106e+02,2.4470977595985168e+01
2.5100000000000000e-01,7.4900000000000000e-01,6.9259651505635861e+02,2.4438337788501034e+01
2.5200000000000000e-01,7.4800000000000000e-01,6.9168109676070628e+02,2.4405956359659911e+01
2.5300000000000000e-01,7.4700000000000000e-01,6.9076567846505395e+02,2.4373830923566469e+01
2.5400000000000000e-01,7.4600000000000000e-01,6.8985026016940162e+02,2.4341959128334484e+01
2.5500000000000000e-01,7.4500000000000000e-01,6.8893484187374918e+02,2.4310338655489950e+01
2.5600000000000001e-01,7.4399999999999999e-01,6.8801942357809696e+02,2.4278967219387031e+01
2.5700000000000001e-01,7.4299999999999999e-01,6.8710400528244463e+02,2.4247842566636649e+01
2.5800000000000001e-01,7.4199999999999999e-01,6.8618858698679219e+02,2.4216962475547273e+01
2.5900000000000001e-01,7.4099999999999999e-01,6.8527316869113986e+02,2.4186324755577662e+01
2.6000000000000001e-01,7.3999999999999999e-01,6.8435775039548753e+02,2.4155927246801330e+01
2.6100000000000001e-01,7.3899999999999999e-01,6.8344233209983520e+02,2.4125767819382265e+01
2.6200000000000001e-01,7.3799999999999999e-01,6.8252691380418275e+02,2.4095844373061801e+01
2.6300000000000001e-01,7.3699999999999999e-01,6.8161149550853042e+02,2.4066154836656278e+01
2.6400000000000001e-01,7.3599999999999999e-01,6.8069607721287809e+02,2.4036697167565212e+01
2.6500000000000001e-01,7.3499999999999999e-01,6.7978065891722565e+02,2.4007469351289778e+01
2.6600000000000001e-01,7.3399999999999999e-01,6.7886524062157332e+02,2.3978469400961306e+01
2.6700000000000002e-01,7.3299999999999998e-01,6.7794982232592110e+02,2.3949695356879548e+01
2.6800000000000002e-01,7.3199999999999998e-01,6.7703440403026877e+02,2.3921145286060543e+01
2.6900000000000002e-01,7.3099999999999998e-01,6.7611898573461633e+02,2.3892817281793704e+01
2.7000000000000002e-01,7.2999999999999998e-01,6.7520356743896400e+02,2.3864709463208094e+01
2.7100000000000002e-01,7.2899999999999998e-01,6.7428814914331167e+02,2.3836819974847504e+01
2.7200000000000002e-01,7.2799999999999998e-01,6.7337273084765923e+02,2.3809146986254238e+01
2.7300000000000002e-01,7.2699999999999998e-01,6.7245731255200690e+02,2.3781688691561325e+01
2.7400000000000002e-01,7.2599999999999998e-01,6.7154189425635457e+02,2.3754443309092984e+01
2.7500000000000002e-01,7.2499999999999998e-01,6.7062647596070224e+02,2.3727409080973171e+01
2.7600000000000002e-01,7.2399999999999998e-01,6.6971105766504979e+02,2.3700584272741978e+01
2.7700000000000002e-01,7.2299999999999998e-01,6.6879563936939758e+02,2.3673967172979701e+01
2.7800000000000002e-01,7.2199999999999998e-01,6.6788022107374525e+02,2.3647556092938459e+01
2.7900000000000003e-01,7.2099999999999997e-01,6.6696480277809280e+02,2.3621349366181089e+01
2.8000000000000003e-01,7.1999999999999997e-01,6.6604938448244047e+02,2.3595345348227234e+01
2.8100000000000003e-01,7.1899999999999997e-01,6.6513396618678814e+02,2.3569542416206414e+01
2.8200000000000003e-01,7.1799999999999997e-01,6.6421854789113581e+02,2.3543938968517939e+01
