alpha_g,alpha_l,rho_wood,c_wood
0.0000000000000000e+00,1.0000000000000000e+00,1.3685664138701648e+03,1.3103655349194078e+03
1.0000000000000001e-01,9.0000000000000002e-01,1.2318275699581029e+03,3.3951054257697628e+01
2.0000000000000001e-01,8.0000000000000004e-01,1.0950887260460411e+03,2.5465616041688556e+01
3.0000000000000004e-01,6.9999999999999996e-01,9.5834988213397901e+02,2.2227623910190974e+01
4.0000000000000002e-01,5.9999999999999998e-01,8.2161103822191717e+02,2.0790432526888111e+01
5.0000000000000000e-01,5.0000000000000000e-01,6.8487219430985533e+02,2.0367768353305951e+01
6.0000000000000009e-01,3.9999999999999991e-01,5.4813335039779338e+02,2.0783508022839918e+01
7.0000000000000007e-01,2.9999999999999993e-01,4.1139450648573154e+02,2.2210710611559175e+01
8.0000000000000004e-01,1.9999999999999996e-01,2.7465566257366964e+02,2.5427507422745816e+01
9.0000000000000002e-01,9.9999999999999978e-02,1.3791681866160781e+02,3.3831014021158644e+01
1.0000000000000000e+00,0.0000000000000000e+00,1.1779747495459434e+00,3.4727886484086076e+02
