alpha_g,alpha_l,rho_wood,c_wood
0.0000000000000000e+00,1.0000000000000000e+00,1.3685664138701648e+03,1.3103655349194078e+03
2.4673990708934390e-06,9.9999753260092916e-01,1.3685630399772006e+03,1.2844203496607004e+03
9.8695719314423336e-06,9.9999013042806850e-01,1.3685529183316064e+03,1.2149535869065876e+03
2.2206445525085883e-05,9.9997779355447491e-01,1.3685360490332798e+03,1.1206415456271461e+03
3.9477898091944130e-05,9.9996052210190811e-01,1.3685124322487131e+03,1.0192248248165271e+03
6.1683759169706143e-05,9.9993831624083029e-01,1.3684820682109946e+03,9.2194343394377620e+02
8.8823809595517389e-05,9.9991117619040448e-01,1.3684449572198052e+03,8.3394892021445162e+02
1.2089778150797814e-04,9.9987910221849208e-01,1.3684010996414156e+03,7.5663193517615446e+02
1.5790535835003006e-04,9.9984209464164997e-01,1.3683504959086818e+03,6.8955501897227782e+02
1.9984617487173173e-04,9.9980015382512821e-01,1.3682931465210427e+03,6.3157897069590547e+02
2.4671981713419999e-04,9.9975328018286580e-01,1.3682290520445135e+03,5.8141164985045577e+02
2.9852582251355120e-04,9.9970147417748645e-01,1.3681582131116809e+03,5.3783946049333611e+02
3.5526367970539763e-04,9.9964473632029460e-01,1.3680806304216960e+03,4.9980574495729496e+02
4.1693282872995452e-04,9.9958306717126999e-01,1.3679963047402694e+03,4.6642204055178752e+02
4.8353266093764669e-04,9.9951646733906241e-01,1.3679052368996613e+03,4.3695322166772581e+02
5.5506251901499271e-04,9.9944493748098506e-01,1.3678074277986746e+03,4.1079487815476142e+02
6.3152169699126626e-04,9.9936847830300879e-01,1.3677028784026452e+03,3.8745055558872406e+02
7.1290944024510194e-04,9.9928709055975484e-01,1.3675915897434336e+03,3.6651162831229624e+02
7.9922494551248890e-04,9.9920077505448757e-01,1.3674735629194142e+03,3.4764048080300563e+02
8.9046736089409828e-04,9.9910953263910596e-01,1.3673487990954641e+03,3.3055683658228770e+02
9.8663578586422052e-04,9.9901336421413578e-01,1.3672172995029514e+03,3.1502679430198549e+02
1.0877292712792586e-03,9.9891227072872080e-01,1.3670790654397244e+03,3.0085408554884026e+02
1.1937468193873868e-03,9.9880625318061256e-01,1.3669340982700971e+03,2.8787311334219856e+02
1.3046873838381545e-03,9.9869531261616185e-01,1.3667823994248379e+03,2.7594340109674067e+02
1.4205498696930330e-03,9.9857945013030691e-01,1.3666239704011521e+03,2.6494515304132688e+02
1.5413331334360181e-03,9.9845866686656404e-01,1.3664588127626710e+03,2.5477568940630238e+02
1.6670359829850656e-03,9.9833296401701488e-01,1.3662869281394328e+03,2.4534657092774592e+02
1.7976571777038042e-03,9.9820234282229614e-01,1.3661083182278703e+03,2.3658126801739269e+02
1.9331954284137476e-03,9.9806680457158625e-01,1.3659229847907911e+03,2.2841326188864701e+02
2.0736493974071735e-03,9.9792635060259283e-01,1.3657309296573608e+03,2.2078448971729563e+02
2.2190176984600019e-03,9.9778098230154000e-01,1.3655321547230865e+03,2.1364406507762291e+02
2.3692988968458395e-03,9.9763070110315422e-01,1.3653266619497965e+03,2.0694721969497985e+02
2.5244915093499132e-03,9.9747550849065014e-01,1.3651144533656216e+03,2.0065442400046010e+02
2.6845940042838357e-03,9.9731540599571611e-01,1.3648955310649744e+03,1.9473065284394605e+02
2.8496048015005382e-03,9.9715039519849946e-01,1.3646698972085303e+03,1.8914476962001149e+02
3.0195222724101467e-03,9.9698047772758991e-01,1.3644375540232040e+03,1.8386900744568194e+02
3.1943447399958025e-03,9.9680565526000420e-01,1.3641985038021287e+03,1.7887853024965594e+02
3.3740704788303155e-03,9.9662592952116968e-01,1.3639527489046341e+03,1.7415105995507497e+02
3.5586977150931509e-03,9.9644130228490679e-01,1.3637002917562215e+03,1.6966655856528448e+02
3.7482246265881369e-03,9.9625177537341192e-01,1.3634411348485410e+03,1.6540695604890465e+02
3.9426493427610620e-03,9.9605735065723899e-01,1.3631752807393668e+03,1.6135591658567395e+02
4.1419699447185487e-03,9.9585803005528151e-01,1.3629027320525715e+03,1.5749863706896528e+02
4.3461844652467052e-03,9.9565381553475329e-01,1.3626234914781007e+03,1.5382167283514846e+02
4.5552908888306654e-03,9.9544470911116933e-01,1.3623375617719462e+03,1.5031278645832199e+02
4.7692871516744062e-03,9.9523071284832554e-01,1.3620449457561188e+03,1.4696081615396255e+02
4.9881711417212315e-03,9.9501182885827877e-01,1.3617456463186199e+03,1.4375556090969025e+02
5.2119406986745331e-03,9.9478805930132541e-01,1.3614396664134149e+03,1.4068767993166557e+02
