alpha_g,alpha_l,rho_wood,c_wood_mm_per_microsecond
0.0000000000000000e+00,1.0000000000000000e+00,1.3685664138701648e+03,1.3103655349194079e+00
2.4673990708934390e-08,9.9999997532600926e-01,1.3685663801312351e+03,1.3100982499246370e+00
9.8695719314423341e-08,9.9999990130428074e-01,1.3685662789147793e+03,1.3092973779471104e+00
2.2206445525085884e-07,9.9999977793554473e-01,1.3685661102217960e+03,1.3079658579895306e+00
3.9477898091944129e-07,9.9999960522101905e-01,1.3685658740539502e+03,1.3061085551969125e+00
6.1683759169706148e-07,9.9999938316240833e-01,1.3685655704135731e+03,1.3037322117592531e+00
8.8823809595517390e-07,9.9999911176190404e-01,1.3685651993036611e+03,1.3008453795356227e+00
1.2089778150797815e-06,9.9999879102218492e-01,1.3685647607278772e+03,1.2974583357070768e+00
1.5790535835003006e-06,9.9999842094641656e-01,1.3685642546905499e+03,1.2935829830661818e+00
1.9984617487173172e-06,9.9999800153825125e-01,1.3685636811966735e+03,1.2892327368017507e+00
2.4671981713419998e-06,9.9999753280182868e-01,1.3685630402519082e+03,1.2844223998317692e+00
2.9852582251355121e-06,9.9999701474177483e-01,1.3685623318625799e+03,1.2791680288726712e+00
3.5526367970539764e-06,9.9999644736320292e-01,1.3685615560356800e+03,1.2734867935070158e+00
4.1693282872995454e-06,9.9999583067171272e-01,1.3685607127788658e+03,1.2673968305261432e+00
4.8353266093764667e-06,9.9999516467339067e-01,1.3685598021004598e+03,1.2609170957827052e+00
5.5506251901499273e-06,9.9999444937480986e-01,1.3685588240094498e+03,1.2540672156953614e+00
6.3152169699126629e-06,9.9999368478303008e-01,1.3685577785154896e+03,1.2468673404110735e+00
7.1290944024510195e-06,9.9999287090559752e-01,1.3685566656288975e+03,1.2393380004573729e+00
7.9922494551248889e-06,9.9999200775054486e-01,1.3685554853606573e+03,1.2314999685154653e+00
8.9046736089409838e-06,9.9999109532639108e-01,1.3685542377224178e+03,1.2233741277245180e+00
9.8663578586422046e-06,9.9999013364214140e-01,1.3685529227264926e+03,1.2149813476949016e+00
1.0877292712792586e-05,9.9998912270728724e-01,1.3685515403858606e+03,1.2063423691728139e+00
1.1937468193873868e-05,9.9998806253180617e-01,1.3685500907141641e+03,1.1974776980660127e+00
1.3046873838381546e-05,9.9998695312616159e-01,1.3685485737257115e+03,1.1884075093175726e+00
1.4205498696930329e-05,9.9998579450130309e-01,1.3685469894354746e+03,1.1791515609055592e+00
1.5413331334360179e-05,9.9998458666866563e-01,1.3685453378590898e+03,1.1697291180558018e+00
