timestep,Y2,x,y,z
290,0.0,0.0984962,0.0009375,
291,0.0,0.0984962,0.0009375,
292,0.0,0.0984962,0.0009375,
293,0.0,0.0984962,0.0009375,
294,1.61507e-07,7.3752,0.0009375,
295,2.30782e-07,7.3752,0.0009375,
296,2.82492e-07,7.3752,0.0009375,
297,3.25062e-07,7.3752,0.0009375,
298,3.60916e-07,7.3752,0.0009375,
299,3.86893e-07,7.3752,0.0009375,
300,4.18116e-07,7.3677,0.0009375,
301,4.44093e-07,7.3677,0.0009375,
302,4.64342e-07,7.3677,0.0009375,
303,4.80066e-07,7.3677,0.0009375,
304,4.91902e-07,7.3677,0.0009375,
305,5.04103e-07,7.35645,0.0009375,
306,5.15361e-07,7.35645,0.0009375,
307,5.16942e-07,7.35645,0.0009375,
308,5.09742e-07,7.35645,0.0009375,
309,4.898e-07,7.35645,0.0009375,
310,4.49657e-07,7.35645,0.0009375,
311,3.89575e-07,7.3677,0.0009375,
312,2.47492e-07,7.3677,0.0009375,
313,3.65433e-11,7.35832,0.0009375,
314,1.52287e-11,7.35645,0.0065625,
315,1.51462e-11,7.35645,0.0065625,
316,1.50606e-11,7.35645,0.0065625,
317,1.4967e-11,7.35645,0.0065625,
318,1.48703e-11,7.35645,0.0065625,
319,4.46138e-09,7.59832,0.0028125,
320,5.65735e-09,7.57395,0.0740625,
321,1.45667e-11,7.35645,0.0065625,
322,7.66535e-11,7.46332,0.105938,
323,1.43561e-11,7.35645,0.0065625,
324,2.07509e-10,7.37145,0.158437,
325,3.6346e-12,7.5777,0.0759375,
326,3.61152e-12,7.5777,0.0759375,
327,1.24886e-08,7.31707,0.0028125,
328,2.96013e-08,7.31895,0.0084375,
329,2.77614e-08,7.32082,0.0103125,
330,2.24586e-08,7.3227,0.0121875,
331,1.53496e-08,7.32457,0.0103125,
332,1.02913e-08,7.32645,0.0046875,
333,8.82303e-09,7.35832,0.368438,
334,6.61827e-09,7.36395,0.323437,
335,3.86062e-09,7.3677,0.317812,
336,3.39089e-12,7.5777,0.0759375,
337,3.37317e-12,7.5777,0.0759375,
338,3.35579e-12,7.5777,0.0759375,
339,3.33773e-12,7.5777,0.0759375,
340,3.31888e-12,7.5777,0.0759375,
341,3.29965e-12,7.5777,0.0759375,
342,3.27919e-12,7.5777,0.0759375,
343,3.25738e-12,7.5777,0.0759375,
344,3.2347e-12,7.5777,0.0759375,
345,1.45429e-09,7.37895,0.293437,
346,2.21542e-09,7.38645,0.274687,
347,5.18532e-10,7.38832,0.195937,
348,3.36947e-09,7.35645,0.156562,
349,5.14131e-09,7.40707,0.0759375,
350,6.05345e-09,7.40707,0.105938,
351,7.81771e-09,7.4052,0.105938,
352,2.81099e-09,7.39395,0.0046875,
353,6.29285e-12,7.39582,0.115313,
354,5.60236e-09,7.35645,0.419063,
355,7.33806e-09,7.35832,0.364688,
356,1.35139e-08,7.35832,0.368438,
357,1.826e-08,7.35832,0.368438,
358,1.52397e-08,7.3602,0.364688,
359,1.08009e-08,7.3602,0.364688,
360,5.85569e-09,7.52145,0.0121875,
361,8.45899e-10,7.41832,0.0140625,
362,1.06775e-08,7.3377,0.152812,
363,1.2683e-08,7.35645,0.419063,
364,3.06056e-08,7.31707,0.0178125,
365,4.26534e-08,7.31895,0.0178125,
366,4.96979e-08,7.31895,0.0178125,
367,5.3702e-08,7.31895,0.0178125,
368,5.42671e-08,7.31895,0.0178125,
369,5.33924e-08,7.32082,0.0328125,
370,5.01183e-08,7.32082,0.0328125,
371,4.30855e-08,7.3227,0.0290625,
372,3.42651e-08,7.3227,0.0290625,
373,5.41508e-11,7.36582,0.252187,
374,1.29651e-11,7.33207,0.0309375,
375,6.12675e-10,7.52145,0.272812,
376,1.97826e-09,7.52145,0.274687,
377,1.28063e-11,7.33207,0.0309375,
378,1.48109e-09,7.49707,0.289687,
379,1.36138e-09,7.52145,0.284062,
380,2.90289e-09,7.36957,0.426563,
381,1.25822e-11,7.33207,0.0309375,
382,1.32319e-09,7.50832,0.295312,
383,1.35523e-08,7.51207,0.297187,
384,2.75844e-08,7.5102,0.300937,
385,3.57004e-08,7.51207,0.299062,
386,5.43148e-08,7.50645,0.306562,
387,3.53333e-08,7.50645,0.306562,
388,1.52569e-08,7.45957,0.0084375,
389,1.97378e-08,7.45957,0.0084375,
390,2.32799e-08,7.45957,0.0084375,
391,2.63071e-08,7.45957,0.0084375,
392,2.73361e-08,7.45957,0.0084375,
393,3.37483e-08,7.31895,0.0271875,
394,4.35271e-08,7.31895,0.0271875,
395,4.48985e-08,7.31895,0.0271875,
396,4.49516e-08,7.31895,0.0271875,
397,3.72897e-08,7.31895,0.0271875,
398,1.14171e-08,7.31895,0.0253125,
399,1.14173e-11,7.32645,0.0346875,
400,1.67612e-09,7.36207,0.353438,
