timestep,alpha_rho2,x,y,z
290,0.0,0.0984962,0.0009375,
291,0.0,0.0984962,0.0009375,
292,0.0,0.0984962,0.0009375,
293,0.0,0.0984962,0.0009375,
294,0.00021884,7.3752,0.0009375,
295,0.000311543,7.3752,0.0009375,
296,0.000380305,7.3752,0.0009375,
297,0.000436644,7.3752,0.0009375,
298,0.000483908,7.3752,0.0009375,
299,0.00051806,7.3752,0.0009375,
300,0.000558903,7.3677,0.0009375,
301,0.000592842,7.3677,0.0009375,
302,0.000619245,7.3677,0.0009375,
303,0.000639722,7.3677,0.0009375,
304,0.000655127,7.3677,0.0009375,
305,0.000670758,7.35645,0.0009375,
306,0.000685362,7.35645,0.0009375,
307,0.000687458,7.35645,0.0009375,
308,0.000678211,7.35645,0.0009375,
309,0.000652465,7.35645,0.0009375,
310,0.000600408,7.35645,0.0009375,
311,0.000522153,7.3677,0.0009375,
312,0.000334465,7.3677,0.0009375,
313,4.99178e-08,7.35832,0.0009375,
314,2.08032e-08,7.35645,0.0065625,
315,2.06897e-08,7.35645,0.0065625,
316,2.05727e-08,7.35645,0.0065625,
317,2.04449e-08,7.35645,0.0065625,
318,2.0313e-08,7.35645,0.0065625,
319,6.09779e-06,7.59832,0.0028125,
320,7.73191e-06,7.57395,0.0740625,
321,1.98997e-08,7.35645,0.0065625,
322,1.04795e-07,7.46332,0.105938,
323,1.9613e-08,7.35645,0.0065625,
324,2.83689e-07,7.37145,0.158437,
325,4.96928e-09,7.5777,0.0759375,
326,4.93779e-09,7.5777,0.0759375,
327,1.70618e-05,7.31707,0.0028125,
328,4.04028e-05,7.31895,0.0084375,
329,3.78949e-05,7.32082,0.0103125,
330,3.06658e-05,7.3227,0.0121875,
331,2.09671e-05,7.32457,0.0103125,
332,1.40613e-05,7.32645,0.0046875,
333,1.20564e-05,7.35832,0.368438,
334,9.04473e-06,7.36395,0.323437,
335,5.27688e-06,7.3677,0.317812,
336,4.63623e-09,7.5777,0.0759375,
337,4.61203e-09,7.5777,0.0759375,
338,4.58831e-09,7.5777,0.0759375,
339,4.5637e-09,7.5777,0.0759375,
340,4.53779e-09,7.5777,0.0759375,
341,4.51172e-09,7.5777,0.0759375,
342,4.48382e-09,7.5777,0.0759375,
343,4.45397e-09,7.5777,0.0759375,
344,4.42282e-09,7.5777,0.0759375,
345,1.98805e-06,7.37895,0.293437,
346,3.0284e-06,7.38645,0.274687,
347,7.08883e-07,7.38832,0.195937,
348,4.60562e-06,7.35645,0.156562,
349,7.02685e-06,7.40707,0.0759375,
350,8.27308e-06,7.40707,0.105938,
351,1.06833e-05,7.4052,0.105938,
352,3.84248e-06,7.39395,0.0046875,
353,8.6043e-09,7.39582,0.115313,
354,7.65679e-06,7.35645,0.419063,
355,1.0028e-05,7.35832,0.364688,
356,1.84615e-05,7.35832,0.368438,
357,2.4939e-05,7.35832,0.368438,
358,2.08176e-05,7.3602,0.364688,
359,1.47581e-05,7.3602,0.364688,
360,8.0029e-06,7.52145,0.0121875,
361,1.1564e-06,7.41832,0.0140625,
362,1.45889e-05,7.3377,0.152812,
363,1.73271e-05,7.35645,0.419063,
364,4.17707e-05,7.31707,0.0178125,
365,5.81747e-05,7.31895,0.0178125,
366,6.77587e-05,7.31895,0.0178125,
367,7.32045e-05,7.31895,0.0178125,
368,7.39755e-05,7.31895,0.0178125,
369,7.27931e-05,7.32082,0.0328125,
370,6.83445e-05,7.32082,0.0328125,
371,5.87644e-05,7.3227,0.0290625,
372,4.67588e-05,7.3227,0.0290625,
373,7.40309e-08,7.36582,0.252187,
374,1.77295e-08,7.33207,0.0309375,
375,8.3758e-07,7.52145,0.272812,
376,2.70425e-06,7.52145,0.274687,
377,1.75114e-08,7.33207,0.0309375,
378,2.02469e-06,7.49707,0.289687,
379,1.86105e-06,7.52145,0.284062,
380,3.96799e-06,7.36957,0.426563,
381,1.72061e-08,7.33207,0.0309375,
382,1.80885e-06,7.50832,0.295312,
383,1.85138e-05,7.51207,0.297187,
384,3.76483e-05,7.5102,0.300937,
385,4.87031e-05,7.51207,0.299062,
386,7.40242e-05,7.50645,0.306562,
387,4.82039e-05,7.50645,0.306562,
388,2.08406e-05,7.45957,0.0084375,
389,2.69549e-05,7.45957,0.0084375,
390,3.17861e-05,7.45957,0.0084375,
391,3.59137e-05,7.45957,0.0084375,
392,3.73168e-05,7.45957,0.0084375,
393,4.60509e-05,7.31895,0.0271875,
394,5.93644e-05,7.31895,0.0271875,
395,6.12326e-05,7.31895,0.0271875,
396,6.13073e-05,7.31895,0.0271875,
397,5.0881e-05,7.31895,0.0271875,
398,1.56007e-05,7.31895,0.0253125,
399,1.56117e-08,7.32645,0.0346875,
400,2.29125e-06,7.36207,0.353438,
